STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Kumasi,Kumasi,6.715,-1.591,287,1981-01,0
Kumasi,Kumasi,6.715,-1.591,287,1981-02,23.1
Kumasi,Kumasi,6.715,-1.591,287,1981-03,172
Kumasi,Kumasi,6.715,-1.591,287,1981-04,45
Kumasi,Kumasi,6.715,-1.591,287,1981-05,254.6
Kumasi,Kumasi,6.715,-1.591,287,1981-06,161.9
Kumasi,Kumasi,6.715,-1.591,287,1981-07,207.7
Kumasi,Kumasi,6.715,-1.591,287,1981-08,42.4
Kumasi,Kumasi,6.715,-1.591,287,1981-09,149.5
Kumasi,Kumasi,6.715,-1.591,287,1981-10,96.2
Kumasi,Kumasi,6.715,-1.591,287,1981-11,7.8
Kumasi,Kumasi,6.715,-1.591,287,1981-12,31
Kumasi,Kumasi,6.715,-1.591,287,1982-01,0
Kumasi,Kumasi,6.715,-1.591,287,1982-02,135.2
Kumasi,Kumasi,6.715,-1.591,287,1982-03,54.7
Kumasi,Kumasi,6.715,-1.591,287,1982-04,77.3
Kumasi,Kumasi,6.715,-1.591,287,1982-05,140.7
Kumasi,Kumasi,6.715,-1.591,287,1982-06,138.2
Kumasi,Kumasi,6.715,-1.591,287,1982-07,49.9
Kumasi,Kumasi,6.715,-1.591,287,1982-08,76.3
Kumasi,Kumasi,6.715,-1.591,287,1982-09,14.6
Kumasi,Kumasi,6.715,-1.591,287,1982-10,182.2
Kumasi,Kumasi,6.715,-1.591,287,1982-11,14
Kumasi,Kumasi,6.715,-1.591,287,1982-12,8.4
Kumasi,Kumasi,6.715,-1.591,287,1983-01,0
Kumasi,Kumasi,6.715,-1.591,287,1983-02,53.1
Kumasi,Kumasi,6.715,-1.591,287,1983-03,67.2
Kumasi,Kumasi,6.715,-1.591,287,1983-04,110.8
Kumasi,Kumasi,6.715,-1.591,287,1983-05,116.2
Kumasi,Kumasi,6.715,-1.591,287,1983-06,230.9
Kumasi,Kumasi,6.715,-1.591,287,1983-07,33.9
Kumasi,Kumasi,6.715,-1.591,287,1983-08,47.5
Kumasi,Kumasi,6.715,-1.591,287,1983-09,94.6
Kumasi,Kumasi,6.715,-1.591,287,1983-10,43.3
Kumasi,Kumasi,6.715,-1.591,287,1983-11,67.3
Kumasi,Kumasi,6.715,-1.591,287,1983-12,86.3
Kumasi,Kumasi,6.715,-1.591,287,1984-01,0
Kumasi,Kumasi,6.715,-1.591,287,1984-02,8.9
Kumasi,Kumasi,6.715,-1.591,287,1984-03,134.3
Kumasi,Kumasi,6.715,-1.591,287,1984-04,80.5
Kumasi,Kumasi,6.715,-1.591,287,1984-05,132.5
Kumasi,Kumasi,6.715,-1.591,287,1984-06,179.9
Kumasi,Kumasi,6.715,-1.591,287,1984-07,276.5
Kumasi,Kumasi,6.715,-1.591,287,1984-08,171.2
Kumasi,Kumasi,6.715,-1.591,287,1984-09,214.8
Kumasi,Kumasi,6.715,-1.591,287,1984-10,138.8
Kumasi,Kumasi,6.715,-1.591,287,1984-11,44.4
Kumasi,Kumasi,6.715,-1.591,287,1984-12,1.3
Kumasi,Kumasi,6.715,-1.591,287,1985-01,18.5
Kumasi,Kumasi,6.715,-1.591,287,1985-02,45.5
Kumasi,Kumasi,6.715,-1.591,287,1985-03,247.4
Kumasi,Kumasi,6.715,-1.591,287,1985-04,166.9
Kumasi,Kumasi,6.715,-1.591,287,1985-05,105.2
Kumasi,Kumasi,6.715,-1.591,287,1985-06,159.2
Kumasi,Kumasi,6.715,-1.591,287,1985-07,417.1
Kumasi,Kumasi,6.715,-1.591,287,1985-08,96.5
Kumasi,Kumasi,6.715,-1.591,287,1985-09,202.8
Kumasi,Kumasi,6.715,-1.591,287,1985-10,99.7
Kumasi,Kumasi,6.715,-1.591,287,1985-11,110.4
Kumasi,Kumasi,6.715,-1.591,287,1985-12,0
Kumasi,Kumasi,6.715,-1.591,287,1986-01,0
Kumasi,Kumasi,6.715,-1.591,287,1986-02,132.1
Kumasi,Kumasi,6.715,-1.591,287,1986-03,64.4
Kumasi,Kumasi,6.715,-1.591,287,1986-04,70.7
Kumasi,Kumasi,6.715,-1.591,287,1986-05,154.8
Kumasi,Kumasi,6.715,-1.591,287,1986-06,268
Kumasi,Kumasi,6.715,-1.591,287,1986-07,176.3
Kumasi,Kumasi,6.715,-1.591,287,1986-08,29.4
Kumasi,Kumasi,6.715,-1.591,287,1986-09,114.2
Kumasi,Kumasi,6.715,-1.591,287,1986-10,170.6
Kumasi,Kumasi,6.715,-1.591,287,1986-11,13
Kumasi,Kumasi,6.715,-1.591,287,1986-12,0
Kumasi,Kumasi,6.715,-1.591,287,1987-01,5.9
Kumasi,Kumasi,6.715,-1.591,287,1987-02,64.8
Kumasi,Kumasi,6.715,-1.591,287,1987-03,110
Kumasi,Kumasi,6.715,-1.591,287,1987-04,171
Kumasi,Kumasi,6.715,-1.591,287,1987-05,46.3
Kumasi,Kumasi,6.715,-1.591,287,1987-06,245.9
