STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Lope,Lope,-0.21572,11.61524,10,2000-01,
Lope,Lope,-0.21572,11.61524,10,2000-02,
Lope,Lope,-0.21572,11.61524,10,2000-03,
Lope,Lope,-0.21572,11.61524,10,2000-04,
Lope,Lope,-0.21572,11.61524,10,2000-05,
Lope,Lope,-0.21572,11.61524,10,2000-06,
Lope,Lope,-0.21572,11.61524,10,2000-07,
Lope,Lope,-0.21572,11.61524,10,2000-08,
Lope,Lope,-0.21572,11.61524,10,2000-09,
Lope,Lope,-0.21572,11.61524,10,2000-10,
Lope,Lope,-0.21572,11.61524,10,2000-11,
Lope,Lope,-0.21572,11.61524,10,2000-12,
Lope,Lope,-0.21572,11.61524,10,2001-01,
Lope,Lope,-0.21572,11.61524,10,2001-02,
Lope,Lope,-0.21572,11.61524,10,2001-03,
Lope,Lope,-0.21572,11.61524,10,2001-04,
Lope,Lope,-0.21572,11.61524,10,2001-05,
Lope,Lope,-0.21572,11.61524,10,2001-06,
Lope,Lope,-0.21572,11.61524,10,2001-07,
Lope,Lope,-0.21572,11.61524,10,2001-08,
Lope,Lope,-0.21572,11.61524,10,2001-09,
Lope,Lope,-0.21572,11.61524,10,2001-10,
Lope,Lope,-0.21572,11.61524,10,2001-11,
Lope,Lope,-0.21572,11.61524,10,2001-12,
Lope,Lope,-0.21572,11.61524,10,2002-01,
Lope,Lope,-0.21572,11.61524,10,2002-02,
Lope,Lope,-0.21572,11.61524,10,2002-03,
Lope,Lope,-0.21572,11.61524,10,2002-04,
Lope,Lope,-0.21572,11.61524,10,2002-05,
Lope,Lope,-0.21572,11.61524,10,2002-06,
Lope,Lope,-0.21572,11.61524,10,2002-07,
Lope,Lope,-0.21572,11.61524,10,2002-08,
Lope,Lope,-0.21572,11.61524,10,2002-09,
Lope,Lope,-0.21572,11.61524,10,2002-10,
Lope,Lope,-0.21572,11.61524,10,2002-11,
Lope,Lope,-0.21572,11.61524,10,2002-12,
Lope,Lope,-0.21572,11.61524,10,2003-01,
Lope,Lope,-0.21572,11.61524,10,2003-02,
Lope,Lope,-0.21572,11.61524,10,2003-03,
Lope,Lope,-0.21572,11.61524,10,2003-04,
Lope,Lope,-0.21572,11.61524,10,2003-05,
Lope,Lope,-0.21572,11.61524,10,2003-06,
Lope,Lope,-0.21572,11.61524,10,2003-07,
Lope,Lope,-0.21572,11.61524,10,2003-08,
Lope,Lope,-0.21572,11.61524,10,2003-09,
Lope,Lope,-0.21572,11.61524,10,2003-10,
Lope,Lope,-0.21572,11.61524,10,2003-11,
Lope,Lope,-0.21572,11.61524,10,2003-12,
Lope,Lope,-0.21572,11.61524,10,2004-01,
Lope,Lope,-0.21572,11.61524,10,2004-02,
Lope,Lope,-0.21572,11.61524,10,2004-03,
Lope,Lope,-0.21572,11.61524,10,2004-04,
Lope,Lope,-0.21572,11.61524,10,2004-05,
Lope,Lope,-0.21572,11.61524,10,2004-06,
Lope,Lope,-0.21572,11.61524,10,2004-07,
Lope,Lope,-0.21572,11.61524,10,2004-08,
Lope,Lope,-0.21572,11.61524,10,2004-09,
Lope,Lope,-0.21572,11.61524,10,2004-10,
Lope,Lope,-0.21572,11.61524,10,2004-11,
Lope,Lope,-0.21572,11.61524,10,2004-12,
Lope,Lope,-0.21572,11.61524,10,2005-01,
Lope,Lope,-0.21572,11.61524,10,2005-02,
Lope,Lope,-0.21572,11.61524,10,2005-03,
Lope,Lope,-0.21572,11.61524,10,2005-04,
Lope,Lope,-0.21572,11.61524,10,2005-05,
Lope,Lope,-0.21572,11.61524,10,2005-06,
Lope,Lope,-0.21572,11.61524,10,2005-07,
Lope,Lope,-0.21572,11.61524,10,2005-08,
Lope,Lope,-0.21572,11.61524,10,2005-09,
Lope,Lope,-0.21572,11.61524,10,2005-10,
Lope,Lope,-0.21572,11.61524,10,2005-11,
Lope,Lope,-0.21572,11.61524,10,2005-12,
Lope,Lope,-0.21572,11.61524,10,2006-01,
Lope,Lope,-0.21572,11.61524,10,2006-02,
Lope,Lope,-0.21572,11.61524,10,2006-03,
Lope,Lope,-0.21572,11.61524,10,2006-04,
Lope,Lope,-0.21572,11.61524,10,2006-05,
Lope,Lope,-0.21572,11.61524,10,2006-06,
Lope,Lope,-0.21572,11.61524,10,2006-07,
Lope,Lope,-0.21572,11.61524,10,2006-08,
Lope,Lope,-0.21572,11.61524,10,2006-09,
Lope,Lope,-0.21572,11.61524,10,2006-10,
Lope,Lope,-0.21572,11.61524,10,2006-11,
Lope,Lope,-0.21572,11.61524,10,2006-12,
Lope,Lope,-0.21572,11.61524,10,2007-01,
Lope,Lope,-0.21572,11.61524,10,2007-02,
Lope,Lope,-0.21572,11.61524,10,2007-03,
Lope,Lope,-0.21572,11.61524,10,2007-04,
Lope,Lope,-0.21572,11.61524,10,2007-05,
Lope,Lope,-0.21572,11.61524,10,2007-06,
Lope,Lope,-0.21572,11.61524,10,2007-07,
Lope,Lope,-0.21572,11.61524,10,2007-08,
Lope,Lope,-0.21572,11.61524,10,2007-09,
Lope,Lope,-0.21572,11.61524,10,2007-10,
Lope,Lope,-0.21572,11.61524,10,2007-11,
Lope,Lope,-0.21572,11.61524,10,2007-12,
Lope,Lope,-0.21572,11.61524,10,2008-01,
Lope,Lope,-0.21572,11.61524,10,2008-02,
Lope,Lope,-0.21572,11.61524,10,2008-03,
Lope,Lope,-0.21572,11.61524,10,2008-04,
Lope,Lope,-0.21572,11.61524,10,2008-05,
Lope,Lope,-0.21572,11.61524,10,2008-06,
Lope,Lope,-0.21572,11.61524,10,2008-07,
Lope,Lope,-0.21572,11.61524,10,2008-08,
Lope,Lope,-0.21572,11.61524,10,2008-09,
Lope,Lope,-0.21572,11.61524,10,2008-10,
Lope,Lope,-0.21572,11.61524,10,2008-11,
Lope,Lope,-0.21572,11.61524,10,2008-12,
Lope,Lope,-0.21572,11.61524,10,2009-01,
Lope,Lope,-0.21572,11.61524,10,2009-02,
Lope,Lope,-0.21572,11.61524,10,2009-03,
Lope,Lope,-0.21572,11.61524,10,2009-04,
Lope,Lope,-0.21572,11.61524,10,2009-05,
Lope,Lope,-0.21572,11.61524,10,2009-06,
Lope,Lope,-0.21572,11.61524,10,2009-07,
Lope,Lope,-0.21572,11.61524,10,2009-08,
Lope,Lope,-0.21572,11.61524,10,2009-09,
Lope,Lope,-0.21572,11.61524,10,2009-10,
Lope,Lope,-0.21572,11.61524,10,2009-11,
Lope,Lope,-0.21572,11.61524,10,2009-12,
Lope,Lope,-0.21572,11.61524,10,2010-01,
Lope,Lope,-0.21572,11.61524,10,2010-02,
Lope,Lope,-0.21572,11.61524,10,2010-03,
Lope,Lope,-0.21572,11.61524,10,2010-04,
Lope,Lope,-0.21572,11.61524,10,2010-05,
Lope,Lope,-0.21572,11.61524,10,2010-06,
Lope,Lope,-0.21572,11.61524,10,2010-07,
Lope,Lope,-0.21572,11.61524,10,2010-08,
Lope,Lope,-0.21572,11.61524,10,2010-09,
Lope,Lope,-0.21572,11.61524,10,2010-10,
