STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-01,0.5
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-02,28.7
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-03,173.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-04,64.4
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-05,321.4
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-06,133
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-07,134.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-08,66.2
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-09,150.3
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-10,98.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-11,22.8
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1981-12,21.9
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-01,0
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-02,64.8
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-03,192.3
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-04,50.8
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-05,227.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-06,259.9
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-07,152.9
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-08,57.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-09,2.5
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-10,138.9
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-11,67.1
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1982-12,10.2
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-01,0
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-02,30.1
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-03,14.8
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-04,123.2
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-05,262.7
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-06,269.8
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-07,15.1
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-08,7.9
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-09,128.5
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-10,128
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-11,54.3
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1983-12,36.6
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1984-01,15.5
Sefwi Bekwai,Sefwi Bekwai,6.2,-2.333,172,1984-02,58.2
