STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
GBM00064570,"FRANCEVILLE MVENGUE, GB",-1.667,13.4,321,2011-11,291.8
GB000064503,"MAYUMBA, GB",-3.42,10.65,34,1981-12,72.9
GB000064503,"MAYUMBA, GB",-3.42,10.65,34,2001-02,323.3
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-06,0
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-07,0
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-08,5.8
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-09,48
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-10,245.2
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-11,313.5
GB000004503,"MAYUMBA, GB",-3.42,10.65,37,1980-12,67
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-06,9.6
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-07,17.2
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-08,8
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-09,88.7
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-10,201.9
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-11,377.4
GB000004565,"MOANDA, GB",-1.53,13.27,572,1980-12,280
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-06,2.5
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-07,3.7
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-08,0.8
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-09,65.6
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-10,299.5
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-11,612
GB000004550,"MOUILA, GB",-1.87,11.02,89,1980-12,126.4
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,1983-11,255.9
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,1988-11,560.1
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,2003-12,107.6
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,2007-10,506.2
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,2011-10,437.2
GBM00064550,"MOUILLA VILLE, GB",-1.845,11.057,89.9,2013-11,345
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-06,0
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-07,1.9
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-08,5.1
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-09,5.2
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-10,123
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-11,216.8
CF000004405,"SIBITI, CF",-3.68,13.35,531,1980-12,258.9
CF000004405,"SIBITI, CF",-3.68,13.35,531,2014-11,325.7
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-06,61.7
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-08,158.5
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-09,229
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-10,252.6
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-11,98.5
CF000004460,"SOUANKE, CF",-2.67,14.05,547,1980-12,18.5
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-06,0
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-07,0
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-08,0
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-09,4.5
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-10,134.7
GB000004507,"TCHIBANGA, GB",-2.92,11.02,83,1980-12,123.4
