STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Manaus,Manaus,-2.958,-59.938,10,2000-01,350
Manaus,Manaus,-2.958,-59.938,10,2000-02,344
Manaus,Manaus,-2.958,-59.938,10,2000-03,341
Manaus,Manaus,-2.958,-59.938,10,2000-04,535
Manaus,Manaus,-2.958,-59.938,10,2000-05,173
Manaus,Manaus,-2.958,-59.938,10,2000-06,48
Manaus,Manaus,-2.958,-59.938,10,2000-07,41
Manaus,Manaus,-2.958,-59.938,10,2000-08,140
Manaus,Manaus,-2.958,-59.938,10,2000-09,218
Manaus,Manaus,-2.958,-59.938,10,2000-10,47
Manaus,Manaus,-2.958,-59.938,10,2000-11,170
Manaus,Manaus,-2.958,-59.938,10,2000-12,192
Manaus,Manaus,-2.958,-59.938,10,2001-01,348
Manaus,Manaus,-2.958,-59.938,10,2001-02,220
Manaus,Manaus,-2.958,-59.938,10,2001-03,216
Manaus,Manaus,-2.958,-59.938,10,2001-04,188
Manaus,Manaus,-2.958,-59.938,10,2001-05,231
Manaus,Manaus,-2.958,-59.938,10,2001-06,164
Manaus,Manaus,-2.958,-59.938,10,2001-07,51
Manaus,Manaus,-2.958,-59.938,10,2001-08,15
Manaus,Manaus,-2.958,-59.938,10,2001-09,88
Manaus,Manaus,-2.958,-59.938,10,2001-10,28
Manaus,Manaus,-2.958,-59.938,10,2001-11,273
Manaus,Manaus,-2.958,-59.938,10,2001-12,222
Manaus,Manaus,-2.958,-59.938,10,2002-01,381
Manaus,Manaus,-2.958,-59.938,10,2002-02,240
Manaus,Manaus,-2.958,-59.938,10,2002-03,195
Manaus,Manaus,-2.958,-59.938,10,2002-04,377
Manaus,Manaus,-2.958,-59.938,10,2002-05,264
Manaus,Manaus,-2.958,-59.938,10,2002-06,NA
Manaus,Manaus,-2.958,-59.938,10,2002-07,3
Manaus,Manaus,-2.958,-59.938,10,2002-08,35
Manaus,Manaus,-2.958,-59.938,10,2002-09,60
Manaus,Manaus,-2.958,-59.938,10,2002-10,216
Manaus,Manaus,-2.958,-59.938,10,2002-11,81
Manaus,Manaus,-2.958,-59.938,10,2002-12,320
Manaus,Manaus,-2.958,-59.938,10,2003-01,106
Manaus,Manaus,-2.958,-59.938,10,2003-02,341
Manaus,Manaus,-2.958,-59.938,10,2003-03,209
Manaus,Manaus,-2.958,-59.938,10,2003-04,390
Manaus,Manaus,-2.958,-59.938,10,2003-05,218
Manaus,Manaus,-2.958,-59.938,10,2003-06,111
Manaus,Manaus,-2.958,-59.938,10,2003-07,93
Manaus,Manaus,-2.958,-59.938,10,2003-08,118
Manaus,Manaus,-2.958,-59.938,10,2003-09,61
Manaus,Manaus,-2.958,-59.938,10,2003-10,97
Manaus,Manaus,-2.958,-59.938,10,2003-11,120
Manaus,Manaus,-2.958,-59.938,10,2003-12,90
Manaus,Manaus,-2.958,-59.938,10,2004-01,188
Manaus,Manaus,-2.958,-59.938,10,2004-02,151
Manaus,Manaus,-2.958,-59.938,10,2004-03,424
Manaus,Manaus,-2.958,-59.938,10,2004-04,227
Manaus,Manaus,-2.958,-59.938,10,2004-05,423
Manaus,Manaus,-2.958,-59.938,10,2004-06,120
Manaus,Manaus,-2.958,-59.938,10,2004-07,60
Manaus,Manaus,-2.958,-59.938,10,2004-08,141
Manaus,Manaus,-2.958,-59.938,10,2004-09,NA
Manaus,Manaus,-2.958,-59.938,10,2004-10,113
Manaus,Manaus,-2.958,-59.938,10,2004-11,13
Manaus,Manaus,-2.958,-59.938,10,2004-12,140
Manaus,Manaus,-2.958,-59.938,10,2005-01,166
Manaus,Manaus,-2.958,-59.938,10,2005-02,332
Manaus,Manaus,-2.958,-59.938,10,2005-03,NA
Manaus,Manaus,-2.958,-59.938,10,2005-04,NA
Manaus,Manaus,-2.958,-59.938,10,2005-05,226
Manaus,Manaus,-2.958,-59.938,10,2005-06,54
Manaus,Manaus,-2.958,-59.938,10,2005-07,52
Manaus,Manaus,-2.958,-59.938,10,2005-08,16
Manaus,Manaus,-2.958,-59.938,10,2005-09,46
Manaus,Manaus,-2.958,-59.938,10,2005-10,76
Manaus,Manaus,-2.958,-59.938,10,2005-11,NA
Manaus,Manaus,-2.958,-59.938,10,2005-12,292
Manaus,Manaus,-2.958,-59.938,10,2006-01,176
Manaus,Manaus,-2.958,-59.938,10,2006-02,346
Manaus,Manaus,-2.958,-59.938,10,2006-03,262
Manaus,Manaus,-2.958,-59.938,10,2006-04,252
Manaus,Manaus,-2.958,-59.938,10,2006-05,382
Manaus,Manaus,-2.958,-59.938,10,2006-06,87
Manaus,Manaus,-2.958,-59.938,10,2006-07,72
Manaus,Manaus,-2.958,-59.938,10,2006-08,17
Manaus,Manaus,-2.958,-59.938,10,2006-09,33
Manaus,Manaus,-2.958,-59.938,10,2006-10,66
Manaus,Manaus,-2.958,-59.938,10,2006-11,294
Manaus,Manaus,-2.958,-59.938,10,2006-12,317
Manaus,Manaus,-2.958,-59.938,10,2007-01,414
Manaus,Manaus,-2.958,-59.938,10,2007-02,138
Manaus,Manaus,-2.958,-59.938,10,2007-03,336
Manaus,Manaus,-2.958,-59.938,10,2007-04,343
Manaus,Manaus,-2.958,-59.938,10,2007-05,165
Manaus,Manaus,-2.958,-59.938,10,2007-06,100
Manaus,Manaus,-2.958,-59.938,10,2007-07,122
Manaus,Manaus,-2.958,-59.938,10,2007-08,133
Manaus,Manaus,-2.958,-59.938,10,2007-09,72
Manaus,Manaus,-2.958,-59.938,10,2007-10,28
Manaus,Manaus,-2.958,-59.938,10,2007-11,226
Manaus,Manaus,-2.958,-59.938,10,2007-12,328
Manaus,Manaus,-2.958,-59.938,10,2008-01,397
Manaus,Manaus,-2.958,-59.938,10,2008-02,299
Manaus,Manaus,-2.958,-59.938,10,2008-03,553
Manaus,Manaus,-2.958,-59.938,10,2008-04,345
Manaus,Manaus,-2.958,-59.938,10,2008-05,264
Manaus,Manaus,-2.958,-59.938,10,2008-06,203
Manaus,Manaus,-2.958,-59.938,10,2008-07,80
Manaus,Manaus,-2.958,-59.938,10,2008-08,58
Manaus,Manaus,-2.958,-59.938,10,2008-09,56
Manaus,Manaus,-2.958,-59.938,10,2008-10,162
Manaus,Manaus,-2.958,-59.938,10,2008-11,281
Manaus,Manaus,-2.958,-59.938,10,2008-12,458
Manaus,Manaus,-2.958,-59.938,10,2009-01,311
Manaus,Manaus,-2.958,-59.938,10,2009-02,458
Manaus,Manaus,-2.958,-59.938,10,2009-03,231
Manaus,Manaus,-2.958,-59.938,10,2009-04,222
Manaus,Manaus,-2.958,-59.938,10,2009-05,114
Manaus,Manaus,-2.958,-59.938,10,2009-06,166
Manaus,Manaus,-2.958,-59.938,10,2009-07,25
Manaus,Manaus,-2.958,-59.938,10,2009-08,5
Manaus,Manaus,-2.958,-59.938,10,2009-09,4
Manaus,Manaus,-2.958,-59.938,10,2009-10,26
Manaus,Manaus,-2.958,-59.938,10,2009-11,132
Manaus,Manaus,-2.958,-59.938,10,2009-12,262
Manaus,Manaus,-2.958,-59.938,10,2010-01,296
Manaus,Manaus,-2.958,-59.938,10,2010-02,351
Manaus,Manaus,-2.958,-59.938,10,2010-03,206
Manaus,Manaus,-2.958,-59.938,10,2010-04,303
Manaus,Manaus,-2.958,-59.938,10,2010-05,165
Manaus,Manaus,-2.958,-59.938,10,2010-06,119
Manaus,Manaus,-2.958,-59.938,10,2010-07,101
Manaus,Manaus,-2.958,-59.938,10,2010-08,51
Manaus,Manaus,-2.958,-59.938,10,2010-09,27
Manaus,Manaus,-2.958,-59.938,10,2010-10,117
Manaus,Manaus,-2.958,-59.938,10,2010-11,141
Manaus,Manaus,-2.958,-59.938,10,2010-12,289
