"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-03","127.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-04","575.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-05","294.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-06","328.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-07","89.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-08","202.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-09","167.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-10","28.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-11","13.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1983-12","0.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-01","100.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-02","38.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-03","8.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-04","53.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-05","226.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-06","326.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-07","307.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-08","183.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-09","151.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-10","73.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-11","158.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1984-12","21.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-01","45.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-02","32.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-03","46.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-04","89.1"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-05","432.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-06","367.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-07","241.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-08","282.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-09","121.1"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-10","124.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-11","162.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1985-12","26.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-01","145.1"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-02","92.1"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-03","76.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-04","47.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-05","351.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-06","442.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-07","348.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-08","78.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-09","213.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-10","167.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-11","191.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1986-12","91.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-01","53.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-02","50.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-03","150.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-05","230.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-06","224.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-07","125.5"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-08","453.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-09","60.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-10","35.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1987-11","25.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-01","54.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-02","50.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-03","16.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-06","61.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-07","33.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1988-12","82.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-01","73.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-02","35.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-03","37.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-04","104.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-05","354.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-06","334.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-07","235.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-08","185.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-09","173.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-10","193.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-11","150.5"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1989-12","15.1"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1990-01","179.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1990-02","126.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-06","464.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-07","565.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-08","437.5"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-09","28.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-10","49.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-11","54.8"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1991-12","19.3"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-01","4.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-02","81.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-03","314.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-04","495.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-05","345.2"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-06","228.7"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1992-09","23.4"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1993-09","65.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1993-10","50.9"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1993-11","163.5"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1993-12","65.6"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1994-01","96.0"
"BR008060000","FAZENDA SAO JOSE, BR","0.52","-60.47","0.0","1994-02","180.7"
