STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
DANUM,DANUM,5.01666667,117.8208333,0,2000-01,489.4
DANUM,DANUM,5.01666667,117.8208333,0,2000-02,277.1
DANUM,DANUM,5.01666667,117.8208333,0,2000-03,262.8
DANUM,DANUM,5.01666667,117.8208333,0,2000-04,340.2
DANUM,DANUM,5.01666667,117.8208333,0,2000-05,243.7
DANUM,DANUM,5.01666667,117.8208333,0,2000-06,357.5
DANUM,DANUM,5.01666667,117.8208333,0,2000-07,191.2
DANUM,DANUM,5.01666667,117.8208333,0,2000-08,239.9
DANUM,DANUM,5.01666667,117.8208333,0,2000-09,178.2
DANUM,DANUM,5.01666667,117.8208333,0,2000-10,282
DANUM,DANUM,5.01666667,117.8208333,0,2000-11,266.7
DANUM,DANUM,5.01666667,117.8208333,0,2000-12,371.9
DANUM,DANUM,5.01666667,117.8208333,0,2001-01,334.7
DANUM,DANUM,5.01666667,117.8208333,0,2001-02,241.6
DANUM,DANUM,5.01666667,117.8208333,0,2001-03,376.8
DANUM,DANUM,5.01666667,117.8208333,0,2001-04,217.6
DANUM,DANUM,5.01666667,117.8208333,0,2001-05,265
DANUM,DANUM,5.01666667,117.8208333,0,2001-06,52.9
DANUM,DANUM,5.01666667,117.8208333,0,2001-07,247.4
DANUM,DANUM,5.01666667,117.8208333,0,2001-08,181.9
DANUM,DANUM,5.01666667,117.8208333,0,2001-09,180
DANUM,DANUM,5.01666667,117.8208333,0,2001-10,347.1
DANUM,DANUM,5.01666667,117.8208333,0,2001-11,336.6
DANUM,DANUM,5.01666667,117.8208333,0,2001-12,293.2
DANUM,DANUM,5.01666667,117.8208333,0,2002-01,382.4
DANUM,DANUM,5.01666667,117.8208333,0,2002-02,104.2
DANUM,DANUM,5.01666667,117.8208333,0,2002-03,62.2
DANUM,DANUM,5.01666667,117.8208333,0,2002-04,112.5
DANUM,DANUM,5.01666667,117.8208333,0,2002-05,288.3
DANUM,DANUM,5.01666667,117.8208333,0,2002-06,340.3
DANUM,DANUM,5.01666667,117.8208333,0,2002-07,78.3
DANUM,DANUM,5.01666667,117.8208333,0,2002-08,244.5
DANUM,DANUM,5.01666667,117.8208333,0,2002-09,411.5
DANUM,DANUM,5.01666667,117.8208333,0,2002-10,234.2
DANUM,DANUM,5.01666667,117.8208333,0,2002-11,284
DANUM,DANUM,5.01666667,117.8208333,0,2002-12,186
DANUM,DANUM,5.01666667,117.8208333,0,2003-01,254.3
DANUM,DANUM,5.01666667,117.8208333,0,2003-02,165.3
DANUM,DANUM,5.01666667,117.8208333,0,2003-03,310.8
DANUM,DANUM,5.01666667,117.8208333,0,2003-04,192.8
DANUM,DANUM,5.01666667,117.8208333,0,2003-05,228.5
DANUM,DANUM,5.01666667,117.8208333,0,2003-06,243
DANUM,DANUM,5.01666667,117.8208333,0,2003-07,297
DANUM,DANUM,5.01666667,117.8208333,0,2003-08,93.2
DANUM,DANUM,5.01666667,117.8208333,0,2003-09,436.4
DANUM,DANUM,5.01666667,117.8208333,0,2003-10,381.9
DANUM,DANUM,5.01666667,117.8208333,0,2003-11,234.2
DANUM,DANUM,5.01666667,117.8208333,0,2003-12,701.2
DANUM,DANUM,5.01666667,117.8208333,0,2004-01,338.3
DANUM,DANUM,5.01666667,117.8208333,0,2004-02,153.6
DANUM,DANUM,5.01666667,117.8208333,0,2004-03,169.6
DANUM,DANUM,5.01666667,117.8208333,0,2004-04,149.3
DANUM,DANUM,5.01666667,117.8208333,0,2004-05,371.7
DANUM,DANUM,5.01666667,117.8208333,0,2004-06,256.1
DANUM,DANUM,5.01666667,117.8208333,0,2004-07,277.6
DANUM,DANUM,5.01666667,117.8208333,0,2004-08,61.7
DANUM,DANUM,5.01666667,117.8208333,0,2004-09,315.4
DANUM,DANUM,5.01666667,117.8208333,0,2004-10,199.2
DANUM,DANUM,5.01666667,117.8208333,0,2004-11,295.6
DANUM,DANUM,5.01666667,117.8208333,0,2004-12,417.7
DANUM,DANUM,5.01666667,117.8208333,0,2005-01,209.5
DANUM,DANUM,5.01666667,117.8208333,0,2005-02,65.9
DANUM,DANUM,5.01666667,117.8208333,0,2005-03,236.5
DANUM,DANUM,5.01666667,117.8208333,0,2005-04,60.3
DANUM,DANUM,5.01666667,117.8208333,0,2005-05,312.5
DANUM,DANUM,5.01666667,117.8208333,0,2005-06,371.7
