"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1995-06","48.6"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1995-07","91.1"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1995-09","155.7"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1995-11","64.0"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1996-02","358.1"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1996-07","130.3"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1997-06","15.0"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1997-09","30.0"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1998-03","56.1"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1998-06","148.5"
"IDM00097096","KASIGUNCU, ID","-1.417","120.658","53.0","1998-09","137.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1993-02","8.9"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1995-06","11.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1995-09","57.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1995-10","22.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1995-11","43.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1995-12","27.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-01","16.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-02","25.6"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-03","14.3"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-04","44.7"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-05","13.4"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-06","57.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-07","41.3"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-08","29.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-09","120.9"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-10","26.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-11","15.8"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1996-12","10.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-02","36.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-03","35.8"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-04","2.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-05","13.9"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-06","21.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-07","27.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-08","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-09","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-10","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1997-11","34.8"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-02","2.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-03","12.9"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-04","21.8"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-06","61.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-09","33.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-10","27.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1998-11","136.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","1999-11","5.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2002-09","4.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2002-11","26.6"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2003-07","50.6"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2003-08","42.1"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2003-10","19.8"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2004-01","151.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2004-02","13.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2004-08","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2004-10","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2004-11","3.5"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2005-01","11.2"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2005-02","0.0"
"IDM00097072","MUTIARA, ID","-0.919","119.91","86.6","2005-06","55.3"
"IDM00097182","UJANG PANDANG PAOTERE, ID","-5.067","119.55",,"1996-05","7.1"
"IDM00097182","UJANG PANDANG PAOTERE, ID","-5.067","119.55",,"1996-06","14.0"
"IDM00097182","UJANG PANDANG PAOTERE, ID","-5.067","119.55",,"1996-07","2.0"
"IDM00097182","UJANG PANDANG PAOTERE, ID","-5.067","119.55",,"1996-08","0.0"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1995-07","14.2"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1995-10","2.0"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1995-11","29.5"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1996-11","55.9"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1997-11","0.0"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1998-09","0.0"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1998-10","65.0"
"IDM00097192","BAU BAU BETO AMBIRI, ID","-5.467","122.617","2.0","1998-11","129.5"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1981-02","403.6"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1981-03","230.0"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1981-12","448.6"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1992-11","92.2"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1995-05","4.5"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1995-08","0.0"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1995-09","4.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1995-10","4.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1995-11","208.2"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-03","72.8"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-04","75.4"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-05","81.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-06","9.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-07","21.5"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-08","7.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-09","35.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-10","57.9"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1996-11","99.3"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1997-02","355.6"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1997-03","62.2"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1997-04","70.1"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1997-05","2.0"
"IDM00097180","HASANUDDIN, ID","-5.062","119.554","14.3","1997-06","22.1"
