Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,113.2,185.0072021,193.4294434
1/02/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,316.2488708,216.8663177
1/03/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,219.3,233.9686279,197.7926636
1/04/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,392.0171814,239.6017456
1/05/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,315.9,441.0735474,297.7238159
1/06/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,193.1106873,157.514801
1/07/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,217.4501495,158.9716034
1/08/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,105.3107834,114.4797668
1/09/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,311.0953064,245.6475525
1/10/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,155.9,180.0450745,177.1195374
1/11/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,290.7635193,220.815094
1/12/2000,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,230.4638214,242.2055511
1/01/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,413.3,483.0572815,384.8859863
1/02/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,231,357.2096863,309.0949402
1/03/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,199.7,265.9760132,267.8091431
1/04/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,332.5263062,261.3887024
1/05/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,407,395.4689636,265.8434448
1/06/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,175.7683105,142.2677307
1/07/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,218.7205048,177.039032
1/08/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,42.47655487,84.12540436
1/09/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,104.687973,156.8604584
1/10/2001,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,155.3609924,146.5660095
