STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS,TAVG,TMAX,TMIN
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2000,,15.60862923,29.14712906,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2000,,7.724454403,15.30686188,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2000,,250.3853302,100.5029831,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2000,,180.5887604,221.562439,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2000,,69.20796967,272.2600098,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2000,,332.8600464,458.6234741,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2000,702.6,486.6726074,796.4372559,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2000,,260.6500244,617.3016357,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2000,339.2,145.6755219,432.973938,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2000,,231.8104248,345.1760559,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2000,,132.4464111,106.0184097,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2000,,0,20.87723923,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2001,,11.35325241,11.02620792,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2001,,36,45.74677658,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2001,,177.0163879,180.6141663,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2001,,199.1783905,229.7039642,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2001,,523.3267212,331.1836548,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2001,647.6,422.710968,478.840332,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2001,,181.5547028,450.6975708,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2001,,8.13599968,283.0356445,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2001,335.5,302.207428,569.2407837,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2001,,281.0915833,407.493042,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2001,,177.6663666,159.1934814,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2001,,22.30886078,34.13549042,,32,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2002,,2.047811508,16.80219269,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2002,,64.99521637,67.64247894,,33.4,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2002,,300.7140503,193.6704712,,32.5,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2002,,222.0296936,247.0933228,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2002,,293.3186951,309.7559814,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2002,,102.0217361,397.1448669,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2002,,168.2260742,738.5040894,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2002,774.7,435.914856,1037.515747,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2002,,470.2559204,583.6544189,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2002,,202.4907074,370.057251,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2002,,97.78459167,116.8666306,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2002,,36.73663712,17.67676926,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2003,,74.33999634,31.55162048,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2003,,112.3242188,54.2542305,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2003,,40.24238968,104.7322845,,33.1,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2003,,144.4935455,198.7061157,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2003,291.3,209.2024994,313.5174561,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2003,240.5,191.1276855,323.0992737,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2003,,27.09034157,598.2418823,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2003,,287.2264099,776.2471313,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2003,318.6,163.2122498,472.4263916,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2003,,133.2347412,241.9002228,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2003,,104.4591599,113.0007935,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2003,,29.81810188,20.87446976,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2004,,22.11406898,38.34687042,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2004,,9.355054855,20.03817368,,34.2,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2004,,32.00371933,83.39325714,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2004,244.3,225.9368286,288.581543,,32.3,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2004,,327.7125549,305.8257141,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2004,346,252.1377869,352.2098389,,30.1,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2004,404.1,143.1996765,427.3606567,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2004,782.8,379.6505737,734.763855,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2004,590.3,287.6365662,538.9873657,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2004,,300.1340942,407.8078308,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2004,,193.2288666,198.5196075,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2004,,59.6998024,48.77888107,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2005,,16.28453255,22.13290596,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2005,,26.63036156,56.72806549,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2005,,184.3113098,219.9571533,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2005,178.3,122.7244797,170.3678284,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2005,,229.7166901,293.6627502,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2005,,185.5839233,327.9240723,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2005,,36.06164932,275.51651,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2005,465,158.0472412,622.2963867,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2005,673.4,501.8052673,716.206543,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2005,,238.5836639,351.1906128,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2005,,132.2626953,141.5275879,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2005,,11.33234215,43.5280838,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2006,,46.58310318,34.24221039,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2006,,90.51150513,75.53103638,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2006,,206.5520325,197.8860321,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2006,,167.1125488,214.6726227,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2006,,241.5505676,292.4232178,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2006,,56.3286438,365.2121582,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2006,,491.9710693,855.1011963,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2006,539.5,509.31427,845.6871948,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2006,682.9,763.8540039,1029.593872,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2006,,284.0463867,407.4407959,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2006,,90.53031921,111.3562469,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2006,,25.60409164,24.70680428,,,24.1
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2007,,0,7.943494797,,,23.6
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2007,,41.78149796,40.65905762,,,25.4
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2007,,52.76764679,105.9298553,,34.1,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2007,,126.3227844,227.2689209,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2007,,109.1459808,338.3269653,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2007,,481.0354309,602.4324951,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2007,,514.2096558,910.5985107,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2007,,432.8171692,967.9190063,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2007,,83.9932785,539.2253418,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2007,,474.7445374,489.6905212,,30.4,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2007,,134.7544556,106.3326187,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2007,,72.79498291,51.40373993,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2008,,7.610598564,22.87154388,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2008,,0,20.25572968,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2008,,71.90680695,145.0828552,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2008,,231.8787079,292.0686951,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2008,,126.7238235,269.105835,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/06/2008,,175.5953369,373.5410767,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/07/2008,,108.2960129,650.8911743,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/08/2008,432.1,244.678833,592.2598877,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/09/2008,,325.8513184,568.4912109,,29.8,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/10/2008,,155.8624268,292.6045532,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/11/2008,,37.05444717,85.09589386,,,24.3
CM000004910,"DOUALA, CM",4.02,9.72,13,1/12/2008,,49.48786545,57.59905243,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/01/2009,,13.28399944,80.34533691,,,24.6
CM000004910,"DOUALA, CM",4.02,9.72,13,1/02/2009,,48.64316559,54.052742,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/03/2009,,88.31563568,244.2177887,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/04/2009,,169.4039307,228.0434265,,,
CM000004910,"DOUALA, CM",4.02,9.72,13,1/05/2009,,98.08598328,323.2427368,,,
