Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2000,120,206.6488342,198.321991
1/02/2000,188,167.1343536,172.5838013
1/03/2000,417,427.5335693,307.213562
1/04/2000,365,272.1726379,290.7922363
1/05/2000,214,282.4778748,276.3047485
1/06/2000,203,194.6848755,230.7363281
1/07/2000,161,214.1210785,265.7978821
1/08/2000,156,150.9154053,158.2438965
1/09/2000,154,202.9971313,166.483429
1/10/2000,92,112.4724426,233.2861938
1/11/2000,184,266.4049072,178.0339966
1/12/2000,,256.1804504,214.0683289
1/01/2001,381,421.5867004,319.3557129
1/02/2001,271,419.8183594,267.8490906
1/03/2001,222,328.6212463,278.8175354
1/04/2001,212,245.6121216,249.8667297
1/05/2001,317,360.3976746,306.8348083
1/06/2001,211,205.6473541,213.5170593
1/07/2001,152,147.359024,204.6435852
1/08/2001,85,131.2733765,171.9884033
1/09/2001,125,138.644455,145.0220184
1/10/2001,142,133.1196289,148.0901031
1/11/2001,85,76.84403229,104.4458466
1/12/2001,,283.4073486,301.6896057
1/01/2002,131,177.5626678,162.919632
1/02/2002,232,241.7027283,183.3917236
1/03/2002,160,193.9949493,236.4477539
1/04/2002,205,234.7709198,282.7678528
1/05/2002,547,459.6903076,487.2209473
1/06/2002,171,231.5198212,153.1969452
1/07/2002,272,312.6062012,258.6586304
1/08/2002,180,124.6708832,199.6157837
1/09/2002,202,132.8996582,149.6582031
1/10/2002,209,187.8303528,224.8259888
1/11/2002,244,241.7468109,195.6003113
1/12/2002,,381.868042,234.6205444
1/01/2003,102,95.24640656,97.13025665
1/02/2003,132,221.6048584,169.4038696
1/03/2003,236,227.7054443,282.2868652
1/04/2003,207,203.1440582,244.8572845
1/05/2003,369,331.0888672,390.5031128
1/06/2003,213,218.8708191,321.6522217
1/07/2003,197,122.8201447,204.5694122
1/08/2003,109,173.3836212,158.0614471
1/09/2003,91,87.66694641,116.7654953
1/10/2003,115,142.4072876,135.3665161
1/11/2003,72,101.9535828,124.5200348
1/12/2003,,181.65979,192.5933533
1/01/2004,269,215.4839172,321.9630127
1/02/2004,241,217.8760529,212.658783
1/03/2004,320,364.8190308,335.2010803
1/04/2004,177,230.3980408,189.3118896
1/05/2004,176,203.7032166,225.320343
1/06/2004,173,211.5752563,234.1853638
1/07/2004,205,167.263382,233.9415283
1/08/2004,107,133.7789154,144.478363
1/09/2004,120,134.4569702,172.5690918
1/10/2004,198,177.9313812,183.7561951
1/11/2004,142,142.5129852,141.1493225
1/12/2004,,151.3401031,195.6876526
1/01/2005,109,158.7422485,280.0157776
1/02/2005,354,354.427948,395.5747681
1/03/2005,409,367.1947937,265.0253296
1/04/2005,326,351.3719482,314.1999512
1/05/2005,302,397.3328247,316.9381409
1/06/2005,59,105.3119888,153.4815674
1/07/2005,111,122.1578445,119.6183701
1/08/2005,144,97.37320709,158.19487
1/09/2005,67,152.0007935,99.39332581
1/10/2005,199,213.6417999,202.2648621
1/11/2005,184,260.3082886,212.7221069
1/12/2005,,334.9448853,268.4881897
1/01/2006,264,371.1851807,327.4138489
1/02/2006,215,178.2199097,255.7344666
1/03/2006,204,312.39328,204.94104
1/04/2006,313,239.4664459,249.4439392
1/05/2006,298,359.6768494,316.1414185
1/06/2006,157,192.8468323,230.2160034
1/07/2006,197,194.6502991,181.7278442
1/08/2006,166,90.36281586,157.6120758
1/09/2006,164,148.7294617,160.4257202
1/10/2006,238,221.5205231,222.842926
1/11/2006,355,239.0986633,274.3685608
1/12/2006,,465.3813477,224.5766449
1/01/2007,229,216.6295929,244.5911102
1/02/2007,46,61.04957581,109.3703918
1/03/2007,259,245.7835999,356.9549866
1/04/2007,392,364.0770874,321.8206482
1/05/2007,287,244.4499512,297.2562561
1/06/2007,197,214.5922394,268.3588867
1/07/2007,193,181.3873901,177.111496
1/08/2007,97,103.1382294,140.4042664
1/09/2007,141,103.3736877,165.9915314
1/10/2007,205,188.9535675,221.5992279
1/11/2007,217,242.3454132,206.9615173
1/12/2007,,310.3959351,292.0267029
1/01/2008,380,301.816925,343.791687
1/02/2008,332,319.6990051,258.7320862
1/03/2008,299,222.4269409,235.8580475
1/04/2008,316,263.554718,249.0297546
1/05/2008,337,372.12323,339.4496765
1/06/2008,211,224.6874542,248.2720947
1/07/2008,159,95.35936737,206.0056305
1/08/2008,185,188.5832825,176.5434875
1/09/2008,136,174.1259155,162.9906769
1/10/2008,232,160.7829895,203.5361938
1/11/2008,139,198.5379333,205.2616272
1/12/2008,,329.3946533,288.8336792
1/01/2009,410,527.4862061,387.9187622
1/02/2009,184,245.7032318,188.9694366
1/03/2009,296,312.6292419,256.0903931
1/04/2009,235,312.8048706,260.85672
1/05/2009,456,353.3363342,349.2849731
1/06/2009,281,294.4182739,356.0389404
1/07/2009,293,280.4933777,235.8240967
1/08/2009,110,105.6917343,145.5649719
1/09/2009,146,109.5084763,161.4850922
1/10/2009,115,149.8522186,135.6801453
1/11/2009,80,108.9430389,106.6146469
1/12/2009,,167.4803314,209.3263245
1/01/2010,287,228.0839233,225.993454
1/02/2010,181,170.5127258,198.2400818
1/03/2010,198,197.0382233,236.8420258
1/04/2010,261,387.490509,301.7115479
1/05/2010,335,378.2250671,275.8244019
1/06/2010,250,242.2841187,295.659729
1/07/2010,225,154.0362549,160.1588287
1/08/2010,81,173.9083099,154.9248047
1/09/2010,43,38.58212662,88.34141541
1/10/2010,175,186.6734314,160.4169922
1/11/2010,124,182.0695953,221.2285461
1/12/2010,,228.5358429,188.5057983
1/01/2011,210,232.8594971,304.2836914
1/02/2011,197,169.6035156,302.4066162
1/03/2011,249,237.8662567,237.9474487
1/04/2011,445,377.6308899,333.8004456
1/05/2011,449,405.5689392,453.0348511
1/06/2011,139,142.7734833,219.0591888
1/07/2011,100,69.19551086,159.1890869
1/08/2011,30,73.94839478,66.74503326
1/09/2011,175,201.2157593,182.9119263
1/10/2011,192,142.0797424,157.2172852
1/11/2011,138,182.0827637,198.9068451
1/12/2011,,232.5205078,245.5436096
1/01/2012,415,514.2939453,456.3283386
1/02/2012,186,309.2047119,190.1278076
1/03/2012,417,419.6600647,365.7160645
1/04/2012,299,325.9563599,268.6560669
1/05/2012,319,317.3757019,282.6419678
1/06/2012,161,196.9654846,211.7969513
1/07/2012,229,189.8059692,188.9620209
1/08/2012,78,88.41753387,115.7071838
1/09/2012,116,119.2601547,123.4006119
1/10/2012,50,88.51327515,222.4216766
1/11/2012,103,94.90808868,157.8813782
1/12/2012,,255.3843536,176.1407471
1/01/2013,155,195.1479797,174.6768036
1/02/2013,312,413.9327698,273.979187
1/03/2013,325,381.1569824,303.8945313
1/04/2013,231,287.3305969,241.686142
1/05/2013,458,451.8297729,414.172699
1/06/2013,285,269.2316589,245.0157623
1/07/2013,265,149.8304443,221.1001129
1/08/2013,258,197.0142517,258.8098145
1/09/2013,138,102.9446259,187.3496552
1/10/2013,71,76.91394806,151.7594604
1/11/2013,300,286.2761841,332.085144
1/12/2013,,156.3820953,167.5050201
1/01/2014,288,244.464859,280.574585
1/02/2014,277,353.1749573,216.9225006
1/03/2014,444,328.644104,371.0844727
1/04/2014,348,334.4628601,301.4307251
1/05/2014,349,278.4969788,357.5758972
1/06/2014,343,167.5176697,203.099884
1/07/2014,189,152.225296,122.4113007
1/08/2014,138,118.7407227,163.1442413
1/09/2014,105,140.0985718,133.9402466
1/10/2014,118,147.9850769,154.1098328
1/11/2014,194,201.0645142,192.2234955
1/12/2014,,254.9398651,206.2516632
1/01/2015,357,336.7998962,291.3079529
1/02/2015,106,210.8399658,128.2161865
1/03/2015,157,293.9328918,202.0297089
1/04/2015,101,149.7474213,210.9763489
1/05/2015,217,404.033905,284.6732178
1/06/2015,103,145.1976624,155.3135071
1/07/2015,76,83.62064362,132.9632111
1/08/2015,110,126.3894119,164.7965088
1/09/2015,43,39.62548447,78.01726532
1/10/2015,108,95.69586945,126.5397797
1/11/2015,84,160.7481384,161.9622192
1/12/2015,,166.5691223,166.9251251
1/01/2016,215,169.4391479,186.8766785
1/02/2016,284,235.3829651,203.2271576
1/03/2016,147,227.0537415,299.2912598
1/04/2016,253,262.7583313,293.9119263
1/05/2016,200,227.1371002,234.4212189
1/06/2016,232,194.5864105,255.6992798
1/07/2016,188,192.7884674,228.9859314
1/08/2016,89,101.8417358,121.9865265
1/09/2016,,111.2592545,129.3797455
1/10/2016,113,198.97789,142.4069214
1/11/2016,,118.7649078,213.6108856
1/12/2016,,223.1158447,229.7825928
