date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2000,"IQUITOS, PE",-3.783,-73.3,126,,241.9708405,99.70443726
1/02/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,262.4031372,121.6744232
1/03/2000,"IQUITOS, PE",-3.783,-73.3,126,354.1,377.4266052,231.6134796
1/04/2000,"IQUITOS, PE",-3.783,-73.3,126,307.1,418.2325439,352.3022766
1/05/2000,"IQUITOS, PE",-3.783,-73.3,126,336.9,307.335968,183.9349976
1/06/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,181.4725952,109.964653
1/07/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,157.5177155,102.8852844
1/08/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,326.3327942,176.2451782
1/09/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,237.9606018,138.8802032
1/10/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,159.7313385,93.81257629
1/11/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,141.9293671,78.56288147
1/12/2000,"IQUITOS, PE",-3.783,-73.3,126,NA,241.7525482,206.6414948
1/01/2001,"IQUITOS, PE",-3.783,-73.3,126,441.9,353.058075,197.4670105
1/02/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,253.611969,125.1620712
1/03/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,346.0937805,275.9951172
1/04/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,271.3787231,225.5410156
1/05/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,253.7279358,135.4481659
1/06/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,150.7548218,116.7909851
1/07/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,140.9144897,119.2036438
1/08/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,83.65847778,52.88964844
1/09/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,152.3286438,140.8232422
1/10/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,290.9776611,160.9588928
1/11/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,177.054657,123.0673523
1/12/2001,"IQUITOS, PE",-3.783,-73.3,126,NA,372.3569336,323.5457458
1/01/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,188.3681488,163.5661926
1/02/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,189.7027435,145.9298706
1/03/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,366.6723633,308.374176
1/04/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,235.7723694,117.7183838
1/05/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,320.3569946,207.6436005
1/06/2002,"IQUITOS, PE",-3.783,-73.3,126,NA,91.325737,64.78197479
