STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2000,,276.8895264,335.0418091,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2000,,80.18999481,408.144104,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2000,,161.5162506,428.9871826,,,TRMM,189.4401374
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2000,,281.7313232,740.3865967,,,CHIRPS,362.153796
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2000,,422.7267761,923.262207,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2000,,305.9009705,682.3908691,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2000,,339.8478394,254.7819061,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2000,,206.8651276,202.1292572,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2000,,99.75084686,101.0725708,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2000,,114.6227646,102.1776657,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2000,,148.1708527,350.464386,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2000,,250.2471619,501.092041,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2001,,231.7091675,211.9893799,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2001,27.2,36.54000092,146.5430298,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2001,,41.22000122,131.3108063,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2001,,135.8789825,306.4663696,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2001,346.1,270.6244202,590.296936,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2001,150.2,241.183197,437.6567078,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2001,337.7,253.693512,283.0867615,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2001,,59.38336945,88.44291687,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2001,,157.853775,144.7884521,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2001,,67.26344299,75.10328674,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2001,,189.3724213,324.7663269,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/12/2001,,282.817688,403.2915039,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/01/2002,,219.3596954,242.6276093,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/02/2002,,54.62999725,285.362793,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/03/2002,,78.69631958,326.0245056,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/04/2002,,300.0995483,804.4481201,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/05/2002,,270.878418,663.0201416,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/06/2002,,352.1760864,957.4699707,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/07/2002,,187.1913605,200.4766083,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/08/2002,,197.4120331,233.2606049,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/09/2002,,208.1143036,107.7994995,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/10/2002,,67.98243713,53.97941589,,,,
NSM00081225,"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188,18,1/11/2002,,160.934845,284.2198792,,,,
