STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2000,446.6,306.5028076,388.8588867
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2000,439.6,360.3265991,362.3378601
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2000,556.6,350.7243652,436.6904602
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2000,306.6,177.7052765,219.6857605
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2000,79.2,25.19999886,18.80526733
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2000,88.2,14.6340313,58.46949387
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2000,35.1,16.92162514,30.53736496
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2000,19.5,1.529999971,22.09856415
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2000,1.4,0.744000018,6.750306129
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2000,182.2,92.87999725,48.43563461
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2000,315.9,269.4661865,281.3968811
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2000,874.4,620.9163818,497.7053833
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2001,234.9,162.7233887,226.3456726
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2001,584.1,472.5687256,554.9181519
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2001,375.1,271.0686646,343.8418884
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2001,574,304.9193726,229.7992859
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2001,14.3,2.159999847,9.744356155
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2001,63.4,10.34999943,56.0639801
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2001,19.2,3.870000124,28.09623146
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2001,21,9.269999504,22.49602699
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2001,1.6,0.179999992,6.634346008
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2001,28.4,15.30199337,18.42665482
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2001,112.6,79.19646454,81.36937714
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2001,33.6,61.22346878,96.20342255
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2002,273.5,240.0254974,200.7814941
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2002,348.2,353.2228699,362.4628296
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2002,272.2,169.2525787,246.8487549
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2002,220,115.7820358,118.6746597
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2002,9.6,0.089999996,15.28258705
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2002,17.8,2.96999979,34.41501236
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2002,45.8,7.920000076,31.43634415
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2002,9,5.112816334,20.05729294
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2002,12.2,4.230000019,8.634962082
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2002,0.4,0,4.268525124
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2002,7.4,1.320000052,8.215109825
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2002,68,58.94163513,112.3863831
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2003,549.6,398.9242859,402.3217773
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2003,346.2,259.6967163,260.5700684
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2003,677.8,444.8629456,397.2965698
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2003,30.2,1.889999866,19.32553482
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2003,33.6,0.359999985,24.76432037
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2003,93.2,28.16999817,69.0040741
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2003,77,18.44999886,39.61233521
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2003,15.2,3.149999857,20.710783
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2003,2,0,6.62724781
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2003,0.8,2.859479427,7.178865433
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2003,11.8,5.010172367,18.94992447
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2003,284.2,188.0090637,194.9232788
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2004,363,253.2517548,285.6270447
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2004,274.5,307.8961182,385.7263794
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2004,471.8,415.6908875,444.9734192
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2004,214.9,64.52999878,111.7936935
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2004,84.6,12.77999973,55.65150452
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2004,45.8,38.03062439,57.90225983
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2004,21.2,1.709999919,28.30018806
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2004,2.2,0.334136873,16.71640778
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2004,9,5.549807549,10.45643806
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2004,37.2,2.159999847,9.123781204
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2004,13,11.33299637,26.85672951
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2004,,123.0073547,154.0822144
