Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2000,350,269.4045105,320.6896362
1/02/2000,344,360.3143921,323.0570679
1/03/2000,341,400.3166504,353.1434326
1/04/2000,535,558.5825195,458.0722351
1/05/2000,173,267.7610168,211.4382935
1/06/2000,48,145.4781494,82.99069977
1/07/2000,41,77.87469482,66.5914917
1/08/2000,140,135.6674652,96.96290588
1/09/2000,218,156.0565491,166.1698456
1/10/2000,47,135.593689,95.02116394
1/11/2000,170,219.6275635,169.8044739
1/12/2000,192,165.7589874,176.4811554
1/01/2001,348,327.8894958,323.3777161
1/02/2001,220,153.7427673,215.7153168
1/03/2001,216,189.8660736,247.9187012
1/04/2001,188,176.3695068,207.6344604
1/05/2001,231,172.5078125,234.9185944
1/06/2001,164,203.7196808,153.0193939
1/07/2001,51,43.77335358,51.88847351
1/08/2001,15,20.52497101,22.16005898
1/09/2001,88,76.3660965,81.26686096
1/10/2001,28,149.2238007,88.20481873
1/11/2001,273,124.0343246,164.5717163
1/12/2001,222,224.3211517,234.4304199
1/01/2002,381,249.7557678,309.9021606
1/02/2002,240,258.9845276,259.7555847
1/03/2002,195,178.4070435,209.2307587
1/04/2002,377,329.8976135,352.8027954
1/05/2002,264,206.6316833,298.9771729
1/06/2002,,159.8616791,145.427597
1/07/2002,3,15.68219376,30.41782379
1/08/2002,35,40.86623764,41.2549324
1/09/2002,60,75.55924225,64.71438599
1/10/2002,216,149.5099945,195.5757141
1/11/2002,81,76.49081421,93.86262512
1/12/2002,320,246.4471283,239.9358368
1/01/2003,106,54.32152557,95.05508423
1/02/2003,341,223.7245178,272.7549438
1/03/2003,209,140.6931305,210.9471893
1/04/2003,390,709.1504517,341.1335449
1/05/2003,218,321.6401978,244.1945648
1/06/2003,111,96.76862335,121.7256317
1/07/2003,93,78.8955307,77.40830231
1/08/2003,118,80.99863434,91.87483215
1/09/2003,61,92.92728424,64.73073578
1/10/2003,97,111.3582687,127.3914642
1/11/2003,120,103.8423386,140.5050964
