Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/01/2000,640.3,663.4712524,575.4020386
1/02/2000,315.1,432.4623108,395.788269
1/03/2000,230,272.031311,277.0240173
1/04/2000,316.4,354.1136169,366.6871338
1/05/2000,184.7,210.185257,194.8773041
1/06/2000,194.7,266.3864441,265.8118286
1/07/2000,52.3,110.8246765,87.29768372
1/08/2000,162.4,196.6376343,175.0121613
1/09/2000,510.2,498.1871033,406.5675354
1/10/2000,183.3,216.8475037,240.1878204
1/11/2000,151,263.9260559,262.247345
1/12/2000,163.6,258.3620605,291.067627
1/01/2001,280,426.5473328,429.5463867
1/02/2001,372,396.7573242,352.6299744
1/03/2001,193,224.6021118,346.4927673
1/04/2001,337,346.5472717,311.5347595
1/05/2001,149,184.9670715,159.408905
1/06/2001,143,145.9248657,162.571228
1/07/2001,257,213.5402985,201.5735321
1/08/2001,153,196.2185516,151.2263641
1/09/2001,233,340.7206116,283.3041687
1/10/2001,285,239.8219299,277.2486572
1/11/2001,242,286.0175171,274.0690613
1/12/2001,286,329.447876,271.9997253
1/01/2002,336,436.2621765,488.0707092
1/02/2002,322,360.9570618,266.4108582
1/03/2002,264,408.0054626,392.0300598
1/04/2002,354,289.7545471,269.2005615
1/05/2002,176,224.3945465,195.4578552
1/06/2002,186,217.0215759,204.7102966
1/07/2002,58,127.9023132,112.124588
1/08/2002,250,315.442627,211.2547607
1/09/2002,411,382.4311829,310.019043
1/10/2002,433,371.5512085,347.0924072
1/11/2002,368,358.6828613,338.4176636
1/12/2002,300,389.3022766,296.2397156
1/01/2003,824,735.1469116,573.6450806
1/02/2003,327,448.8314819,390.8751831
1/03/2003,256,286.5063477,296.0863647
1/04/2003,387,371.6188049,370.2601013
1/05/2003,184,187.8639221,181.478653
1/06/2003,146,203.5133667,202.973175
1/07/2003,202,182.9940338,178.5684662
1/08/2003,129,189.3493805,174.0065613
1/09/2003,253,281.0828247,245.6390381
1/10/2003,289,336.3138123,310.0880127
1/11/2003,456,417.2014465,392.0019836
1/12/2003,434,482.5279541,407.8685303
1/01/2004,823,670.531311,688.7414551
1/02/2004,198,194.0617218,183.1210175
