NAME,LATITUDE,LONGITUDE
Caxiuana,-1.735681,-51.46198
Manaus,-2.958,-59.938
"IPIXUNA, BR",-7.05,-71.68
"IQUITOS, PE",-3.783,-73.3
"SERRA DO MOA, BR",-7.44,-73.65
"BRASILEIA PCD, BR",-11.02,-68.74
"COBIJA, BL",-11.03,-68.78
"SERINGAL DA CARIDADE, BR",-9.03,-68.57
"TAUMATURGO, BR",-8.94,-72.79
"PALMEIRAS DO JAVARI, BR",-5.13,-72.8
"SERINGAL SAO JOSE, BR",-9.32,-68.72
"FEIJO, BR",-8.15,-70.37
"PORTO VALTER, BR",-8.27,-72.73
"XAPURI, BR",-10.65,-68.51
"FOZ DO JORDAO, BR",-9.43,-71.88
"SERINGAL BOA FE, BR",-7.24,-72.33
"SERINGAL SANTO AMARO, BR",-7.27,-70.98
"ENVIRA, BR",-7.32,-70.25
"FAZENDA JUSSARA, BR",-9.35,-69.92
"SERINGAL GUARANY, BR",-9.35,-69.42
"FOZ DO GREGORIO, BR",-6.8,-70.65
"FAZENDA SANTO AFONSO, BR",-10.07,-67.93
"FAZENDA CALIFORNIA, BR",-9.13,-70.82
"FAZENDA PETROPOLIS, BR",-10.52,-69.83
"ASSIS BRASIL, BR",-10.93,-69.57
"MANOEL URBANO, BR",-8.88,-69.27
"SANTA ROSA DO PURUS, BR",-9.38,-70.47
"FOZ DO BREU, BR",-9.4,-72.7
"RIO PRETO DA EVA, BR",-2.7,-59.7
"CARAO, BR",-2.91,-60.67
"NOVO AIRAO, BR",-2.63,-60.94
"FAZENDA PAQUIRA, BR",-0.42,-53.7
"LOURENCO, BR",2.31,-51.64
"APALAI, BR",1.22,-54.66
"SAO FRANCISCO PCD, BR",-0.57,-52.58
"CARECURU, BR",-0.13,-52.93
"SERRA DO NAVIO PCD, BR",0.9,-52.01
"PANCADA, BR",-0.18,-51.8
"ACAMPAMENTO ICOMI, BR",0.34,-51.75
"MARIPASOULA, FG",3.633,-54.033
"JOHAN A PENGEL INTERNATIONAL, NS",5.453,-55.188
"LEONIDAS, BR",0.83,-51.63
"FAZENDA SAO JOSE, BR",0.52,-60.47
"SITIO SANTA MARIA, BR",0.78,-59.34
"FAZENDA CASTANHAL, BR",0.88,-59.65
"AGROPECUARIA BOA VISTA, BR",1.46,-60.77
"CARACARAI, BR",1.833,-61.133
"FAZENDA PARANA ANAUA, BR",1.13,-60.4
"CACHOEIRA MORENA, BR",-2.11,-59.34
"BARURI, BR",-2.02,-61.54
"ALDEIA WAI WAI, BR",-0.7,-57.97
"PRESIDENTE FIGUEIREDO, BR",-2.04,-60.03
"BALBINA P 8 UHE BALBINA, BR",-1.94,-59.48
"POSTO ABONARI FUNAI, BR",-1.3,-60.4
"UMANAPANA, BR",-1.88,-62.46
"CARVOEIRO, BR",-1.39,-61.98
"MOURA PCD, BR",-1.46,-61.63
"FAZENDA SAO LUCAS, BR",-0.23,-60.69
"BASE ALALAU, BR",-0.86,-60.52
"TERRA PRETA, BR",-0.87,-61.93
"RANCHO DO BARROSO, BR",-1.67,-58.54
"BASE DA SIDERAMA, BR",-1.64,-58.52
"JALAUACA, BR",-0.3,-62.76
"SANTA MARIA DO BOIACU PCD, BR",-0.51,-61.79
"CUMARU, BR",-0.6,-63.4
"PALMEIRAL, BR",-9.52,-64.81
"RIBERALTA, BL",-11.0,-66.117
"ESCOLA CARAMURU, BR",-10.51,-63.65
"GUAYARAMERIN, BR",-10.817,-65.349
"MINERACAO PONTE MASSANGANA, BR",-10.35,-63.42
"CACHOEIRA, BR",-7.7,-66.05
"FAZENDA BORANGABA, BR",-7.55,-67.56
"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943
"SANTOS DUMONT, BR",-6.44,-68.24
"TABATINGA PCD, BR",-4.25,-69.95
"TERESINA, BR",-4.28,-69.73
"FAZ.SAO LUIZ NOVA CALIFORNIA, BR",-9.76,-66.61
"ESTIRAO DO REPOUSO, BR",-4.37,-70.93
"CACHOEIRA FORTALEZA JUSANTE, BR",-8.82,-66.18
"REST.PORTEIRA DO AMAZONAS, BR",-9.43,-67.28
"SOLEDADE, BR",-6.62,-69.13
"SERINGAL FORTALEZA, BR",-7.72,-66.98
"ABUNA, BR",-9.7,-65.35
"JUTAI, BR",-4.67,-68.92
"FLORIANO PEIXOTO, BR",-9.05,-67.37
"INAUINI, BR",-8.53,-67.42
"BOCA DO ACRE, BR",-8.75,-67.4
"FAZENDA SHEFFER, BR",-8.33,-65.72
"XIBAUA, BR",-5.89,-67.86
"SERINGAL SAO LUIZ, BR",-11.07,-64.08
"BOA VISTA DOS PACAAS, BR",-11.37,-64.89
"SANTA MARIA, BR",-4.68,-71.47
"LIVRAMENTO, BR",-0.29,-66.15
"CUCUI PCD, BR",1.21,-66.85
"LOURO POCO, BR",1.34,-68.69
"TUNUI, BR",1.39,-68.15
"FORTE DAS GRACAS, BR",-3.64,-66.1
"SAO PAULO DE OLIVENCA PCD, BR",-3.45,-68.8
"BARREIRA BRANCA, BR",-4.32,-67.33
"ESTIRAO DA SANTA CRUZ, BR",-4.29,-65.2
"MACUERU, BR",-1.63,-67.67
"BARREIRA ALTA, BR",-4.23,-67.9
"MARAA, BR",-1.82,-65.35
"SAN CARLOS RIO NEGRO, VE",1.93,-67.05
"VILA BITTENCOURT PCD, BR",-1.38,-69.42
"FAZENDA BOA ESPERANCA, BR",-5.13,-66.3
"SANTA ROSA AMANADONA, VE",1.45,-66.92
"PIRARARA POCO, BR",0.14,-69.21
"SAO FELIPE, BR",0.37,-67.31
"MALOCA SAO TOME, BR",0.17,-67.95
"PARI CACHOEIRA, BR",0.25,-69.78
"BARREIRINHA, BR",-2.1,-66.45
"TAPURUCUARA, BR",-0.417,-65.0
"BARRO ALTO, BR",-3.88,-63.79
"MISSAO ICANA, BR",1.07,-67.59
"SANTO ANTONIO DO ICA PCD, BR",-3.08,-67.93
"SANTA RITA DO WEIL, BR",-3.57,-69.37
"GAVIAO, BR",-4.84,-66.85
"ACANAUI, BR",-1.8,-66.55
"SANTA LUCIA, VE",1.17,-66.92
"IPIRANGA, BR",-2.983,-69.583
"SAO PEDRO, BR",-2.35,-65.12
"MARABITANA IAUARETE, BR",0.43,-68.83
"BALAIO, BR",0.39,-66.65
"SERINGAL JENIPAPO, BR",-6.0,-60.19
"NATAL TIGRE, BR",-6.93,-60.52
"BACABA, BR",-6.32,-64.88
"CANUTAMA, BR",-6.53,-64.38
"HUMAITA PCD, BR",-7.51,-63.03
"ARARI, BR",-5.68,-59.58
"BEABA, BR",-4.85,-62.87
"FAZENDA AGUA AZUL, BR",-7.82,-61.24
"FAZENDA BONSUCESSO, BR",-7.9,-61.18
"VILA DO APUI, BR",-7.2,-59.89
