NAME,n
"ABUNA, BR",108
"ACAMPAMENTO IBDF, BR",212
"ACAMPAMENTO ICOMI, BR",125
"ACANAUI, BR",226
"ACANGATA, BR",110
"AGRO PECUARIA CAJABI, BR",163
"AGROPECUARIA BOA VISTA, BR",140
"ALDEIA DO BAU, BR",121
"ALDEIA WAI WAI, BR",56
"ALENQUER, BR",97
"ALFREDO VASQUEZ COBO, CO",118
"ALMEIRIM, BR",184
"ALTA FLORESTA AERO, BR",240
"ALTAMIRA, BR",62
"AMENADINA, VE",125
"APALAI, BR",198
"ARAPARI, BR",87
"ARARI, BR",84
"ARUMA JUSANTE, BR",98
"ARUMA MONTANTE, BR",37
"ASSIS BRASIL, BR",172
"AUTAZES, BR",57
"BACABA, BR",169
"BALAIO, BR",129
"BALBINA P 8 UHE BALBINA, BR",109
"BALSA DO RIO URUBU, BR",99
"BARRAGEM CONJ.4, BR",94
"BARREIRA ALTA, BR",103
"BARREIRA BRANCA, BR",70
"BARREIRINHA, BR",204
"BARREIRINHA, BR East",99
"BARRO ALTO, BR",151
"BARURI, BR",193
"BASE ALALAU, BR",97
"BASE DA SIDERAMA, BR",71
"BEABA, BR",103
"BELO HORIZONTE, BR",197
"BOA VISTA DO RAMOS, BR",96
"BOA VISTA DOS PACAAS, BR",102
"BOCA DO ACRE, BR",173
"BOCA DO GUARIBA, BR",216
"BOCA DO INFERNO, BR",101
"BOCA DO URUCU, BR",78
"BRASIL NOVO, BR",172
"BRASILEIA PCD, BR",161
"BRASNORTE, BR",148
"BUBURE SAI CINZA, BR",41
"CACHIMBO, BR",133
"CACHOEIRA DA PORTEIRA I PCD, BR",80
"CACHOEIRA FORTALEZA JUSANTE, BR",95
"CACHOEIRA MORENA, BR",125
"CACHOEIRA, BR",206
"CAJUEIRO, BR",163
"CANUTAMA, BR",195
"CARACARAI, BR",194
"CARAMURI, BR",82
"CARAO, BR",204
"CARECURU, BR",48
"CARIUACANGA, BR",76
"CARRAZEDO, BR",90
"CARVOEIRO, BR",240
"CASTANHAL PATU, BR",93
"CASTANHO, BR",67
Caxiuana,154
"COBIJA, BL",52
"COLIDER, BR",155
"CRISTO, BR",94
"CUCUI PCD, BR",230
"CUMARU, BR",231
"CUPARI, BR",188
"CURUAI, BR",112
"ENTRE RIOS, VE",123
"ENVIRA, BR",160
"ESCOLA CARAMURU, BR",169
"ESTIRAO DA SANTA CRUZ, BR",98
"ESTIRAO DO REPOUSO, BR",114
"FAZ.SAO LUIZ NOVA CALIFORNIA, BR",188
"FAZENDA AGROTEP, BR",212
"FAZENDA AGUA AZUL, BR",89
"FAZENDA BELA SOMBRA, BR",85
"FAZENDA BOA ESPERANCA, BR",146
"FAZENDA BONSUCESSO, BR",128
"FAZENDA BORANGABA, BR",106
"FAZENDA CALIFORNIA, BR",104
"FAZENDA CASTANHAL, BR",99
"FAZENDA CIPAUBA, BR",143
"FAZENDA JUSSARA, BR",69
"FAZENDA MARCONDES, BR",141
"FAZENDA PAQUIRA, BR",101
"FAZENDA PARAMAZONAS, BR",34
"FAZENDA PARANA ANAUA, BR",199
"FAZENDA PETROPOLIS, BR",106
"FAZENDA SANTO AFONSO, BR",74
"FAZENDA SAO JOSE, BR",153
"FAZENDA SAO LUCAS, BR",125
"FAZENDA SHEFFER, BR",146
"FAZENDA TOMBADOR, BR",150
"FEIJO, BR",138
"FLORIANO PEIXOTO, BR",55
"FORTE DAS GRACAS, BR",205
"FOZ DO BREU, BR",157
"FOZ DO GREGORIO, BR",165
"FOZ DO JORDAO, BR",71
"GARIMPO DO PATROCINIO, BR",104
"GAVIAO, BR",158
"GOIANO, BR",118
"GRANJA GAZELA, BR",187
"GUARIBA, BR",117
"GUAYARAMERIN, BR",165
"HUMAITA PCD, BR",186
"INAUINI, BR",90
"INDECO, BR",163
"IPIRANGA, BR",140
"IPIXUNA, BR",177
"IQUITOS, PE",248
"IRAPURU, BR",151
"ITAPEUA DO PARA, BR",131
"ITATUBA, BR",80
"JALAUACA, BR",194
"JATOBA, BR",71
"JOHAN A PENGEL INTERNATIONAL, NS",225
"JUARA, BR",162
"JURUENA, BR",152
"JURUTI, BR",112
"JUSANTE FOZ PEIXOTO DE AZEVEDO, BR",126
"JUTAI, BR",107
"KAMARATA, VE",83
"KARARAO, BR",117
"KM 1027 DA BR 163, BR",185
"KM 1130 BR 163, BR",119
"KM 1326 BR 163, BR",98
"KM 1342 TRANSAMAZONICA, BR",112
"KM 1385 BR 163, BR",100
"KM 947 BR 163, BR",192
"LEONIDAS, BR",71
"LIVRAMENTO, BR",235
"LOURENCO, BR",52
"LOURO POCO, BR",193
"MACUERU, BR",161
"MALOCA DO ERICO, BR",84
"MALOCA SAO TOME, BR",201
Manaus,196
"MANOEL URBANO, BR",97
"MARAA, BR",213
"MARABITANA IAUARETE, BR",87
"MARACACUERA FLORESTAL, BR",223
"MARIPASOULA, FG",124
"MAUES, BR",66
"MENCRANOTIRE, BR",62
"MINERACAO PONTE MASSANGANA, BR",148
"MISSAO AUARIS, BR",87
"MISSAO CURURU, BR",90
"MISSAO ICANA, BR",231
"MISSAO SURUCUCU PCD, BR",175
"MOCAMBO, BR",105
"MONTE ALEGRE, BR",198
"MONTE ALEGRE, BR West",61
"MOURA PCD, BR",231
"MUCAJA, BR",109
"NATAL TIGRE, BR",65
"NHAMUNDA, BR",105
"NITEROI TERRA PRETA II, BR",77
"NOVA ESPERANCA, BR",175
"NOVA OLINDA DO NORTE, BR",119
"NOVO AIRAO, BR",210
"NOVO ARIPUANA, BR",199
"NOVO PLANETA, BR",102
"NUCLEO ARIEL, BR",121
"ORIXIMINA, BR",98
"OSORIO FONSECA, BR",114
"PALMEIRAL, BR",179
"PALMEIRAS DO JAVARI, BR",156
"PANCADA, BR",109
"PARI CACHOEIRA, BR",219
"PIE DE SALTO, VE",125
"PIRARARA POCO, BR",88
"PORTO DOS GAUCHOS PCD, BR",131
"PORTO VALTER, BR",175
"PORTUGUES, BR",85
"POSTO ABONARI FUNAI, BR",97
"PRAIA, BR",196
"PRAINHA VELHA, BR",209
"PRESIDENTE FIGUEIREDO, BR",174
"PRIMAVERA DO XINGU, BR",210
"RANCHO DE DEUS, BR",136
"RANCHO DO BARROSO, BR",59
"RECREIO PEDREIRAS, BR",62
"REST.PORTEIRA DO AMAZONAS, BR",175
"RIBERALTA, BL",27
"RIO PRETO DA EVA, BR",70
"RUROPOLIS PRESIDENTE MEDICI, BR",182
"SAN CARLOS RIO NEGRO, VE",191
"SAN FERNANDO ATABAPO, VE",202
"SAN JUAN MANAPIARE, VE",204
"SANTA BARBARA ORINOCO, VE",197
"SANTA JULIA, BR",67
"SANTA LUCIA, VE",152
"SANTA MARIA DO BOIACU PCD, BR",232
"SANTA MARIA GUAICAS, VE",199
"SANTA MARIA, BR",96
"SANTA RITA DO WEIL, BR",141
"SANTA ROSA AMANADONA, VE",142
"SANTA ROSA DO PURUS, BR",69
"SANTA ROSA, BR",158
"SANTAREM AEROPORTO, BR",98
"SANTAREM SUCUNDURI PCD, BR",195
"SANTO ANTONIO DO ICA PCD, BR",205
"SANTOS DUMONT, BR",197
"SAO FELIPE, BR",236
"SAO FRANCISCO PCD, BR",203
"SAO PAULO DE OLIVENCA PCD, BR",204
"SAO PEDRO, BR",100
"SAO RAFAEL, BR",212
"SERINGAL BOA FE, BR",166
"SERINGAL DA CARIDADE, BR",198
"SERINGAL FORTALEZA, BR",156
"SERINGAL GUARANY, BR",133
"SERINGAL JENIPAPO, BR",199
"SERINGAL MOREIRA, BR",128
"SERINGAL SANTO AMARO, BR",92
"SERINGAL SAO JOSE, BR",88
"SERINGAL SAO LUIZ, BR",87
"SERRA DO MOA, BR",195
"SERRA DO NAVIO PCD, BR",203
"SITIO SANTA MARIA, BR",115
"SITIO SAO PEDRO, BR",190
"SOLEDADE, BR",156
"TABATINGA PCD, BR",118
"TAMA TAMA, VE",204
"TAPURUCUARA, BR",187
"TAUMATURGO, BR",193
"TERESINA, BR",128
"TERRA PRETA, BR",124
"TRIVELATO, BR",144
"TUNUI, BR",225
"UAICAS, BR",153
"UMANAPANA, BR",184
"URUARA, BR",193
"URUCARA, BR",98
"VALE DO NATAL, BR",127
"VERA CRUZ, BR",43
"VILA BITTENCOURT PCD, BR",183
"VILA CURUA, BR",68
"VILA DO APUI, BR",179
"VISTA ALEGRE CONJ.2, BR",27
"XAPURI, BR",190
"XIBAUA, BR",196
"YEKUANA, VE",203
