NAME,n
"AMBON PATTIMURA, ID",33
"BABULLAH, ID",17
"BAU BAU BETO AMBIRI, ID",8
"BIAK FRANS KAISIEPO, ID",7
"BINTULU, MY",370
"BRUNEI INTERNATIONAL, BX",156
"BUBUNG, ID",10
DANUM,199
"DARU W.O., PP",8
"GALELA GAMARMALAMU, ID",20
"HASANUDDIN, ID",50
"JALALUDDIN, ID",17
"JAPURA, ID",76
"JAYAPURA SENTANI, ID",8
"JUWATA, ID",8
"KASIGUNCU, ID",11
"KIUNGA W.O., PP",9
"KOTA KINABALU INTERNATIONAL, MY",225
"KUCHING, MY",374
"LABUAN, MY",361
"LOCKHART RIVER AIRPORT, AS",414
"LOS NEGROS ADMRTY IS MOMOTE S, PP",270
"MADANG W.O., PP",275
"MAJENE, ID",13
"MASAMBA ANDI JEMMA, ID",12
"MENADO SAM RATULAN, ID",53
"MIRI, MY",241
"MOMOTE W.O., PP",41
"MUNDA, BP",95
"MUTIARA, ID",49
"SANDAKAN, MY",353
"SEPINGGAN, ID",67
"SIBU, MY",279
"SULTAN MAHMUD BADARUDDIN II, ID",29
"SULTAN SYARIF KASIM II, ID",49
"SYAMSUDIN NOOR, ID",17
"TAWAU, MY",178
"TEMINDUNG, ID",8
"TJILIK RIWUT, ID",13
"WEWAK INTERNATIONAL, PP",8
