date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,26.44615385
1/04/1984,24.22439024
1/05/1984,NA
1/06/1984,NA
1/07/1984,23.4
1/08/1984,NA
1/09/1984,NA
1/10/1984,NA
1/11/1984,NA
1/12/1984,NA
1/01/1985,NA
1/02/1985,23.025
1/03/1985,NA
1/04/1985,23.93529412
1/05/1985,NA
1/06/1985,22.51111111
1/07/1985,22.41891892
1/08/1985,NA
1/09/1985,19.8
1/10/1985,23.35384615
1/11/1985,NA
1/12/1985,NA
1/01/1986,22.78
1/02/1986,NA
1/03/1986,24.45849057
1/04/1986,NA
1/05/1986,24.65070423
1/06/1986,23.7962963
1/07/1986,22.5872549
1/08/1986,NA
1/09/1986,24.05
1/10/1986,NA
1/11/1986,NA
1/12/1986,NA
1/01/1987,NA
1/02/1987,NA
1/03/1987,NA
1/04/1987,NA
1/05/1987,NA
1/06/1987,NA
1/07/1987,NA
1/08/1987,22.99230769
1/09/1987,NA
1/10/1987,NA
1/11/1987,25.8
1/12/1987,21.1
1/01/1988,NA
1/02/1988,NA
1/03/1988,NA
1/04/1988,26.69
1/05/1988,24.84074074
1/06/1988,23.85588235
1/07/1988,22.55714286
1/08/1988,NA
1/09/1988,23.50181818
1/10/1988,23.38113208
1/11/1988,24.01176471
1/12/1988,21.5
1/01/1989,NA
1/02/1989,NA
1/03/1989,NA
1/04/1989,NA
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,NA
1/09/1989,NA
1/10/1989,NA
1/11/1989,NA
1/12/1989,NA
1/01/1990,NA
1/02/1990,NA
1/03/1990,NA
1/04/1990,NA
1/05/1990,NA
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,NA
1/03/1991,NA
1/04/1991,NA
1/05/1991,NA
1/06/1991,NA
1/07/1991,NA
1/08/1991,NA
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,24.4
1/02/1992,23.02121212
1/03/1992,25.0125
1/04/1992,NA
1/05/1992,23.97
1/06/1992,23.31219512
1/07/1992,22.73917526
1/08/1992,NA
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,NA
1/01/1993,23.85526316
1/02/1993,NA
1/03/1993,27.46111111
1/04/1993,26.39735099
1/05/1993,NA
1/06/1993,24.6364486
1/07/1993,NA
1/08/1993,NA
1/09/1993,24.04178082
1/10/1993,NA
1/11/1993,NA
1/12/1993,NA
1/01/1994,NA
1/02/1994,NA
1/03/1994,27.05284091
1/04/1994,NA
1/05/1994,NA
1/06/1994,NA
1/07/1994,NA
1/08/1994,NA
1/09/1994,24.26902655
1/10/1994,23.44183007
1/11/1994,NA
1/12/1994,NA
1/01/1995,24.56534653
1/02/1995,NA
1/03/1995,NA
1/04/1995,NA
1/05/1995,NA
1/06/1995,24.55068493
1/07/1995,23.49583333
1/08/1995,23.82467532
1/09/1995,23.32133333
1/10/1995,23.67802198
1/11/1995,NA
1/12/1995,24.31341463
1/01/1996,25.44827586
1/02/1996,27.50458716
1/03/1996,25.44521739
1/04/1996,NA
1/05/1996,NA
1/06/1996,NA
1/07/1996,NA
1/08/1996,23.78484848
1/09/1996,NA
1/10/1996,23.52142857
1/11/1996,24.74084507
1/12/1996,24.75737705
1/01/1997,24.65795455
1/02/1997,NA
1/03/1997,NA
1/04/1997,NA
1/05/1997,24.99915254
1/06/1997,23.942
1/07/1997,24.06315789
1/08/1997,NA
1/09/1997,24.40277778
1/10/1997,23.99016393
1/11/1997,24.71578947
1/12/1997,24.56625
1/01/1998,23.66210526
1/02/1998,26.85333333
1/03/1998,27.08333333
1/04/1998,26.18396947
1/05/1998,NA
1/06/1998,24.60866142
1/07/1998,23.62485549
1/08/1998,NA
1/09/1998,23.38699187
1/10/1998,23.9128655
1/11/1998,NA
1/12/1998,NA
1/01/1999,23.64181818
1/02/1999,25.27555556
1/03/1999,25.86846847
1/04/1999,24.68714286
1/05/1999,NA
1/06/1999,23.50096154
1/07/1999,23.12282609
1/08/1999,22.85980392
1/09/1999,22.68875
1/10/1999,22.69009009
1/11/1999,23.75964912
1/12/1999,NA
1/01/2000,24.05538462
1/02/2000,24.40617284
1/03/2000,25.60568182
1/04/2000,25.05070423
1/05/2000,NA
1/06/2000,23.34950495
1/07/2000,22.69047619
1/08/2000,NA
1/09/2000,NA
1/10/2000,23.76122449
1/11/2000,24.2952381
1/12/2000,22.96346154
1/01/2001,23.09464286
1/02/2001,NA
1/03/2001,25.06415094
1/04/2001,22.99230769
1/05/2001,24.54705882
1/06/2001,23.464
1/07/2001,22.18064516
1/08/2001,23.54333333
1/09/2001,23.02244898
1/10/2001,NA
1/11/2001,23.96989247
1/12/2001,24.82522523
1/01/2002,NA
1/02/2002,24.39090909
1/03/2002,25.17719298
1/04/2002,25.54047619
1/05/2002,25.52222222
1/06/2002,23.7137931
1/07/2002,22.96666667
1/08/2002,23.71627907
1/09/2002,23.62631579
1/10/2002,23.655
1/11/2002,NA
1/12/2002,23.6137931
1/01/2003,23.91111111
1/02/2003,NA
1/03/2003,26.21428571
1/04/2003,25.15833333
1/05/2003,25.13809524
1/06/2003,23.77234043
1/07/2003,22.89142857
1/08/2003,23.35454545
1/09/2003,22.63142857
1/10/2003,23.37386364
1/11/2003,24.75205479
1/12/2003,23.45
1/01/2004,24.29814815
1/02/2004,25.464
1/03/2004,21
1/04/2004,25.95612245
1/05/2004,24.35277778
1/06/2004,NA
1/07/2004,23.25663717
1/08/2004,22.72380952
1/09/2004,23.93333333
1/10/2004,NA
1/11/2004,23.32727273
1/12/2004,23.17142857
1/01/2005,24.15172414
1/02/2005,27.39487179
1/03/2005,25.54423077
1/04/2005,26.34081633
1/05/2005,25.071875
1/06/2005,NA
1/07/2005,23.97857143
1/08/2005,23.15227273
1/09/2005,22.748
1/10/2005,22.86666667
1/11/2005,25.73448276
1/12/2005,25.69545455
1/01/2006,24.67333333
1/02/2006,25.55
1/03/2006,24.16956522
1/04/2006,23.43636364
1/05/2006,24.10714286
1/06/2006,24.33333333
1/07/2006,23.08974359
1/08/2006,23.19130435
1/09/2006,23.13870968
1/10/2006,23.79677419
1/11/2006,23.4
1/12/2006,NA
1/01/2007,24.11525424
1/02/2007,26.39189189
1/03/2007,NA
1/04/2007,26.30769231
1/05/2007,23.52647059
1/06/2007,22.87
1/07/2007,23.80434783
1/08/2007,23.83529412
1/09/2007,23.14864865
1/10/2007,23.775
1/11/2007,23.97901235
1/12/2007,23.77857143
1/01/2008,24.40714286
1/02/2008,25.04347826
1/03/2008,26.40392157
1/04/2008,25.13220339
1/05/2008,25.15348837
1/06/2008,24.19175258
1/07/2008,22.86176471
1/08/2008,23.21176471
1/09/2008,23.42761905
1/10/2008,23.76486486
1/11/2008,24.18378378
1/12/2008,23.46198347
1/01/2009,NA
1/02/2009,24.94234234
1/03/2009,26.27673267
1/04/2009,25.32173913
1/05/2009,NA
1/06/2009,NA
1/07/2009,24.04114583
1/08/2009,NA
1/09/2009,24.2935
1/10/2009,23.75900621
1/11/2009,24.77314815
1/12/2009,24.33353293
1/01/2010,25.15034014
1/02/2010,26.12649573
1/03/2010,25.68571429
1/04/2010,26.46
1/05/2010,NA
1/06/2010,25.233
1/07/2010,23.85514706
1/08/2010,23.55107914
1/09/2010,23.47377049
1/10/2010,23.46535433
1/11/2010,23.62777778
1/12/2010,22.71323529
1/01/2011,22.18962963
1/02/2011,25.05754717
1/03/2011,25.86610169
1/04/2011,25.19568966
1/05/2011,25.26525424
1/06/2011,23.84817518
1/07/2011,23.05933333
1/08/2011,22.74671053
1/09/2011,23.10137931
1/10/2011,22.82380952
1/11/2011,23.10071429
1/12/2011,21.58543046
1/01/2012,22.75098039
1/02/2012,24.6864
1/03/2012,25.3254902
1/04/2012,24.6
1/05/2012,23.61111111
1/06/2012,23.38714286
1/07/2012,23.1006135
1/08/2012,22.96506024
1/09/2012,23.05947712
1/10/2012,23.18598726
1/11/2012,23.95636364
1/12/2012,23.67515152
1/01/2013,24.04140127
1/02/2013,25.22097902
1/03/2013,24.4266055
1/04/2013,25.19166667
1/05/2013,24.53290323
1/06/2013,24.26708075
1/07/2013,23.13006135
1/08/2013,22.92760736
1/09/2013,23.61470588
1/10/2013,22.924
1/11/2013,23.84834437
1/12/2013,23.36298701
1/01/2014,NA
1/02/2014,24.78780488
1/03/2014,25.0222973
1/04/2014,24.38105263
1/05/2014,24.40461538
1/06/2014,23.90603448
1/07/2014,23.55258621
1/08/2014,23.25193798
1/09/2014,22.81958042
1/10/2014,23.83471074
1/11/2014,23.92119205
1/12/2014,23.01470588
1/01/2015,21.81692308
1/02/2015,25.43759398
1/03/2015,25.43553719
1/04/2015,24.56470588
1/05/2015,24.96511628
1/06/2015,23.79339623
1/07/2015,24.073
1/08/2015,24.56372549
1/09/2015,23.91847826
1/10/2015,24.405
1/11/2015,25.25696203
1/12/2015,23.49764706
1/01/2016,24.89625
1/02/2016,27.32236842
1/03/2016,26.77916667
1/04/2016,26.70963855
1/05/2016,24.86407767
1/06/2016,23.61666667
1/07/2016,23.52317073
1/08/2016,23.63678161
1/09/2016,23.48854167
1/10/2016,24.18411215
1/11/2016,24.1287234
1/12/2016,24.01834862
