date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,NA
1/04/1984,NA
1/05/1984,25.01363636
1/06/1984,23.2328125
1/07/1984,NA
1/08/1984,NA
1/09/1984,NA
1/10/1984,NA
1/11/1984,NA
1/12/1984,24.12391304
1/01/1985,23.92375
1/02/1985,NA
1/03/1985,NA
1/04/1985,24.55925926
1/05/1985,23.69454545
1/06/1985,NA
1/07/1985,22.775
1/08/1985,NA
1/09/1985,NA
1/10/1985,NA
1/11/1985,NA
1/12/1985,23.1375
1/01/1986,NA
1/02/1986,24.7962963
1/03/1986,24.65955056
1/04/1986,NA
1/05/1986,NA
1/06/1986,NA
1/07/1986,22.3225
1/08/1986,NA
1/09/1986,23.18987342
1/10/1986,NA
1/11/1986,NA
1/12/1986,NA
1/01/1987,NA
1/02/1987,NA
1/03/1987,25.86448598
1/04/1987,NA
1/05/1987,NA
1/06/1987,NA
1/07/1987,NA
1/08/1987,23.74857143
1/09/1987,22.36153846
1/10/1987,NA
1/11/1987,NA
1/12/1987,NA
1/01/1988,NA
1/02/1988,25.87105263
1/03/1988,NA
1/04/1988,NA
1/05/1988,NA
1/06/1988,24.2
1/07/1988,NA
1/08/1988,NA
1/09/1988,NA
1/10/1988,24.60373832
1/11/1988,NA
1/12/1988,NA
1/01/1989,25.35
1/02/1989,24.60675676
1/03/1989,NA
1/04/1989,NA
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,NA
1/09/1989,22.96666667
1/10/1989,NA
1/11/1989,24.74705882
1/12/1989,NA
1/01/1990,NA
1/02/1990,NA
1/03/1990,NA
1/04/1990,NA
1/05/1990,NA
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,26.19444444
1/02/1991,20.5125
1/03/1991,NA
1/04/1991,25.93333333
1/05/1991,24.2125
1/06/1991,19.2
1/07/1991,NA
1/08/1991,NA
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,NA
1/03/1992,NA
1/04/1992,NA
1/05/1992,NA
1/06/1992,NA
1/07/1992,22.13584906
1/08/1992,NA
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,NA
1/01/1993,NA
1/02/1993,NA
1/03/1993,NA
1/04/1993,24.99917355
1/05/1993,NA
1/06/1993,NA
1/07/1993,22.98333333
1/08/1993,23.23030303
1/09/1993,NA
1/10/1993,NA
1/11/1993,24.01205674
1/12/1993,NA
1/01/1994,23.85666667
1/02/1994,25.48717949
1/03/1994,NA
1/04/1994,NA
1/05/1994,23.97268041
1/06/1994,NA
1/07/1994,22.84462366
1/08/1994,23.17446809
1/09/1994,23.56724138
1/10/1994,24.78409091
1/11/1994,24.30263158
1/12/1994,25.1325
1/01/1995,25.01805556
1/02/1995,24.31219512
1/03/1995,24.87685185
1/04/1995,25.13458647
1/05/1995,24.63769231
1/06/1995,NA
1/07/1995,23.43305085
1/08/1995,23.80598291
1/09/1995,NA
1/10/1995,NA
1/11/1995,NA
1/12/1995,23.08571429
1/01/1996,26.35
1/02/1996,28.2
1/03/1996,23.7
1/04/1996,NA
1/05/1996,28
1/06/1996,24.35882353
1/07/1996,23.09605263
1/08/1996,NA
1/09/1996,NA
1/10/1996,23.59038462
1/11/1996,24.35954198
1/12/1996,24.0045045
1/01/1997,25.25833333
1/02/1997,NA
1/03/1997,NA
1/04/1997,NA
1/05/1997,24.70538462
1/06/1997,24.62315789
1/07/1997,22.31428571
1/08/1997,22.73333333
1/09/1997,22.99166667
1/10/1997,25.54
1/11/1997,NA
1/12/1997,24.32658228
1/01/1998,NA
1/02/1998,26.23544304
1/03/1998,25.66944444
1/04/1998,26.16607143
1/05/1998,NA
1/06/1998,24.29069767
1/07/1998,23.55348837
1/08/1998,NA
1/09/1998,23.39765625
1/10/1998,NA
1/11/1998,NA
1/12/1998,NA
1/01/1999,24.50246914
1/02/1999,24.23669065
1/03/1999,25.09032258
1/04/1999,NA
1/05/1999,24.45769231
1/06/1999,23.88231293
1/07/1999,23.29934211
1/08/1999,NA
1/09/1999,23.56941176
1/10/1999,NA
1/11/1999,23.63552632
1/12/1999,24.48910891
1/01/2000,NA
1/02/2000,25.01240876
1/03/2000,26.13617021
1/04/2000,NA
1/05/2000,NA
1/06/2000,NA
1/07/2000,23.33913043
1/08/2000,NA
1/09/2000,24.10254237
1/10/2000,24.34396552
1/11/2000,24.10128205
1/12/2000,24.88611111
1/01/2001,25.19661017
1/02/2001,NA
1/03/2001,NA
1/04/2001,25.38365385
1/05/2001,25.2620438
1/06/2001,NA
1/07/2001,22.23448276
1/08/2001,NA
1/09/2001,24.11101695
1/10/2001,24.20782609
1/11/2001,NA
1/12/2001,NA
1/01/2002,25.40758621
1/02/2002,NA
1/03/2002,NA
1/04/2002,25.71764706
1/05/2002,NA
1/06/2002,24.83710692
1/07/2002,24.36666667
1/08/2002,24.09814815
1/09/2002,NA
1/10/2002,NA
1/11/2002,NA
1/12/2002,25.1109589
1/01/2003,NA
1/02/2003,26.37807018
1/03/2003,25.659375
1/04/2003,25.23482143
1/05/2003,NA
1/06/2003,NA
1/07/2003,24.36790123
1/08/2003,NA
1/09/2003,NA
1/10/2003,NA
1/11/2003,NA
1/12/2003,25.49647059
1/01/2004,25.58481013
1/02/2004,NA
1/03/2004,NA
1/04/2004,26.1475
1/05/2004,NA
1/06/2004,23.36470588
1/07/2004,NA
1/08/2004,NA
1/09/2004,24.0043956
1/10/2004,NA
1/11/2004,25.07912088
1/12/2004,NA
1/01/2005,NA
1/02/2005,26.63797468
1/03/2005,25.52833333
1/04/2005,NA
1/05/2005,25.93245614
1/06/2005,24.99622642
1/07/2005,23.65544554
1/08/2005,24.27368421
1/09/2005,NA
1/10/2005,24.84622642
1/11/2005,25.71058824
1/12/2005,NA
1/01/2006,25.7576087
1/02/2006,25.7010989
1/03/2006,26.6423913
1/04/2006,NA
1/05/2006,24.97454545
1/06/2006,NA
1/07/2006,24.33613445
1/08/2006,24.25371901
1/09/2006,24.47099237
1/10/2006,26.03982301
1/11/2006,25.62592593
1/12/2006,NA
1/01/2007,NA
1/02/2007,26.5612069
1/03/2007,26.93333333
1/04/2007,24.4
1/05/2007,NA
1/06/2007,24.84719101
1/07/2007,23.69626168
1/08/2007,24.27794118
1/09/2007,24.324
1/10/2007,NA
1/11/2007,NA
1/12/2007,25.56393443
1/01/2008,NA
1/02/2008,26.80956522
1/03/2008,26.33333333
1/04/2008,25.5631068
1/05/2008,NA
1/06/2008,24.91403509
1/07/2008,NA
1/08/2008,24.95140187
1/09/2008,25.34363636
1/10/2008,NA
1/11/2008,26.04017857
1/12/2008,NA
1/01/2009,NA
1/02/2009,26.193
1/03/2009,NA
1/04/2009,26.40789474
1/05/2009,26.18272727
1/06/2009,25.13831776
1/07/2009,NA
1/08/2009,NA
1/09/2009,25.73333333
1/10/2009,NA
1/11/2009,25.05333333
1/12/2009,25.92417582
1/01/2010,NA
1/02/2010,26.43870968
1/03/2010,26.88165138
1/04/2010,NA
1/05/2010,26.69133858
1/06/2010,25.0704918
1/07/2010,24.14956522
1/08/2010,NA
1/09/2010,25.68684211
1/10/2010,NA
1/11/2010,NA
1/12/2010,25.64137931
1/01/2011,25.93960396
1/02/2011,NA
1/03/2011,26.82393162
1/04/2011,26.22105263
1/05/2011,NA
1/06/2011,25.07674419
1/07/2011,24.23488372
1/08/2011,24.03269231
1/09/2011,NA
1/10/2011,NA
1/11/2011,NA
1/12/2011,25.22075472
1/01/2012,25.36666667
1/02/2012,NA
1/03/2012,NA
1/04/2012,NA
1/05/2012,NA
1/06/2012,24.2
1/07/2012,NA
1/08/2012,NA
1/09/2012,NA
1/10/2012,NA
1/11/2012,NA
1/12/2012,28
1/01/2013,26.8
1/02/2013,26.37096774
1/03/2013,26.69054054
1/04/2013,26.11016949
1/05/2013,26.971875
1/06/2013,26.47391304
1/07/2013,NA
1/08/2013,NA
1/09/2013,26.0835443
1/10/2013,26.20384615
1/11/2013,26.33066667
1/12/2013,27.3626506
1/01/2014,27.76896552
1/02/2014,27.98170732
1/03/2014,NA
1/04/2014,28.08518519
1/05/2014,27.5326087
1/06/2014,26.58072289
1/07/2014,24.70555556
1/08/2014,24.80561798
1/09/2014,26.01875
1/10/2014,26.36547619
1/11/2014,26.5546875
1/12/2014,26.85189873
1/01/2015,27.55
1/02/2015,27.42933333
1/03/2015,28.31666667
1/04/2015,27.72954545
1/05/2015,27.37176471
1/06/2015,25.72159091
1/07/2015,25.37741935
1/08/2015,25.44625
1/09/2015,26.52142857
1/10/2015,NA
1/11/2015,26.40933333
1/12/2015,27.5505618
1/01/2016,28.39418605
1/02/2016,29.04597701
1/03/2016,27.60659341
1/04/2016,27.7954023
1/05/2016,27.21111111
1/06/2016,26.51162791
1/07/2016,25.57282609
1/08/2016,25.47088608
1/09/2016,26.47654321
1/10/2016,26.38139535
1/11/2016,26.63421053
1/12/2016,26.62238806
