date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,NA
1/04/1984,NA
1/05/1984,NA
1/06/1984,NA
1/07/1984,NA
1/08/1984,NA
1/09/1984,NA
1/10/1984,NA
1/11/1984,NA
1/12/1984,NA
1/01/1985,NA
1/02/1985,NA
1/03/1985,NA
1/04/1985,NA
1/05/1985,NA
1/06/1985,NA
1/07/1985,NA
1/08/1985,NA
1/09/1985,NA
1/10/1985,NA
1/11/1985,NA
1/12/1985,NA
1/01/1986,NA
1/02/1986,NA
1/03/1986,NA
1/04/1986,NA
1/05/1986,NA
1/06/1986,NA
1/07/1986,NA
1/08/1986,NA
1/09/1986,NA
1/10/1986,NA
1/11/1986,NA
1/12/1986,NA
1/01/1987,NA
1/02/1987,NA
1/03/1987,NA
1/04/1987,NA
1/05/1987,NA
1/06/1987,NA
1/07/1987,NA
1/08/1987,NA
1/09/1987,NA
1/10/1987,NA
1/11/1987,NA
1/12/1987,NA
1/01/1988,NA
1/02/1988,NA
1/03/1988,NA
1/04/1988,NA
1/05/1988,NA
1/06/1988,NA
1/07/1988,NA
1/08/1988,NA
1/09/1988,NA
1/10/1988,NA
1/11/1988,NA
1/12/1988,NA
1/01/1989,NA
1/02/1989,NA
1/03/1989,NA
1/04/1989,NA
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,NA
1/09/1989,NA
1/10/1989,NA
1/11/1989,NA
1/12/1989,NA
1/01/1990,NA
1/02/1990,NA
1/03/1990,NA
1/04/1990,NA
1/05/1990,NA
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,NA
1/03/1991,NA
1/04/1991,NA
1/05/1991,NA
1/06/1991,NA
1/07/1991,NA
1/08/1991,NA
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,NA
1/03/1992,NA
1/04/1992,NA
1/05/1992,NA
1/06/1992,NA
1/07/1992,NA
1/08/1992,NA
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,NA
1/01/1993,NA
1/02/1993,NA
1/03/1993,NA
1/04/1993,NA
1/05/1993,NA
1/06/1993,NA
1/07/1993,NA
1/08/1993,NA
1/09/1993,NA
1/10/1993,NA
1/11/1993,NA
1/12/1993,NA
1/01/1994,NA
1/02/1994,NA
1/03/1994,NA
1/04/1994,NA
1/05/1994,NA
1/06/1994,NA
1/07/1994,NA
1/08/1994,NA
1/09/1994,NA
1/10/1994,NA
1/11/1994,NA
1/12/1994,NA
1/01/1995,NA
1/02/1995,NA
1/03/1995,NA
1/04/1995,NA
1/05/1995,NA
1/06/1995,NA
1/07/1995,NA
1/08/1995,NA
1/09/1995,NA
1/10/1995,NA
1/11/1995,NA
1/12/1995,NA
1/01/1996,NA
1/02/1996,NA
1/03/1996,NA
1/04/1996,NA
1/05/1996,NA
1/06/1996,NA
1/07/1996,NA
1/08/1996,NA
1/09/1996,NA
1/10/1996,NA
1/11/1996,NA
1/12/1996,NA
1/01/1997,NA
1/02/1997,NA
1/03/1997,NA
1/04/1997,NA
1/05/1997,NA
1/06/1997,NA
1/07/1997,NA
1/08/1997,NA
1/09/1997,NA
1/10/1997,NA
1/11/1997,NA
1/12/1997,NA
1/01/1998,NA
1/02/1998,NA
1/03/1998,NA
1/04/1998,NA
1/05/1998,NA
1/06/1998,NA
1/07/1998,NA
1/08/1998,NA
1/09/1998,NA
1/10/1998,NA
1/11/1998,NA
1/12/1998,NA
1/01/1999,NA
1/02/1999,NA
1/03/1999,NA
1/04/1999,NA
1/05/1999,NA
1/06/1999,NA
1/07/1999,NA
1/08/1999,NA
1/09/1999,NA
1/10/1999,NA
1/11/1999,NA
1/12/1999,NA
1/01/2000,NA
1/02/2000,NA
1/03/2000,NA
1/04/2000,NA
1/05/2000,NA
1/06/2000,NA
1/07/2000,NA
1/08/2000,NA
1/09/2000,NA
1/10/2000,NA
1/11/2000,NA
1/12/2000,NA
1/01/2001,NA
1/02/2001,NA
1/03/2001,NA
1/04/2001,NA
1/05/2001,NA
1/06/2001,NA
1/07/2001,NA
1/08/2001,NA
1/09/2001,NA
1/10/2001,NA
1/11/2001,NA
1/12/2001,NA
1/01/2002,NA
1/02/2002,NA
1/03/2002,NA
1/04/2002,NA
1/05/2002,NA
1/06/2002,NA
1/07/2002,NA
1/08/2002,NA
1/09/2002,NA
1/10/2002,NA
1/11/2002,NA
1/12/2002,NA
1/01/2003,NA
1/02/2003,NA
1/03/2003,NA
1/04/2003,NA
1/05/2003,NA
1/06/2003,NA
1/07/2003,NA
1/08/2003,NA
1/09/2003,NA
1/10/2003,NA
1/11/2003,NA
1/12/2003,NA
1/01/2004,NA
1/02/2004,NA
1/03/2004,NA
1/04/2004,NA
1/05/2004,NA
1/06/2004,NA
1/07/2004,NA
1/08/2004,NA
1/09/2004,NA
1/10/2004,NA
1/11/2004,NA
1/12/2004,NA
1/01/2005,NA
1/02/2005,NA
1/03/2005,NA
1/04/2005,NA
1/05/2005,NA
1/06/2005,NA
1/07/2005,NA
1/08/2005,NA
1/09/2005,NA
1/10/2005,NA
1/11/2005,NA
1/12/2005,NA
1/01/2006,NA
1/02/2006,NA
1/03/2006,NA
1/04/2006,NA
1/05/2006,NA
1/06/2006,NA
1/07/2006,NA
1/08/2006,NA
1/09/2006,25.19285714
1/10/2006,NA
1/11/2006,25.90204082
1/12/2006,NA
1/01/2007,NA
1/02/2007,NA
1/03/2007,NA
1/04/2007,NA
1/05/2007,26.13464567
1/06/2007,NA
1/07/2007,24.46923077
1/08/2007,NA
1/09/2007,NA
1/10/2007,NA
1/11/2007,NA
1/12/2007,25.51764706
1/01/2008,25.90285714
1/02/2008,26.49069767
1/03/2008,26.29173554
1/04/2008,26.37301587
1/05/2008,25.81944444
1/06/2008,24.63245033
1/07/2008,24.37471264
1/08/2008,26.21904762
1/09/2008,26.05866667
1/10/2008,24.58482143
1/11/2008,24.81272727
1/12/2008,24.9259542
1/01/2009,24.72931034
1/02/2009,24.95
1/03/2009,NA
1/04/2009,NA
1/05/2009,NA
1/06/2009,NA
1/07/2009,NA
1/08/2009,NA
1/09/2009,NA
1/10/2009,NA
1/11/2009,NA
1/12/2009,24.775
1/01/2010,25.70510204
1/02/2010,26.33214286
1/03/2010,26.53495146
1/04/2010,NA
1/05/2010,NA
1/06/2010,NA
1/07/2010,23.24190476
1/08/2010,24.13435115
1/09/2010,NA
1/10/2010,NA
1/11/2010,NA
1/12/2010,24.41646341
1/01/2011,NA
1/02/2011,24.84822335
1/03/2011,25.55772727
1/04/2011,NA
1/05/2011,NA
1/06/2011,23.92134831
1/07/2011,23.53553299
1/08/2011,NA
1/09/2011,NA
1/10/2011,24.58971963
1/11/2011,NA
1/12/2011,24.34972973
1/01/2012,24.85352113
1/02/2012,NA
1/03/2012,25.56032609
1/04/2012,25.46049383
1/05/2012,24.56837209
1/06/2012,23.74618834
1/07/2012,23.24107143
1/08/2012,23.82905983
1/09/2012,24.60093023
1/10/2012,24.60088889
1/11/2012,24.45865385
1/12/2012,24.44142857
1/01/2013,25.38851675
1/02/2013,25.66315789
1/03/2013,25.49856459
1/04/2013,25.15
1/05/2013,24.82608696
1/06/2013,23.78348214
1/07/2013,23.01980676
1/08/2013,23.18317757
1/09/2013,NA
1/10/2013,24.56042553
1/11/2013,24.68122271
1/12/2013,24.7978903
1/01/2014,25.27763158
1/02/2014,25.24263959
1/03/2014,25.39224138
1/04/2014,24.95273973
1/05/2014,24.63160173
1/06/2014,23.95416667
1/07/2014,23.04892704
1/08/2014,23.42131148
1/09/2014,24.35614035
1/10/2014,25.05330396
1/11/2014,24.56073059
1/12/2014,NA
1/01/2015,24.90519481
1/02/2015,25.06545455
1/03/2015,25.16061947
1/04/2015,24.92396313
1/05/2015,24.59414414
1/06/2015,23.62863436
1/07/2015,23.67848101
1/08/2015,24.06458333
1/09/2015,25.07191489
1/10/2015,25.05321101
1/11/2015,24.80482456
1/12/2015,25.51129032
1/01/2016,25.46558704
1/02/2016,25.60562771
1/03/2016,25.97903226
1/04/2016,25.73054393
1/05/2016,25.34153226
1/06/2016,23.98644068
1/07/2016,23.43292683
1/08/2016,24.10122449
1/09/2016,25.07142857
1/10/2016,25.36171171
1/11/2016,25.38057143
1/12/2016,25.2296875
