DATE,TAVG,NAME
196701,26.2,akim_oda
196702,27.5,akim_oda
196703,27.3,akim_oda
196704,27.4,akim_oda
196705,26.9,akim_oda
196706,25.5,akim_oda
196707,24.8,akim_oda
196708,24.4,akim_oda
196709,25.4,akim_oda
196710,26.2,akim_oda
196711,26.7,akim_oda
196712,26.1,akim_oda
196801,25.3,akim_oda
196802,27.6,akim_oda
196803,27.1,akim_oda
196804,27.3,akim_oda
196805,27.3,akim_oda
196806,26.1,akim_oda
196807,25.6,akim_oda
196808,25.8,akim_oda
196809,25.6,akim_oda
196810,26.5,akim_oda
196811,26.4,akim_oda
196812,26.6,akim_oda
196901,26.8,akim_oda
196902,28.1,akim_oda
196903,28.1,akim_oda
196904,27.8,akim_oda
196905,27.7,akim_oda
196906,26.3,akim_oda
196907,25.2,akim_oda
196908,24.7,akim_oda
196909,25.6,akim_oda
196910,26.6,akim_oda
196911,26.8,akim_oda
196912,26.9,akim_oda
197001,27.1,akim_oda
197002,28.3,akim_oda
197003,28.0,akim_oda
197004,27.6,akim_oda
197005,26.7,akim_oda
197006,26.6,akim_oda
197007,25.2,akim_oda
197008,24.6,akim_oda
197009,25.3,akim_oda
197010,26.1,akim_oda
197011,25.9,akim_oda
197012,25.9,akim_oda
197101,25.7,akim_oda
197102,26.8,akim_oda
197103,27.2,akim_oda
197104,26.9,akim_oda
197105,26.6,akim_oda
197106,25.6,akim_oda
197107,24.9,akim_oda
197108,24.4,akim_oda
197109,25.2,akim_oda
197110,25.8,akim_oda
197111,26.3,akim_oda
197112,25.3,akim_oda
197201,26.5,akim_oda
197202,27.7,akim_oda
197203,27.1,akim_oda
197204,27.0,akim_oda
197205,27.1,akim_oda
197206,25.8,akim_oda
197207,25.2,akim_oda
197208,24.4,akim_oda
197209,25.4,akim_oda
197210,26.3,akim_oda
197211,26.6,akim_oda
197212,26.1,akim_oda
197301,26.1,akim_oda
197302,28.6,akim_oda
197303,27.9,akim_oda
197304,27.6,akim_oda
197305,27.2,akim_oda
