DATE,TAVG,NAME
195201,27.1,banningville
195202,27.2,banningville
195203,26.9,banningville
195204,27.0,banningville
195205,26.9,banningville
195206,26.5,banningville
195207,24.9,banningville
195208,25.8,banningville
195209,26.1,banningville
195210,26.4,banningville
195211,25.9,banningville
195212,26.4,banningville
195301,26.0,banningville
195302,26.5,banningville
195303,27.0,banningville
195304,26.7,banningville
195305,26.7,banningville
195306,25.3,banningville
195307,25.1,banningville
195308,25.2,banningville
195309,26.2,banningville
195310,26.2,banningville
195311,25.7,banningville
195312,26.2,banningville
195401,26.0,banningville
195402,25.8,banningville
195403,27.0,banningville
195404,26.4,banningville
195405,26.3,banningville
195406,25.5,banningville
195407,23.7,banningville
195408,25.0,banningville
195409,25.9,banningville
195410,25.7,banningville
195411,25.3,banningville
195412,25.4,banningville
195501,25.4,banningville
195502,26.5,banningville
195503,26.1,banningville
195504,26.3,banningville
195505,26.5,banningville
195506,25.5,banningville
195507,24.3,banningville
195508,24.9,banningville
195509,25.5,banningville
195510,25.6,banningville
195511,25.8,banningville
195512,25.1,banningville
195601,25.2,banningville
195602,26.3,banningville
195603,26.4,banningville
195604,26.5,banningville
195605,26.2,banningville
195606,25.6,banningville
195607,24.2,banningville
195608,25.2,banningville
195609,26.3,banningville
195610,25.5,banningville
195611,25.8,banningville
195612,25.5,banningville
195701,25.4,banningville
195702,26.5,banningville
195703,26.0,banningville
195704,26.4,banningville
195705,27.0,banningville
195706,25.5,banningville
195707,25.0,banningville
195708,25.9,banningville
195709,26.6,banningville
195710,26.1,banningville
195711,26.0,banningville
195712,26.1,banningville
195801,27.0,banningville
195802,26.6,banningville
195803,27.1,banningville
195804,27.1,banningville
195805,26.6,banningville
195806,24.8,banningville
195807,23.3,banningville
195808,25.5,banningville
195809,26.4,banningville
195810,26.2,banningville
195811,25.9,banningville
195812,26.1,banningville
195901,26.0,banningville
195902,26.2,banningville
195903,26.7,banningville
195904,26.9,banningville
195905,27.0,banningville
195906,25.4,banningville
195907,25.1,banningville
195908,25.7,banningville
195909,25.6,banningville
195910,26.1,banningville
195911,26.0,banningville
195912,26.3,banningville
196001,25.7,banningville
196002,26.1,banningville
196003,26.0,banningville
196004,26.7,banningville
196005,26.6,banningville
196006,25.5,banningville
196007,24.9,banningville
196008,26.0,banningville
196009,25.4,banningville
196010,26.1,banningville
196011,26.0,banningville
196012,26.1,banningville
196101,25.9,banningville
196102,26.0,banningville
196103,26.7,banningville
196104,26.8,banningville
196105,26.9,banningville
196106,24.7,banningville
196107,24.3,banningville
196108,24.6,banningville
196109,25.6,banningville
196110,25.8,banningville
196111,25.7,banningville
196112,25.8,banningville
196201,26.1,banningville
196202,26.0,banningville
196203,26.8,banningville
196204,27.0,banningville
196205,27.2,banningville
196206,25.3,banningville
196207,24.6,banningville
196208,25.5,banningville
196209,25.7,banningville
196210,25.6,banningville
196211,25.9,banningville
196212,25.9,banningville
196301,25.6,banningville
196302,26.4,banningville
196303,26.5,banningville
196304,26.6,banningville
196305,26.7,banningville
196306,26.1,banningville
196307,25.1,banningville
196308,25.4,banningville
196309,26.1,banningville
196310,26.0,banningville
196311,25.9,banningville
196312,26.4,banningville
196401,27.1,banningville
196402,26.6,banningville
196403,27.0,banningville
196404,26.5,banningville
196405,26.5,banningville
196406,25.5,banningville
196407,24.6,banningville
196408,25.1,banningville
196409,26.2,banningville
196410,26.0,banningville
196411,25.6,banningville
196412,25.4,banningville
196501,26.0,banningville
196502,26.5,banningville
196503,26.8,banningville
196504,26.7,banningville
196505,26.4,banningville
196506,25.9,banningville
196507,24.7,banningville
196508,25.6,banningville
196509,26.1,banningville
196510,26.1,banningville
196511,26.2,banningville
196512,26.0,banningville
196601,26.5,banningville
196602,26.6,banningville
196603,26.7,banningville
196604,26.6,banningville
196605,27.0,banningville
196606,25.7,banningville
196607,25.1,banningville
196608,25.8,banningville
196609,26.0,banningville
196610,25.9,banningville
196611,25.5,banningville
196612,25.8,banningville
196701,25.6,banningville
196702,26.9,banningville
196703,26.6,banningville
196704,27.1,banningville
196705,26.7,banningville
196706,25.8,banningville
196707,24.0,banningville
196708,24.8,banningville
196709,25.4,banningville
196710,26.3,banningville
196711,25.7,banningville
196712,25.8,banningville
196801,25.7,banningville
196802,26.5,banningville
196803,26.4,banningville
196804,26.8,banningville
196805,26.4,banningville
196806,25.4,banningville
196807,24.8,banningville
196808,26.0,banningville
196809,25.9,banningville
196810,26.0,banningville
196811,25.6,banningville
196812,25.8,banningville
196901,25.9,banningville
196902,27.0,banningville
196903,27.4,banningville
196904,27.2,banningville
196905,27.0,banningville
196906,26.0,banningville
196907,24.8,banningville
196908,25.8,banningville
196909,26.7,banningville
196910,25.9,banningville
196911,26.3,banningville
196912,26.0,banningville
197001,26.2,banningville
197002,26.9,banningville
197003,26.9,banningville
197004,27.1,banningville
197005,26.9,banningville
197006,26.1,banningville
197007,24.9,banningville
197008,26.0,banningville
197009,26.4,banningville
197010,26.2,banningville
197011,25.6,banningville
197012,26.0,banningville
197101,25.9,banningville
197102,25.8,banningville
197103,26.8,banningville
197104,26.9,banningville
197105,27.1,banningville
