DATE,TAVG,NAME
197901,28.2,douala
197902,28.2,douala
197903,27.9,douala
197904,27.5,douala
197905,27.6,douala
197906,26.3,douala
197907,25.5,douala
197908,25.0,douala
197909,25.1,douala
197910,26.2,douala
197911,26.8,douala
197912,27.3,douala
198001,27.8,douala
198002,28.1,douala
198003,27.9,douala
198004,27.3,douala
198005,27.2,douala
198006,26.3,douala
198007,25.1,douala
198008,25.1,douala
198009,25.8,douala
198010,26.1,douala
198011,26.8,douala
198012,27.7,douala
198101,26.5,douala
198102,28.0,douala
198103,27.1,douala
198104,27.0,douala
198105,NA,douala
198106,NA,douala
198107,24.2,douala
198108,24.1,douala
198109,24.6,douala
198110,NA,douala
198111,26.3,douala
198112,26.8,douala
198201,27.0,douala
198202,27.5,douala
198203,27.0,douala
198204,26.8,douala
198205,26.0,douala
198206,25.2,douala
198207,NA,douala
198208,24.1,douala
198209,24.8,douala
198210,NA,douala
198211,26.5,douala
198212,26.9,douala
198301,26.7,douala
198302,28.3,douala
198303,28.6,douala
198304,27.4,douala
198305,NA,douala
198306,25.7,douala
198307,24.4,douala
198308,23.8,douala
198309,24.8,douala
198310,24.8,douala
198311,26.0,douala
198312,25.9,douala
198401,NA,douala
198402,27.6,douala
198403,26.8,douala
198404,26.4,douala
198405,26.3,douala
198406,25.7,douala
198407,25.4,douala
198408,25.3,douala
198409,25.3,douala
198410,25.3,douala
198411,26.4,douala
198412,26.3,douala
198501,26.9,douala
198502,27.4,douala
198503,NA,douala
198504,26.5,douala
198505,NA,douala
198506,25.2,douala
198507,25.0,douala
198508,24.8,douala
198509,25.1,douala
198510,25.0,douala
198511,26.3,douala
198512,26.5,douala
198601,27.0,douala
198602,27.2,douala
198603,26.6,douala
198604,27.3,douala
198605,26.9,douala
198606,25.4,douala
198607,24.2,douala
198608,24.5,douala
198609,24.8,douala
198610,25.0,douala
198611,25.7,douala
198612,26.5,douala
198701,27.2,douala
198702,27.7,douala
198703,27.3,douala
198704,27.2,douala
198705,26.8,douala
198706,26.4,douala
198707,26.1,douala
198708,25.3,douala
198709,25.6,douala
198710,25.8,douala
198711,NA,douala
198712,27.3,douala
198801,27.6,douala
198802,28.4,douala
198803,27.8,douala
198804,27.2,douala
198805,26.9,douala
198806,26.1,douala
198807,25.0,douala
198808,24.9,douala
198809,25.4,douala
198810,25.7,douala
198811,26.7,douala
198812,26.4,douala
198901,26.7,douala
198902,27.6,douala
198903,27.3,douala
198904,26.9,douala
198905,27.2,douala
198906,NA,douala
198907,24.7,douala
198908,NA,douala
198909,25.3,douala
198910,NA,douala
198911,NA,douala
198912,27.0,douala
199001,NA,douala
199002,NA,douala
199003,28.4,douala
199004,NA,douala
199005,26.9,douala
199006,NA,douala
199007,NA,douala
199008,NA,douala
199009,NA,douala
199010,NA,douala
199011,26.4,douala
199012,NA,douala
199101,NA,douala
199102,28.1,douala
199103,27.7,douala
199104,27.0,douala
199105,NA,douala
199106,NA,douala
199107,25.0,douala
199108,NA,douala
199109,NA,douala
199110,25.1,douala
199111,26.0,douala
199112,NA,douala
199201,NA,douala
199202,28.5,douala
199203,NA,douala
199204,NA,douala
199205,NA,douala
199206,25.5,douala
199207,24.3,douala
199208,NA,douala
199209,NA,douala
199210,25.3,douala
199211,NA,douala
199212,NA,douala
199301,27.1,douala
199302,NA,douala
199303,NA,douala
199304,27.0,douala
199305,NA,douala
199306,NA,douala
199307,NA,douala
199308,24.8,douala
199309,25.6,douala
199310,NA,douala
199311,26.0,douala
199312,27.2,douala
199401,NA,douala
199402,27.4,douala
199403,NA,douala
199404,27.1,douala
199405,NA,douala
199406,26.0,douala
199407,24.7,douala
199408,24.7,douala
199409,25.2,douala
199410,25.8,douala
199411,26.7,douala
199412,27.5,douala
199501,27.4,douala
199502,27.9,douala
199503,28.1,douala
199504,27.4,douala
199505,27.0,douala
199506,26.3,douala
199507,25.2,douala
199508,25.1,douala
199509,25.7,douala
199510,25.7,douala
199511,26.7,douala
199512,NA,douala
199601,27.5,douala
199602,27.9,douala
199603,27.3,douala
199604,27.4,douala
199605,27.1,douala
199606,26.7,douala
199607,25.0,douala
199608,24.4,douala
199609,25.0,douala
199610,25.4,douala
199611,27.0,douala
199612,27.0,douala
199701,27.5,douala
199702,28.1,douala
199703,27.6,douala
199704,26.4,douala
199705,26.5,douala
199706,NA,douala
199707,25.1,douala
199708,24.9,douala
199709,NA,douala
199710,NA,douala
199711,26.8,douala
199712,27.2,douala
199801,27.8,douala
199802,29.0,douala
199803,29.4,douala
199804,28.5,douala
199805,27.9,douala
199806,26.9,douala
199807,25.8,douala
199808,25.1,douala
199809,25.5,douala
199810,26.0,douala
199811,26.8,douala
199812,27.0,douala
199901,27.2,douala
199902,27.7,douala
199903,27.6,douala
199904,27.0,douala
199905,26.4,douala
199906,26.2,douala
199907,25.1,douala
199908,25.1,douala
199909,25.3,douala
199910,25.3,douala
199911,NA,douala
199912,27.1,douala
200001,27.4,douala
200002,28.0,douala
200003,27.9,douala
200004,26.9,douala
200005,NA,douala
200006,25.9,douala
200007,25.3,douala
200008,NA,douala
200009,25.3,douala
200010,25.6,douala
200011,26.5,douala
200012,27.1,douala
200101,27.3,douala
200102,NA,douala
200103,NA,douala
200104,NA,douala
200105,NA,douala
200106,NA,douala
200107,NA,douala
200108,NA,douala
200109,25.0,douala
200110,NA,douala
200111,NA,douala
