DATE,TAVG,NAME
195101,25.8,inongo
195102,25.8,inongo
195103,24.8,inongo
195104,24.9,inongo
195105,24.6,inongo
195106,26.2,inongo
195107,25.3,inongo
195108,26.0,inongo
195109,25.7,inongo
195110,26.1,inongo
195111,25.7,inongo
195112,25.8,inongo
195201,26.7,inongo
195202,26.6,inongo
195203,26.9,inongo
195204,27.2,inongo
195205,26.6,inongo
195206,26.5,inongo
195207,26.1,inongo
195208,25.7,inongo
195209,25.7,inongo
195210,26.5,inongo
195211,25.5,inongo
195212,25.9,inongo
195301,25.9,inongo
195302,26.8,inongo
195303,27.1,inongo
195304,26.7,inongo
195305,26.5,inongo
195306,25.6,inongo
195307,25.4,inongo
195308,25.6,inongo
195309,26.4,inongo
195310,25.9,inongo
195311,25.3,inongo
195312,26.4,inongo
195401,26.2,inongo
195402,25.9,inongo
195403,26.6,inongo
195404,26.4,inongo
195405,26.3,inongo
195406,25.5,inongo
195407,24.5,inongo
195408,25.1,inongo
195409,25.9,inongo
195410,25.5,inongo
195411,25.5,inongo
195412,25.9,inongo
195501,25.9,inongo
195502,26.6,inongo
195503,26.1,inongo
195504,26.3,inongo
195505,26.6,inongo
195506,25.8,inongo
195507,25.6,inongo
195508,25.4,inongo
195509,25.7,inongo
195510,25.9,inongo
195511,25.7,inongo
195512,25.1,inongo
195601,25.5,inongo
195602,26.4,inongo
195603,26.5,inongo
195604,26.4,inongo
195605,26.2,inongo
195606,25.8,inongo
195607,25.2,inongo
195608,25.6,inongo
195609,26.2,inongo
195610,25.7,inongo
195611,26.1,inongo
195612,25.6,inongo
195701,25.8,inongo
195702,26.6,inongo
195703,26.0,inongo
195704,26.6,inongo
195705,26.7,inongo
195706,26.4,inongo
195707,25.8,inongo
195708,26.2,inongo
195709,26.1,inongo
195710,26.1,inongo
195711,26.5,inongo
195712,26.0,inongo
195801,27.1,inongo
195802,26.6,inongo
195803,27.2,inongo
195804,27.3,inongo
195805,26.9,inongo
195806,26.4,inongo
195807,24.6,inongo
195808,25.8,inongo
195809,26.6,inongo
195810,26.6,inongo
195811,25.8,inongo
195812,26.1,inongo
195901,26.1,inongo
195902,26.8,inongo
