DATE,TAVG,NAME
195101,25.5,kisangani
195102,25.7,kisangani
195103,25.8,kisangani
195104,26.7,kisangani
195105,26.1,kisangani
195106,25.5,kisangani
195107,24.6,kisangani
195108,24.9,kisangani
195109,25.4,kisangani
195110,25.7,kisangani
195111,25.5,kisangani
195112,24.6,kisangani
195201,26.5,kisangani
195202,26.2,kisangani
195203,26.2,kisangani
195204,26.2,kisangani
195205,25.7,kisangani
195206,25.5,kisangani
195207,24.3,kisangani
195208,24.5,kisangani
195209,25.0,kisangani
195210,25.3,kisangani
195211,24.9,kisangani
195212,25.3,kisangani
195301,25.5,kisangani
195302,26.4,kisangani
195303,25.8,kisangani
195304,26.4,kisangani
195305,26.1,kisangani
195306,24.9,kisangani
195307,24.6,kisangani
195308,24.6,kisangani
195309,25.4,kisangani
195310,25.3,kisangani
195311,25.3,kisangani
195312,25.7,kisangani
195401,26.3,kisangani
195402,26.0,kisangani
195403,26.3,kisangani
195404,26.3,kisangani
195405,25.8,kisangani
195406,25.1,kisangani
195407,24.5,kisangani
195408,24.2,kisangani
195409,25.0,kisangani
195410,25.1,kisangani
195411,25.2,kisangani
195412,24.8,kisangani
195501,25.5,kisangani
195502,26.1,kisangani
195503,26.1,kisangani
195504,25.9,kisangani
195505,25.7,kisangani
195506,25.1,kisangani
195507,24.3,kisangani
195508,24.0,kisangani
195509,25.0,kisangani
195510,25.2,kisangani
195511,25.5,kisangani
195512,24.5,kisangani
195601,25.2,kisangani
195602,25.3,kisangani
195603,25.8,kisangani
195604,25.7,kisangani
195605,25.8,kisangani
195606,24.9,kisangani
195607,24.5,kisangani
195608,24.6,kisangani
195609,24.9,kisangani
195610,25.2,kisangani
195611,25.1,kisangani
195612,24.7,kisangani
195701,25.1,kisangani
195702,25.8,kisangani
195703,26.0,kisangani
195704,26.1,kisangani
195705,26.3,kisangani
195706,26.0,kisangani
195707,25.2,kisangani
195708,25.2,kisangani
195709,25.4,kisangani
195710,25.4,kisangani
195711,26.1,kisangani
195712,25.2,kisangani
195801,26.5,kisangani
195802,26.0,kisangani
195803,27.1,kisangani
195804,27.3,kisangani
195805,26.6,kisangani
195806,25.6,kisangani
195807,24.9,kisangani
195808,25.0,kisangani
195809,25.4,kisangani
195810,26.0,kisangani
195811,26.2,kisangani
195812,25.8,kisangani
195901,25.5,kisangani
195902,26.4,kisangani
195903,25.8,kisangani
195904,26.4,kisangani
195905,26.1,kisangani
195906,24.9,kisangani
195907,24.6,kisangani
195908,24.6,kisangani
195909,25.4,kisangani
195910,25.3,kisangani
195911,25.3,kisangani
195912,25.7,kisangani
196001,25.4,kisangani
196002,25.5,kisangani
196003,25.7,kisangani
196004,25.8,kisangani
196005,25.6,kisangani
196006,25.1,kisangani
196007,24.4,kisangani
196008,24.9,kisangani
196009,25.2,kisangani
196010,25.6,kisangani
196011,25.5,kisangani
196012,25.6,kisangani
196101,25.7,kisangani
196102,25.9,kisangani
