DATE,TAVG,NAME
198001,27.0,kumasi
198002,27.6,kumasi
198003,27.4,kumasi
198004,28.2,kumasi
198005,26.9,kumasi
198006,26.1,kumasi
198007,24.8,kumasi
198008,24.7,kumasi
198009,25.5,kumasi
198010,25.9,kumasi
198011,NA,kumasi
198012,25.1,kumasi
198101,NA,kumasi
198102,NA,kumasi
198103,NA,kumasi
198104,NA,kumasi
198105,26.6,kumasi
198106,26.1,kumasi
198107,23.9,kumasi
198108,24.2,kumasi
198109,25.1,kumasi
198110,26.2,kumasi
198111,26.3,kumasi
198112,26.5,kumasi
198201,26.3,kumasi
198202,29.1,kumasi
198203,NA,kumasi
198204,27.4,kumasi
198205,26.3,kumasi
198206,NA,kumasi
198207,NA,kumasi
198208,23.6,kumasi
198209,NA,kumasi
198210,25.9,kumasi
198211,26.5,kumasi
198212,26.3,kumasi
198301,25.8,kumasi
198302,28.7,kumasi
198303,28.0,kumasi
198304,28.4,kumasi
198305,27.8,kumasi
198306,25.6,kumasi
198307,25.0,kumasi
198308,24.5,kumasi
198309,25.1,kumasi
198310,25.9,kumasi
198311,NA,kumasi
198312,26.3,kumasi
198401,27.4,kumasi
198402,28.7,kumasi
198403,28.1,kumasi
198404,NA,kumasi
198405,NA,kumasi
198406,NA,kumasi
198407,NA,kumasi
198408,NA,kumasi
198409,NA,kumasi
198410,NA,kumasi
198411,NA,kumasi
198412,NA,kumasi
198501,NA,kumasi
198502,NA,kumasi
198503,NA,kumasi
198504,NA,kumasi
198505,NA,kumasi
198506,NA,kumasi
198507,NA,kumasi
198508,NA,kumasi
198509,NA,kumasi
198510,NA,kumasi
198511,NA,kumasi
198512,NA,kumasi
198601,NA,kumasi
198602,NA,kumasi
198603,NA,kumasi
198604,NA,kumasi
198605,NA,kumasi
198606,NA,kumasi
198607,NA,kumasi
198608,NA,kumasi
198609,NA,kumasi
198610,NA,kumasi
198611,NA,kumasi
198612,NA,kumasi
198701,NA,kumasi
198702,NA,kumasi
198703,NA,kumasi
198704,NA,kumasi
198705,NA,kumasi
198706,NA,kumasi
198707,NA,kumasi
198708,NA,kumasi
198709,NA,kumasi
198710,NA,kumasi
198711,NA,kumasi
198712,NA,kumasi
198801,NA,kumasi
198802,NA,kumasi
198803,NA,kumasi
198804,NA,kumasi
198805,NA,kumasi
198806,NA,kumasi
198807,NA,kumasi
198808,NA,kumasi
198809,NA,kumasi
198810,NA,kumasi
198811,NA,kumasi
198812,NA,kumasi
198901,NA,kumasi
198902,NA,kumasi
198903,NA,kumasi
198904,NA,kumasi
198905,NA,kumasi
198906,NA,kumasi
198907,NA,kumasi
198908,NA,kumasi
198909,NA,kumasi
198910,NA,kumasi
198911,NA,kumasi
198912,NA,kumasi
199001,NA,kumasi
199002,NA,kumasi
199003,29.5,kumasi
199004,NA,kumasi
199005,NA,kumasi
199006,NA,kumasi
199007,NA,kumasi
199008,NA,kumasi
199009,NA,kumasi
199010,NA,kumasi
199011,NA,kumasi
199012,NA,kumasi
199101,NA,kumasi
199102,NA,kumasi
199103,NA,kumasi
199104,NA,kumasi
199105,NA,kumasi
199106,NA,kumasi
199107,NA,kumasi
199108,NA,kumasi
199109,NA,kumasi
199110,NA,kumasi
199111,NA,kumasi
199112,NA,kumasi
199201,NA,kumasi
199202,NA,kumasi
199203,NA,kumasi
199204,NA,kumasi
199205,NA,kumasi
199206,NA,kumasi
199207,NA,kumasi
199208,NA,kumasi
199209,NA,kumasi
199210,NA,kumasi
199211,NA,kumasi
199212,NA,kumasi
199301,NA,kumasi
199302,NA,kumasi
199303,NA,kumasi
199304,NA,kumasi
199305,NA,kumasi
199306,NA,kumasi
199307,NA,kumasi
199308,NA,kumasi
199309,NA,kumasi
199310,NA,kumasi
199311,NA,kumasi
199312,NA,kumasi
199401,NA,kumasi
199402,NA,kumasi
199403,NA,kumasi
199404,NA,kumasi
199405,NA,kumasi
199406,NA,kumasi
199407,NA,kumasi
199408,NA,kumasi
199409,NA,kumasi
199410,NA,kumasi
199411,NA,kumasi
199412,NA,kumasi
199501,NA,kumasi
199502,NA,kumasi
199503,NA,kumasi
199504,NA,kumasi
199505,NA,kumasi
199506,NA,kumasi
199507,NA,kumasi
199508,NA,kumasi
199509,NA,kumasi
199510,NA,kumasi
199511,NA,kumasi
199512,NA,kumasi
199601,NA,kumasi
199602,NA,kumasi
199603,NA,kumasi
199604,NA,kumasi
199605,NA,kumasi
199606,NA,kumasi
199607,NA,kumasi
199608,NA,kumasi
199609,NA,kumasi
199610,NA,kumasi
199611,NA,kumasi
199612,NA,kumasi
199701,NA,kumasi
199702,NA,kumasi
199703,NA,kumasi
199704,NA,kumasi
199705,NA,kumasi
199706,NA,kumasi
199707,NA,kumasi
199708,27.2,kumasi
199709,25.9,kumasi
199710,NA,kumasi
199711,27.4,kumasi
199712,NA,kumasi
199801,27.4,kumasi
199802,28.9,kumasi
199803,30.2,kumasi
199804,29.2,kumasi
199805,27.8,kumasi
199806,26.5,kumasi
199807,NA,kumasi
199808,NA,kumasi
199809,25.8,kumasi
199810,NA,kumasi
199811,27.9,kumasi
199812,NA,kumasi
199901,NA,kumasi
199902,NA,kumasi
199903,NA,kumasi
199904,NA,kumasi
199905,NA,kumasi
199906,NA,kumasi
199907,NA,kumasi
199908,NA,kumasi
199909,NA,kumasi
199910,NA,kumasi
199911,NA,kumasi
199912,NA,kumasi
200001,NA,kumasi
200002,NA,kumasi
200003,NA,kumasi
200004,NA,kumasi
200005,NA,kumasi
200006,NA,kumasi
200007,NA,kumasi
200008,NA,kumasi
200009,NA,kumasi
200010,NA,kumasi
200011,NA,kumasi
200012,NA,kumasi
200101,NA,kumasi
200102,NA,kumasi
200103,NA,kumasi
200104,NA,kumasi
200105,NA,kumasi
200106,NA,kumasi
200107,NA,kumasi
200108,NA,kumasi
200109,NA,kumasi
200110,NA,kumasi
200111,NA,kumasi
200112,NA,kumasi
200201,NA,kumasi
200202,NA,kumasi
200203,NA,kumasi
200204,NA,kumasi
200205,NA,kumasi
200206,NA,kumasi
200207,NA,kumasi
200208,NA,kumasi
200209,NA,kumasi
200210,26.5,kumasi
200211,27.1,kumasi
200212,26.5,kumasi
200301,27.5,kumasi
200302,NA,kumasi
200303,29.3,kumasi
200304,27.7,kumasi
200305,27.8,kumasi
200306,NA,kumasi
200307,25.1,kumasi
200308,24.5,kumasi
200309,26.0,kumasi
200310,27.0,kumasi
200311,NA,kumasi
200312,26.6,kumasi
200401,27.2,kumasi
200402,28.3,kumasi
200403,28.2,kumasi
200404,27.7,kumasi
200405,27.1,kumasi
200406,25.9,kumasi
200407,24.8,kumasi
200408,24.5,kumasi
200409,25.8,kumasi
200410,26.3,kumasi
200411,27.1,kumasi
200412,27.1,kumasi
200501,25.9,kumasi
200502,28.7,kumasi
200503,28.0,kumasi
200504,28.2,kumasi
200505,27.1,kumasi
200506,25.5,kumasi
200507,24.3,kumasi
200508,23.8,kumasi
200509,26.0,kumasi
200510,26.7,kumasi
200511,27.4,kumasi
200512,18.0,kumasi
200601,27.3,kumasi
200602,27.3,kumasi
200603,27.5,kumasi
200604,28.3,kumasi
200605,27.1,kumasi
200606,26.7,kumasi
200607,25.7,kumasi
200608,25.2,kumasi
200609,25.5,kumasi
200610,26.5,kumasi
200611,NA,kumasi
200612,NA,kumasi
200701,26.8,kumasi
200702,NA,kumasi
200703,28.8,kumasi
200704,27.2,kumasi
200705,27.2,kumasi
200706,26.7,kumasi
200707,25.8,kumasi
200708,25.4,kumasi
200709,25.9,kumasi
200710,NA,kumasi
200711,NA,kumasi
200712,NA,kumasi
200801,NA,kumasi
200802,NA,kumasi
200803,NA,kumasi
200804,27.8,kumasi
200805,NA,kumasi
200806,26.6,kumasi
200807,25.8,kumasi
200808,25.5,kumasi
200809,26.1,kumasi
200810,NA,kumasi
200811,28.1,kumasi
200812,27.8,kumasi
200901,27.6,kumasi
200902,28.4,kumasi
200903,NA,kumasi
200904,27.9,kumasi
200905,27.6,kumasi
200906,NA,kumasi
200907,25.3,kumasi
200908,25.0,kumasi
200909,25.8,kumasi
200910,26.5,kumasi
200911,27.1,kumasi
200912,27.9,kumasi
201001,28.3,kumasi
201002,29.3,kumasi
201003,28.3,kumasi
201004,28.6,kumasi
201005,27.9,kumasi
201006,26.6,kumasi
201007,25.7,kumasi
201008,50.7,kumasi
201009,26.1,kumasi
201010,27.1,kumasi
201011,27.3,kumasi
201012,27.8,kumasi
201101,26.9,kumasi
201102,27.0,kumasi
201103,NA,kumasi
201104,NA,kumasi
201105,27.9,kumasi
201106,NA,kumasi
201107,25.3,kumasi
201108,25.2,kumasi
201109,NA,kumasi
201110,NA,kumasi
201111,27.9,kumasi
201112,27.6,kumasi
201201,27.3,kumasi
201202,28.4,kumasi
201203,28.3,kumasi
201204,NA,kumasi
201205,NA,kumasi
201206,NA,kumasi
201207,NA,kumasi
201208,NA,kumasi
201209,26.2,kumasi
201210,NA,kumasi
201211,NA,kumasi
201212,25.5,kumasi
201301,NA,kumasi
201302,NA,kumasi
201303,28.3,kumasi
201304,28.3,kumasi
201305,27.2,kumasi
201306,26.3,kumasi
201307,NA,kumasi
201308,24.6,kumasi
201309,25.9,kumasi
201310,26.5,kumasi
201311,27.2,kumasi
201312,26.5,kumasi
201401,27.7,kumasi
201402,28.1,kumasi
201403,28.3,kumasi
201404,28.1,kumasi
201405,NA,kumasi
201406,NA,kumasi
201407,NA,kumasi
201408,NA,kumasi
201409,20.8,kumasi
201410,NA,kumasi
201411,NA,kumasi
201412,NA,kumasi
201501,NA,kumasi
201502,NA,kumasi
201503,NA,kumasi
201504,NA,kumasi
201505,NA,kumasi
201506,NA,kumasi
201507,NA,kumasi
201508,NA,kumasi
201509,NA,kumasi
201510,NA,kumasi
201511,NA,kumasi
201512,NA,kumasi
201601,NA,kumasi
201602,NA,kumasi
201603,NA,kumasi
201604,28.5,kumasi
201605,NA,kumasi
201606,NA,kumasi
201607,NA,kumasi
201608,NA,kumasi
201609,25.3,kumasi
201610,NA,kumasi
201611,NA,kumasi
201612,NA,kumasi
