DATE,TAVG,NAME
195301,28.8,mabali
195302,26.0,mabali
195303,27.0,mabali
195304,26.6,mabali
195305,26.9,mabali
195306,25.6,mabali
195307,25.0,mabali
195308,25.4,mabali
195309,25.5,mabali
195310,25.3,mabali
195311,25.1,mabali
195312,25.5,mabali
195401,27.8,mabali
195402,26.1,mabali
195403,26.4,mabali
195404,26.1,mabali
195405,NA,mabali
195406,27.6,mabali
195407,25.5,mabali
195408,25.3,mabali
195409,26.8,mabali
195410,25.7,mabali
195411,25.9,mabali
195412,25.3,mabali
195501,25.7,mabali
195502,26.2,mabali
195503,26.7,mabali
195504,26.4,mabali
195505,26.3,mabali
195506,25.7,mabali
195507,25.0,mabali
195508,25.2,mabali
195509,25.4,mabali
195510,25.6,mabali
195511,26.0,mabali
195512,25.5,mabali
195601,25.7,mabali
195602,27.0,mabali
195603,26.3,mabali
195604,27.0,mabali
195605,26.9,mabali
195606,26.5,mabali
195607,26.2,mabali
195608,26.0,mabali
195609,26.5,mabali
195610,26.1,mabali
195611,26.6,mabali
195612,26.2,mabali
195701,27.4,mabali
195702,27.1,mabali
195703,27.6,mabali
195704,27.1,mabali
195705,26.9,mabali
195706,25.7,mabali
195707,NA,mabali
195708,NA,mabali
195709,NA,mabali
195710,NA,mabali
195711,NA,mabali
195712,NA,mabali
195801,NA,mabali
195802,NA,mabali
195803,NA,mabali
195804,NA,mabali
195805,NA,mabali
195806,NA,mabali
195807,NA,mabali
195808,NA,mabali
195809,NA,mabali
195810,NA,mabali
195811,NA,mabali
195812,NA,mabali
195901,28.8,mabali
195902,26.0,mabali
195903,27.0,mabali
195904,26.6,mabali
195905,26.9,mabali
195906,25.6,mabali
195907,25.0,mabali
195908,25.4,mabali
195909,25.5,mabali
195910,25.3,mabali
195911,25.1,mabali
195912,25.5,mabali
196001,24.4,mabali
196002,24.4,mabali
196003,24.6,mabali
196004,25.0,mabali
196005,24.8,mabali
196006,NA,mabali
196007,NA,mabali
196008,NA,mabali
196009,NA,mabali
196010,24.9,mabali
196011,24.7,mabali
196012,24.8,mabali
196101,26.0,mabali
196102,26.6,mabali
196103,25.2,mabali
196104,26.6,mabali
196105,26.7,mabali
196106,25.9,mabali
196107,25.7,mabali
196108,25.5,mabali
196109,25.6,mabali
196110,26.2,mabali
196111,25.9,mabali
196112,25.7,mabali
196201,26.0,mabali
196202,27.2,mabali
196203,27.0,mabali
196204,26.8,mabali
196205,26.5,mabali
196206,26.4,mabali
196207,25.5,mabali
196208,25.7,mabali
196209,26.4,mabali
196210,25.8,mabali
196211,25.6,mabali
196212,26.9,mabali
196301,27.5,mabali
196302,27.2,mabali
196303,26.9,mabali
196304,26.7,mabali
196305,26.5,mabali
196306,26.0,mabali
196307,25.7,mabali
196308,25.5,mabali
196309,25.0,mabali
196310,25.1,mabali
196311,25.5,mabali
196312,25.5,mabali
196401,26.5,mabali
196402,26.1,mabali
196403,26.7,mabali
196404,26.6,mabali
196405,26.7,mabali
196406,26.2,mabali
196407,25.6,mabali
196408,25.6,mabali
196409,25.9,mabali
196410,25.6,mabali
196411,25.6,mabali
196412,25.9,mabali
196501,26.3,mabali
196502,26.8,mabali
196503,27.3,mabali
196504,26.7,mabali
196505,26.8,mabali
196506,26.4,mabali
196507,26.2,mabali
196508,NA,mabali
196509,25.8,mabali
196510,26.4,mabali
196511,26.2,mabali
196512,26.4,mabali
196601,26.5,mabali
196602,27.5,mabali
196603,27.3,mabali
196604,27.5,mabali
196605,26.8,mabali
196606,26.4,mabali
196607,25.6,mabali
196608,24.6,mabali
196609,25.4,mabali
196610,25.9,mabali
196611,25.6,mabali
196612,26.5,mabali
196701,26.4,mabali
196702,26.8,mabali
196703,26.5,mabali
196704,27.7,mabali
196705,26.5,mabali
196706,26.1,mabali
196707,26.0,mabali
196708,25.8,mabali
196709,25.8,mabali
196710,26.0,mabali
196711,26.0,mabali
196712,26.2,mabali
196801,26.0,mabali
196802,26.8,mabali
196803,27.1,mabali
196804,26.8,mabali
196805,27.1,mabali
196806,26.5,mabali
196807,24.7,mabali
196808,25.2,mabali
196809,25.6,mabali
196810,25.9,mabali
196811,26.2,mabali
196812,26.7,mabali
196901,27.0,mabali
196902,27.5,mabali
196903,27.6,mabali
196904,27.5,mabali
196905,27.0,mabali
196906,26.5,mabali
196907,26.0,mabali
196908,25.6,mabali
196909,25.8,mabali
196910,27.0,mabali
196911,26.0,mabali
196912,25.9,mabali
197001,26.5,mabali
197002,26.5,mabali
197003,27.1,mabali
197004,26.6,mabali
197005,26.5,mabali
197006,27.0,mabali
197007,25.5,mabali
197008,25.1,mabali
197009,25.3,mabali
197010,25.9,mabali
197011,25.4,mabali
197012,25.9,mabali
197101,26.6,mabali
197102,27.0,mabali
197103,26.6,mabali
197104,26.5,mabali
197105,26.9,mabali
197106,26.6,mabali
197107,25.8,mabali
197108,25.7,mabali
197109,25.9,mabali
197110,25.4,mabali
197111,25.6,mabali
197112,26.3,mabali
197201,26.7,mabali
197202,27.1,mabali
197203,27.4,mabali
197204,26.1,mabali
197205,26.3,mabali
197206,25.9,mabali
197207,25.6,mabali
197208,24.5,mabali
197209,24.2,mabali
197210,25.5,mabali
197211,25.5,mabali
197212,25.1,mabali
197301,25.3,mabali
197302,26.2,mabali
197303,26.2,mabali
197304,26.4,mabali
197305,26.0,mabali
197306,25.9,mabali
197307,24.5,mabali
197308,25.2,mabali
197309,24.8,mabali
197310,25.6,mabali
197311,25.2,mabali
197312,25.0,mabali
197401,25.9,mabali
197402,26.3,mabali
197403,26.7,mabali
197404,26.8,mabali
197405,26.1,mabali
197406,25.6,mabali
197407,26.3,mabali
197408,24.9,mabali
197409,24.5,mabali
197410,24.9,mabali
197411,24.3,mabali
197412,24.9,mabali
197501,25.5,mabali
197502,26.3,mabali
197503,26.5,mabali
197504,26.3,mabali
197505,26.2,mabali
197506,25.4,mabali
197507,25.3,mabali
197508,25.3,mabali
197509,25.3,mabali
197510,25.6,mabali
197511,25.4,mabali
197512,24.9,mabali
197601,26.2,mabali
197602,26.9,mabali
197603,26.9,mabali
197604,26.9,mabali
197605,26.8,mabali
197606,25.8,mabali
197607,25.5,mabali
197608,25.3,mabali
197609,25.8,mabali
197610,26.3,mabali
197611,26.3,mabali
197612,26.1,mabali
197701,26.3,mabali
197702,27.3,mabali
197703,27.7,mabali
197704,27.2,mabali
197705,26.9,mabali
197706,25.6,mabali
197707,25.5,mabali
197708,25.9,mabali
197709,25.7,mabali
197710,26.2,mabali
197711,25.7,mabali
197712,26.5,mabali
197801,26.6,mabali
197802,26.6,mabali
197803,27.6,mabali
197804,27.2,mabali
197805,26.7,mabali
197806,26.6,mabali
197807,26.1,mabali
197808,NA,mabali
197809,26.3,mabali
197810,26.6,mabali
197811,25.8,mabali
197812,26.0,mabali
197901,27.1,mabali
197902,26.8,mabali
197903,27.1,mabali
197904,27.1,mabali
197905,26.9,mabali
197906,26.1,mabali
197907,25.2,mabali
197908,25.9,mabali
197909,25.9,mabali
197910,25.8,mabali
197911,25.7,mabali
197912,26.0,mabali
198001,26.1,mabali
198002,NA,mabali
198003,27.2,mabali
198004,27.8,mabali
198005,26.7,mabali
198006,26.5,mabali
198007,25.5,mabali
198008,26.0,mabali
198009,25.9,mabali
198010,26.1,mabali
198011,25.7,mabali
198012,26.2,mabali
198101,26.5,mabali
198102,27.0,mabali
198103,27.2,mabali
198104,27.9,mabali
198105,26.8,mabali
198106,NA,mabali
198107,NA,mabali
198108,25.1,mabali
198109,25.6,mabali
198110,25.8,mabali
198111,26.4,mabali
198112,26.4,mabali
198201,26.7,mabali
198202,28.2,mabali
198203,28.6,mabali
198204,28.0,mabali
198205,NA,mabali
198206,NA,mabali
198207,25.7,mabali
198208,25.4,mabali
198209,26.0,mabali
198210,26.3,mabali
198211,26.3,mabali
198212,26.1,mabali
198301,26.7,mabali
198302,27.5,mabali
198303,27.6,mabali
198304,26.5,mabali
198305,26.6,mabali
198306,26.3,mabali
198307,25.0,mabali
198308,25.7,mabali
198309,26.0,mabali
198310,26.0,mabali
198311,25.7,mabali
198312,26.1,mabali
198401,26.7,mabali
198402,27.3,mabali
198403,27.0,mabali
198404,26.3,mabali
198405,27.0,mabali
198406,29.4,mabali
198407,25.1,mabali
198408,25.2,mabali
198409,NA,mabali
198410,NA,mabali
198411,26.2,mabali
198412,NA,mabali
198501,27.1,mabali
198502,26.8,mabali
198503,27.1,mabali
198504,27.1,mabali
198505,26.9,mabali
198506,26.1,mabali
198507,25.2,mabali
198508,25.9,mabali
198509,25.9,mabali
198510,25.8,mabali
198511,25.7,mabali
198512,26.0,mabali
198601,NA,mabali
198602,NA,mabali
198603,26.2,mabali
198604,NA,mabali
198605,26.5,mabali
198606,NA,mabali
198607,NA,mabali
198608,NA,mabali
198609,NA,mabali
198610,NA,mabali
198611,NA,mabali
198612,NA,mabali
