DATE,TAVG,NAME
195101,NA,mbandaka
195102,NA,mbandaka
195103,NA,mbandaka
195104,NA,mbandaka
195105,NA,mbandaka
195106,NA,mbandaka
195107,NA,mbandaka
195108,NA,mbandaka
195109,NA,mbandaka
195110,24.6,mbandaka
195111,24.4,mbandaka
195112,25.0,mbandaka
195201,NA,mbandaka
195202,NA,mbandaka
195203,NA,mbandaka
195204,NA,mbandaka
195205,NA,mbandaka
195206,NA,mbandaka
195207,24.2,mbandaka
195208,24.1,mbandaka
195209,23.9,mbandaka
195210,24.6,mbandaka
195211,24.0,mbandaka
195212,24.7,mbandaka
195301,24.8,mbandaka
195302,25.3,mbandaka
195303,25.7,mbandaka
195304,25.0,mbandaka
195305,25.2,mbandaka
195306,24.5,mbandaka
195307,24.3,mbandaka
195308,23.9,mbandaka
195309,24.8,mbandaka
195310,23.8,mbandaka
195311,24.1,mbandaka
195312,25.0,mbandaka
195401,24.4,mbandaka
195402,24.2,mbandaka
195403,24.9,mbandaka
195404,24.6,mbandaka
195405,24.7,mbandaka
195406,23.9,mbandaka
195407,23.1,mbandaka
195408,23.5,mbandaka
195409,23.3,mbandaka
195410,23.5,mbandaka
195411,23.6,mbandaka
195412,24.2,mbandaka
195501,24.3,mbandaka
195502,24.8,mbandaka
195503,24.6,mbandaka
195504,24.4,mbandaka
195505,24.9,mbandaka
195506,24.1,mbandaka
195507,23.7,mbandaka
195508,23.4,mbandaka
195509,23.6,mbandaka
195510,24.0,mbandaka
195511,24.2,mbandaka
195512,24.0,mbandaka
195601,24.1,mbandaka
195602,24.7,mbandaka
195603,24.7,mbandaka
195604,24.6,mbandaka
195605,24.6,mbandaka
195606,24.2,mbandaka
195607,23.2,mbandaka
195608,24.0,mbandaka
195609,23.7,mbandaka
195610,23.6,mbandaka
195611,23.8,mbandaka
195612,24.3,mbandaka
195701,23.7,mbandaka
195702,24.8,mbandaka
195703,24.5,mbandaka
195704,24.8,mbandaka
195705,25.1,mbandaka
195706,24.5,mbandaka
195707,23.8,mbandaka
195708,23.9,mbandaka
195709,24.3,mbandaka
195710,24.0,mbandaka
195711,24.5,mbandaka
195712,24.6,mbandaka
195801,25.5,mbandaka
195802,25.1,mbandaka
195803,25.8,mbandaka
195804,25.6,mbandaka
195805,25.1,mbandaka
195806,23.6,mbandaka
195807,23.1,mbandaka
195808,23.5,mbandaka
195809,23.8,mbandaka
195810,24.6,mbandaka
195811,24.2,mbandaka
195812,24.8,mbandaka
195901,24.8,mbandaka
195902,25.7,mbandaka
195903,25.5,mbandaka
195904,25.0,mbandaka
195905,24.9,mbandaka
195906,24.4,mbandaka
195907,23.8,mbandaka
195908,23.4,mbandaka
195909,23.6,mbandaka
195910,24.6,mbandaka
195911,24.4,mbandaka
195912,25.1,mbandaka
196001,24.8,mbandaka
196002,24.7,mbandaka
196003,24.5,mbandaka
196004,25.5,mbandaka
196005,25.2,mbandaka
196006,24.4,mbandaka
196007,23.9,mbandaka
196008,24.2,mbandaka
196009,23.9,mbandaka
196010,24.9,mbandaka
196011,24.3,mbandaka
196012,25.3,mbandaka
196101,25.0,mbandaka
196102,NA,mbandaka
196103,NA,mbandaka
196104,25.4,mbandaka
196105,NA,mbandaka
196106,NA,mbandaka
196107,NA,mbandaka
196108,NA,mbandaka
196109,NA,mbandaka
196110,NA,mbandaka
196111,NA,mbandaka
196112,NA,mbandaka
196201,25.2,mbandaka
196202,25.2,mbandaka
196203,NA,mbandaka
196204,NA,mbandaka
196205,NA,mbandaka
196206,NA,mbandaka
196207,NA,mbandaka
196208,NA,mbandaka
196209,NA,mbandaka
196210,NA,mbandaka
196211,NA,mbandaka
196212,NA,mbandaka
196301,25.7,mbandaka
196302,26.4,mbandaka
196303,26.7,mbandaka
196304,26.6,mbandaka
196305,26.4,mbandaka
196306,25.9,mbandaka
196307,25.1,mbandaka
196308,25.1,mbandaka
196309,26.0,mbandaka
196310,25.2,mbandaka
196311,25.5,mbandaka
196312,26.1,mbandaka
196401,26.5,mbandaka
196402,26.8,mbandaka
196403,26.2,mbandaka
196404,26.3,mbandaka
196405,26.4,mbandaka
196406,25.3,mbandaka
196407,24.8,mbandaka
196408,24.7,mbandaka
196409,24.9,mbandaka
196410,24.9,mbandaka
196411,25.0,mbandaka
196412,24.9,mbandaka
196501,25.2,mbandaka
196502,25.5,mbandaka
196503,25.9,mbandaka
196504,25.7,mbandaka
196505,26.1,mbandaka
196506,25.5,mbandaka
196507,24.8,mbandaka
196508,24.6,mbandaka
196509,25.3,mbandaka
196510,25.5,mbandaka
196511,25.2,mbandaka
196512,24.9,mbandaka
196601,25.7,mbandaka
196602,25.9,mbandaka
196603,26.2,mbandaka
196604,25.9,mbandaka
196605,25.6,mbandaka
196606,25.2,mbandaka
196607,24.8,mbandaka
196608,24.9,mbandaka
196609,25.1,mbandaka
196610,25.4,mbandaka
196611,25.6,mbandaka
196612,25.4,mbandaka
196701,25.0,mbandaka
196702,26.4,mbandaka
196703,26.0,mbandaka
196704,26.3,mbandaka
196705,25.9,mbandaka
196706,25.3,mbandaka
196707,24.1,mbandaka
196708,24.0,mbandaka
196709,25.1,mbandaka
196710,25.3,mbandaka
196711,25.2,mbandaka
196712,25.7,mbandaka
196801,25.5,mbandaka
196802,25.5,mbandaka
196803,25.2,mbandaka
196804,26.1,mbandaka
196805,25.7,mbandaka
196806,25.1,mbandaka
196807,NA,mbandaka
196808,25.0,mbandaka
196809,25.0,mbandaka
196810,24.8,mbandaka
196811,25.3,mbandaka
196812,25.4,mbandaka
196901,25.1,mbandaka
196902,26.5,mbandaka
196903,26.7,mbandaka
196904,26.4,mbandaka
196905,26.5,mbandaka
196906,25.4,mbandaka
196907,24.2,mbandaka
196908,24.9,mbandaka
196909,25.0,mbandaka
196910,25.2,mbandaka
196911,25.3,mbandaka
196912,25.5,mbandaka
197001,25.7,mbandaka
197002,26.5,mbandaka
197003,26.7,mbandaka
197004,26.7,mbandaka
197005,26.4,mbandaka
197006,25.1,mbandaka
197007,24.5,mbandaka
197008,24.5,mbandaka
197009,24.9,mbandaka
197010,25.7,mbandaka
197011,25.7,mbandaka
197012,25.4,mbandaka
197101,25.4,mbandaka
197102,25.9,mbandaka
197103,26.1,mbandaka
197104,25.7,mbandaka
197105,26.0,mbandaka
197106,25.8,mbandaka
197107,24.3,mbandaka
197108,24.4,mbandaka
197109,24.4,mbandaka
197110,25.3,mbandaka
197111,25.1,mbandaka
197112,25.0,mbandaka
197201,25.7,mbandaka
197202,25.6,mbandaka
197203,25.6,mbandaka
197204,25.7,mbandaka
197205,25.7,mbandaka
197206,24.5,mbandaka
197207,25.0,mbandaka
197208,24.9,mbandaka
197209,25.6,mbandaka
197210,25.6,mbandaka
197211,25.3,mbandaka
197212,NA,mbandaka
197301,26.1,mbandaka
197302,27.1,mbandaka
197303,26.9,mbandaka
197304,26.2,mbandaka
197305,25.9,mbandaka
197306,25.6,mbandaka
197307,24.9,mbandaka
197308,24.7,mbandaka
197309,25.3,mbandaka
197310,25.4,mbandaka
197311,25.6,mbandaka
197312,25.0,mbandaka
197401,25.4,mbandaka
197402,25.7,mbandaka
197403,26.0,mbandaka
197404,26.0,mbandaka
197405,25.8,mbandaka
197406,25.4,mbandaka
197407,24.1,mbandaka
197408,24.9,mbandaka
197409,25.0,mbandaka
197410,25.6,mbandaka
197411,25.4,mbandaka
197412,24.6,mbandaka
197501,NA,mbandaka
197502,NA,mbandaka
197503,NA,mbandaka
197504,NA,mbandaka
197505,NA,mbandaka
197506,NA,mbandaka
197507,NA,mbandaka
197508,NA,mbandaka
197509,NA,mbandaka
197510,NA,mbandaka
197511,NA,mbandaka
197512,NA,mbandaka
197601,NA,mbandaka
197602,NA,mbandaka
197603,NA,mbandaka
197604,NA,mbandaka
197605,NA,mbandaka
197606,NA,mbandaka
197607,NA,mbandaka
197608,NA,mbandaka
197609,NA,mbandaka
197610,NA,mbandaka
197611,NA,mbandaka
197612,NA,mbandaka
197701,25.5,mbandaka
197702,26.5,mbandaka
197703,26.5,mbandaka
197704,26.3,mbandaka
197705,26.3,mbandaka
197706,25.2,mbandaka
197707,24.8,mbandaka
197708,24.9,mbandaka
197709,25.6,mbandaka
197710,25.9,mbandaka
197711,25.7,mbandaka
197712,25.5,mbandaka
197801,NA,mbandaka
197802,NA,mbandaka
197803,NA,mbandaka
197804,NA,mbandaka
197805,NA,mbandaka
197806,NA,mbandaka
197807,NA,mbandaka
197808,NA,mbandaka
197809,NA,mbandaka
197810,NA,mbandaka
197811,NA,mbandaka
197812,NA,mbandaka
197901,26.1,mbandaka
197902,26.1,mbandaka
197903,26.6,mbandaka
197904,26.5,mbandaka
197905,26.3,mbandaka
197906,25.9,mbandaka
197907,25.0,mbandaka
197908,25.1,mbandaka
197909,25.4,mbandaka
197910,26.0,mbandaka
197911,25.7,mbandaka
197912,25.7,mbandaka
198001,26.4,mbandaka
198002,26.1,mbandaka
198003,26.4,mbandaka
198004,26.6,mbandaka
198005,NA,mbandaka
198006,25.8,mbandaka
198007,24.8,mbandaka
198008,25.4,mbandaka
198009,25.8,mbandaka
198010,25.4,mbandaka
198011,25.8,mbandaka
198012,25.5,mbandaka
198101,25.9,mbandaka
198102,26.7,mbandaka
198103,NA,mbandaka
198104,NA,mbandaka
198105,NA,mbandaka
198106,NA,mbandaka
198107,NA,mbandaka
198108,25.4,mbandaka
198109,25.7,mbandaka
198110,25.8,mbandaka
198111,25.4,mbandaka
198112,26.0,mbandaka
198201,25.7,mbandaka
198202,26.3,mbandaka
198203,26.8,mbandaka
198204,27.0,mbandaka
198205,26.4,mbandaka
198206,25.6,mbandaka
198207,24.4,mbandaka
