DATE,TAVG,NAME
195101,24.6,mitzic
195102,23.9,mitzic
195103,24.5,mitzic
195104,24.4,mitzic
195105,24.3,mitzic
195106,23.9,mitzic
195107,22.4,mitzic
195108,22.2,mitzic
195109,23.3,mitzic
195110,24.2,mitzic
195111,23.7,mitzic
195112,24.5,mitzic
195201,23.5,mitzic
195202,24.3,mitzic
195203,24.1,mitzic
195204,23.4,mitzic
195205,23.1,mitzic
195206,22.9,mitzic
195207,20.6,mitzic
195208,20.5,mitzic
195209,23.4,mitzic
195210,24.0,mitzic
195211,23.4,mitzic
195212,23.4,mitzic
195301,23.5,mitzic
195302,23.7,mitzic
195303,24.2,mitzic
195304,25.3,mitzic
195305,23.9,mitzic
195306,23.0,mitzic
195307,21.8,mitzic
195308,21.5,mitzic
195309,23.0,mitzic
195310,23.6,mitzic
195311,24.0,mitzic
195312,24.4,mitzic
195401,24.2,mitzic
195402,23.0,mitzic
195403,24.3,mitzic
195404,23.6,mitzic
195405,23.3,mitzic
195406,22.5,mitzic
195407,20.3,mitzic
195408,21.2,mitzic
195409,22.7,mitzic
195410,23.5,mitzic
195411,23.3,mitzic
195412,23.9,mitzic
195501,23.5,mitzic
195502,23.6,mitzic
195503,24.0,mitzic
195504,23.7,mitzic
195505,23.7,mitzic
195506,23.1,mitzic
195507,21.5,mitzic
195508,21.6,mitzic
195509,22.8,mitzic
195510,24.0,mitzic
195511,23.6,mitzic
195512,23.4,mitzic
195601,23.7,mitzic
195602,23.7,mitzic
195603,23.6,mitzic
195604,23.5,mitzic
195605,24.0,mitzic
195606,22.9,mitzic
195607,20.4,mitzic
195608,21.0,mitzic
195609,23.1,mitzic
195610,23.7,mitzic
195611,23.6,mitzic
195612,23.6,mitzic
195701,23.3,mitzic
195702,24.2,mitzic
195703,24.0,mitzic
195704,23.9,mitzic
195705,24.6,mitzic
195706,23.0,mitzic
195707,21.5,mitzic
195708,22.3,mitzic
195709,23.2,mitzic
195710,23.8,mitzic
195711,24.1,mitzic
195712,24.3,mitzic
195801,24.7,mitzic
195802,24.5,mitzic
195803,24.9,mitzic
195804,24.3,mitzic
195805,23.9,mitzic
195806,22.0,mitzic
195807,21.2,mitzic
195808,21.4,mitzic
195809,22.9,mitzic
195810,23.8,mitzic
195811,24.3,mitzic
195812,24.2,mitzic
195901,24.0,mitzic
195902,24.5,mitzic
195903,24.6,mitzic
195904,23.4,mitzic
195905,23.3,mitzic
195906,22.0,mitzic
195907,21.7,mitzic
195908,22.2,mitzic
195909,22.7,mitzic
195910,23.6,mitzic
195911,23.3,mitzic
195912,23.5,mitzic
196001,24.3,mitzic
196002,24.0,mitzic
196003,24.2,mitzic
196004,24.1,mitzic
196005,24.1,mitzic
196006,22.5,mitzic
196007,22.2,mitzic
196008,22.5,mitzic
196009,23.8,mitzic
196010,24.0,mitzic
196011,23.9,mitzic
196012,23.9,mitzic
196101,23.7,mitzic
196102,23.2,mitzic
196103,24.5,mitzic
196104,24.6,mitzic
196105,24.2,mitzic
196106,22.0,mitzic
196107,21.3,mitzic
196108,21.5,mitzic
196109,23.1,mitzic
196110,23.3,mitzic
196111,22.8,mitzic
196112,23.7,mitzic
196201,24.0,mitzic
196202,24.7,mitzic
196203,24.4,mitzic
196204,24.5,mitzic
196205,24.3,mitzic
196206,22.6,mitzic
196207,21.8,mitzic
196208,22.1,mitzic
196209,22.8,mitzic
196210,24.0,mitzic
196211,23.9,mitzic
196212,24.0,mitzic
196301,22.9,mitzic
196302,24.1,mitzic
196303,24.3,mitzic
196304,24.5,mitzic
196305,24.5,mitzic
196306,23.6,mitzic
196307,22.5,mitzic
196308,22.0,mitzic
196309,23.8,mitzic
196310,24.2,mitzic
196311,23.8,mitzic
196312,23.4,mitzic
196401,24.6,mitzic
196402,24.6,mitzic
196403,24.6,mitzic
196404,24.7,mitzic
196405,23.4,mitzic
196406,21.8,mitzic
196407,21.1,mitzic
196408,21.5,mitzic
196409,23.9,mitzic
196410,23.1,mitzic
196411,23.3,mitzic
196412,23.5,mitzic
196501,24.1,mitzic
196502,24.2,mitzic
196503,24.4,mitzic
196504,24.0,mitzic
196505,24.0,mitzic
196506,22.9,mitzic
196507,21.2,mitzic
196508,21.9,mitzic
196509,23.6,mitzic
196510,23.5,mitzic
196511,23.2,mitzic
196512,23.6,mitzic
196601,23.6,mitzic
196602,24.2,mitzic
196603,24.5,mitzic
196604,24.0,mitzic
196605,23.9,mitzic
196606,23.1,mitzic
196607,22.1,mitzic
196608,22.3,mitzic
196609,22.8,mitzic
196610,23.7,mitzic
196611,23.5,mitzic
196612,23.6,mitzic
196701,23.9,mitzic
196702,24.2,mitzic
196703,24.5,mitzic
196704,24.5,mitzic
196705,23.8,mitzic
196706,22.7,mitzic
196707,21.3,mitzic
196708,21.4,mitzic
196709,22.9,mitzic
196710,23.3,mitzic
196711,23.9,mitzic
196712,24.0,mitzic
196801,24.0,mitzic
196802,24.4,mitzic
196803,23.9,mitzic
196804,24.3,mitzic
196805,23.9,mitzic
196806,22.8,mitzic
196807,21.5,mitzic
196808,21.9,mitzic
196809,22.6,mitzic
196810,23.6,mitzic
196811,23.4,mitzic
196812,23.6,mitzic
196901,23.7,mitzic
196902,24.8,mitzic
196903,25.5,mitzic
196904,25.1,mitzic
196905,24.8,mitzic
196906,22.4,mitzic
196907,21.5,mitzic
196908,22.2,mitzic
196909,23.6,mitzic
196910,23.9,mitzic
196911,23.9,mitzic
196912,24.2,mitzic
197001,24.5,mitzic
197002,25.0,mitzic
197003,24.3,mitzic
197004,25.0,mitzic
197005,24.2,mitzic
197006,23.0,mitzic
197007,21.3,mitzic
197008,22.0,mitzic
197009,22.6,mitzic
197010,22.9,mitzic
197011,23.0,mitzic
197012,23.6,mitzic
197101,23.6,mitzic
197102,24.1,mitzic
197103,24.5,mitzic
197104,24.2,mitzic
197105,23.5,mitzic
197106,23.7,mitzic
197107,21.7,mitzic
197108,21.9,mitzic
197109,23.3,mitzic
197110,23.9,mitzic
197111,23.4,mitzic
197112,23.7,mitzic
197201,24.0,mitzic
197202,24.4,mitzic
197203,24.2,mitzic
197204,24.1,mitzic
197205,23.6,mitzic
197206,22.2,mitzic
197207,21.8,mitzic
197208,21.5,mitzic
197209,23.0,mitzic
197210,22.8,mitzic
197211,22.7,mitzic
197212,23.4,mitzic
197301,23.9,mitzic
197302,24.5,mitzic
197303,24.0,mitzic
197304,23.9,mitzic
197305,23.2,mitzic
197306,23.0,mitzic
197307,22.8,mitzic
197308,21.8,mitzic
197309,22.7,mitzic
197310,24.0,mitzic
197311,22.7,mitzic
197312,23.6,mitzic
197401,23.6,mitzic
197402,23.2,mitzic
197403,24.6,mitzic
197404,24.0,mitzic
197405,23.1,mitzic
197406,23.8,mitzic
197407,21.1,mitzic
197408,22.3,mitzic
197409,23.5,mitzic
197410,23.6,mitzic
197411,23.7,mitzic
197412,23.5,mitzic
197501,24.6,mitzic
197502,24.3,mitzic
197503,24.6,mitzic
197504,24.8,mitzic
197505,24.5,mitzic
197506,23.3,mitzic
197507,22.2,mitzic
197508,21.6,mitzic
197509,22.9,mitzic
197510,23.7,mitzic
197511,23.5,mitzic
197512,23.7,mitzic
197601,23.2,mitzic
197602,23.0,mitzic
197603,23.8,mitzic
197604,24.0,mitzic
197605,22.9,mitzic
197606,21.9,mitzic
197607,20.7,mitzic
197608,21.5,mitzic
197609,22.3,mitzic
197610,22.3,mitzic
197611,22.6,mitzic
197612,22.6,mitzic
197701,23.3,mitzic
197702,23.6,mitzic
197703,23.8,mitzic
197704,24.2,mitzic
197705,23.6,mitzic
197706,22.6,mitzic
197707,20.6,mitzic
197708,22.7,mitzic
197709,22.8,mitzic
197710,24.3,mitzic
197711,23.9,mitzic
197712,24.1,mitzic
197801,24.7,mitzic
197802,24.3,mitzic
197803,25.3,mitzic
197804,24.5,mitzic
197805,24.1,mitzic
197806,22.8,mitzic
197807,21.6,mitzic
197808,23.6,mitzic
