date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,NA
1/04/1984,NA
1/05/1984,NA
1/06/1984,NA
1/07/1984,NA
1/08/1984,NA
1/09/1984,NA
1/10/1984,NA
1/11/1984,NA
1/12/1984,NA
1/01/1985,NA
1/02/1985,NA
1/03/1985,NA
1/04/1985,NA
1/05/1985,NA
1/06/1985,NA
1/07/1985,NA
1/08/1985,NA
1/09/1985,NA
1/10/1985,NA
1/11/1985,NA
1/12/1985,NA
1/01/1986,NA
1/02/1986,NA
1/03/1986,NA
1/04/1986,NA
1/05/1986,NA
1/06/1986,NA
1/07/1986,NA
1/08/1986,NA
1/09/1986,NA
1/10/1986,NA
1/11/1986,NA
1/12/1986,NA
1/01/1987,NA
1/02/1987,NA
1/03/1987,NA
1/04/1987,NA
1/05/1987,NA
1/06/1987,NA
1/07/1987,NA
1/08/1987,NA
1/09/1987,NA
1/10/1987,NA
1/11/1987,NA
1/12/1987,NA
1/01/1988,NA
1/02/1988,NA
1/03/1988,NA
1/04/1988,NA
1/05/1988,NA
1/06/1988,NA
1/07/1988,NA
1/08/1988,NA
1/09/1988,NA
1/10/1988,NA
1/11/1988,NA
1/12/1988,NA
1/01/1989,NA
1/02/1989,NA
1/03/1989,NA
1/04/1989,NA
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,NA
1/09/1989,NA
1/10/1989,NA
1/11/1989,NA
1/12/1989,NA
1/01/1990,NA
1/02/1990,NA
1/03/1990,NA
1/04/1990,NA
1/05/1990,NA
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,NA
1/03/1991,NA
1/04/1991,NA
1/05/1991,NA
1/06/1991,NA
1/07/1991,NA
1/08/1991,NA
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,NA
1/03/1992,NA
1/04/1992,NA
1/05/1992,NA
1/06/1992,NA
1/07/1992,NA
1/08/1992,NA
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,NA
1/01/1993,NA
1/02/1993,NA
1/03/1993,NA
1/04/1993,NA
1/05/1993,NA
1/06/1993,NA
1/07/1993,NA
1/08/1993,NA
1/09/1993,NA
1/10/1993,NA
1/11/1993,NA
1/12/1993,NA
1/01/1994,NA
1/02/1994,NA
1/03/1994,NA
1/04/1994,NA
1/05/1994,NA
1/06/1994,NA
1/07/1994,NA
1/08/1994,NA
1/09/1994,NA
1/10/1994,NA
1/11/1994,NA
1/12/1994,NA
1/01/1995,NA
1/02/1995,NA
1/03/1995,NA
1/04/1995,NA
1/05/1995,NA
1/06/1995,NA
1/07/1995,NA
1/08/1995,NA
1/09/1995,NA
1/10/1995,NA
1/11/1995,NA
1/12/1995,NA
1/01/1996,NA
1/02/1996,NA
1/03/1996,NA
1/04/1996,NA
1/05/1996,NA
1/06/1996,NA
1/07/1996,NA
1/08/1996,NA
1/09/1996,NA
1/10/1996,NA
1/11/1996,NA
1/12/1996,NA
1/01/1997,NA
1/02/1997,NA
1/03/1997,NA
1/04/1997,NA
1/05/1997,NA
1/06/1997,NA
1/07/1997,NA
1/08/1997,NA
1/09/1997,NA
1/10/1997,NA
1/11/1997,NA
1/12/1997,NA
1/01/1998,NA
1/02/1998,NA
1/03/1998,NA
1/04/1998,NA
1/05/1998,NA
1/06/1998,NA
1/07/1998,NA
1/08/1998,NA
1/09/1998,NA
1/10/1998,NA
1/11/1998,NA
1/12/1998,NA
1/01/1999,NA
1/02/1999,NA
1/03/1999,NA
1/04/1999,NA
1/05/1999,NA
1/06/1999,NA
1/07/1999,NA
1/08/1999,NA
1/09/1999,NA
1/10/1999,NA
1/11/1999,NA
1/12/1999,NA
1/01/2000,NA
1/02/2000,NA
1/03/2000,NA
1/04/2000,NA
1/05/2000,NA
1/06/2000,NA
1/07/2000,NA
1/08/2000,NA
1/09/2000,NA
1/10/2000,NA
1/11/2000,NA
1/12/2000,NA
1/01/2001,NA
1/02/2001,NA
1/03/2001,NA
1/04/2001,NA
1/05/2001,NA
1/06/2001,NA
1/07/2001,NA
1/08/2001,NA
1/09/2001,NA
1/10/2001,NA
1/11/2001,NA
1/12/2001,NA
1/01/2002,NA
1/02/2002,NA
1/03/2002,NA
1/04/2002,NA
1/05/2002,NA
1/06/2002,NA
1/07/2002,NA
1/08/2002,NA
1/09/2002,NA
1/10/2002,NA
1/11/2002,NA
1/12/2002,NA
1/01/2003,NA
1/02/2003,NA
1/03/2003,NA
1/04/2003,NA
1/05/2003,NA
1/06/2003,NA
1/07/2003,NA
1/08/2003,NA
1/09/2003,NA
1/10/2003,NA
1/11/2003,NA
1/12/2003,NA
1/01/2004,NA
1/02/2004,NA
1/03/2004,NA
1/04/2004,NA
1/05/2004,NA
1/06/2004,NA
1/07/2004,NA
1/08/2004,NA
1/09/2004,NA
1/10/2004,NA
1/11/2004,NA
1/12/2004,NA
1/01/2005,NA
1/02/2005,NA
1/03/2005,NA
1/04/2005,NA
1/05/2005,NA
1/06/2005,NA
1/07/2005,NA
1/08/2005,NA
1/09/2005,NA
1/10/2005,NA
1/11/2005,NA
1/12/2005,NA
1/01/2006,NA
1/02/2006,NA
1/03/2006,NA
1/04/2006,NA
1/05/2006,NA
1/06/2006,24.55
1/07/2006,NA
1/08/2006,NA
1/09/2006,NA
1/10/2006,22.5
1/11/2006,NA
1/12/2006,NA
1/01/2007,NA
1/02/2007,NA
1/03/2007,NA
1/04/2007,NA
1/05/2007,NA
1/06/2007,NA
1/07/2007,19.7
1/08/2007,NA
1/09/2007,NA
1/10/2007,NA
1/11/2007,NA
1/12/2007,NA
1/01/2008,NA
1/02/2008,NA
1/03/2008,NA
1/04/2008,NA
1/05/2008,NA
1/06/2008,NA
1/07/2008,NA
1/08/2008,NA
1/09/2008,NA
1/10/2008,NA
1/11/2008,NA
1/12/2008,NA
1/01/2009,NA
1/02/2009,21.5
1/03/2009,26.464
1/04/2009,25.47857143
1/05/2009,26.08358209
1/06/2009,25.7025
1/07/2009,23.68275862
1/08/2009,24.30384615
1/09/2009,24.8
1/10/2009,24.98
1/11/2009,24.26428571
1/12/2009,23.975
1/01/2010,26.84
1/02/2010,26.2
1/03/2010,NA
1/04/2010,24.1
1/05/2010,NA
1/06/2010,23.81666667
1/07/2010,23.73
1/08/2010,23.79473684
1/09/2010,24.95833333
1/10/2010,25.16181818
1/11/2010,25.0637931
1/12/2010,25.89666667
1/01/2011,24.77654321
1/02/2011,28.95
1/03/2011,26.55
1/04/2011,25.87666667
1/05/2011,25.71333333
1/06/2011,24.87787611
1/07/2011,24.72747253
1/08/2011,24.56341463
1/09/2011,25.86056338
1/10/2011,25.06790123
1/11/2011,25.76764706
1/12/2011,25.45833333
1/01/2012,25.26833333
1/02/2012,25.88367347
1/03/2012,26.505
1/04/2012,26.85918367
1/05/2012,25.82191781
1/06/2012,24.62413793
1/07/2012,23.72613636
1/08/2012,24.29454545
1/09/2012,25.28317757
1/10/2012,25.37664234
1/11/2012,25.48
1/12/2012,24.92676056
1/01/2013,26.24538462
1/02/2013,26.73181818
1/03/2013,25.68811881
1/04/2013,26.20294118
1/05/2013,26.07241379
1/06/2013,25.23888889
1/07/2013,24.17446809
1/08/2013,25.49272727
1/09/2013,25.98656716
1/10/2013,24.7244898
1/11/2013,25.2287234
1/12/2013,25.24379562
1/01/2014,25.7375
1/02/2014,26.79310345
1/03/2014,26.81157895
1/04/2014,26.72592593
1/05/2014,26.05103448
1/06/2014,25.80666667
1/07/2014,24.50877193
1/08/2014,24.69090909
1/09/2014,25.39695122
1/10/2014,26.14266667
1/11/2014,25.7675
1/12/2014,25.6
1/01/2015,25.44716981
1/02/2015,26.335
1/03/2015,26.5171875
1/04/2015,26.18289474
1/05/2015,26.85066667
1/06/2015,26.52545455
1/07/2015,25.21805556
1/08/2015,25.28310811
1/09/2015,25.70947368
1/10/2015,25.90952381
1/11/2015,25.42771084
1/12/2015,26.84939759
1/01/2016,27.16973684
1/02/2016,26.87979798
1/03/2016,26.96842105
1/04/2016,27.64722222
1/05/2016,26.86538462
1/06/2016,25.28082192
1/07/2016,24.58837209
1/08/2016,25.31079545
1/09/2016,25.81904762
1/10/2016,25.89402985
1/11/2016,26.1970297
1/12/2016,26.11071429
