date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,NA
1/04/1984,NA
1/05/1984,25.028
1/06/1984,NA
1/07/1984,22.96923077
1/08/1984,23.75757576
1/09/1984,NA
1/10/1984,NA
1/11/1984,NA
1/12/1984,NA
1/01/1985,24.55774648
1/02/1985,23.744
1/03/1985,24.70961538
1/04/1985,24.35
1/05/1985,24.00882353
1/06/1985,NA
1/07/1985,23.23692308
1/08/1985,23.17741935
1/09/1985,NA
1/10/1985,24.5
1/11/1985,24.475
1/12/1985,NA
1/01/1986,NA
1/02/1986,23.96
1/03/1986,NA
1/04/1986,NA
1/05/1986,25.41111111
1/06/1986,23.6
1/07/1986,NA
1/08/1986,27.6
1/09/1986,NA
1/10/1986,NA
1/11/1986,22.03846154
1/12/1986,21.92
1/01/1987,23.88461538
1/02/1987,21.94
1/03/1987,21.2
1/04/1987,24.33333333
1/05/1987,NA
1/06/1987,NA
1/07/1987,22.994
1/08/1987,23.31578947
1/09/1987,23.36
1/10/1987,NA
1/11/1987,NA
1/12/1987,23.88108108
1/01/1988,24.26727273
1/02/1988,24.72432432
1/03/1988,25.11153846
1/04/1988,NA
1/05/1988,NA
1/06/1988,23.30909091
1/07/1988,21.45
1/08/1988,23.61034483
1/09/1988,23.49545455
1/10/1988,NA
1/11/1988,23.2975
1/12/1988,20.93333333
1/01/1989,24.76226415
1/02/1989,NA
1/03/1989,23.86904762
1/04/1989,25.28148148
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,NA
1/09/1989,NA
1/10/1989,NA
1/11/1989,25.56842105
1/12/1989,NA
1/01/1990,NA
1/02/1990,NA
1/03/1990,NA
1/04/1990,NA
1/05/1990,24.73934426
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,22.99285714
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,21
1/03/1991,NA
1/04/1991,25.1
1/05/1991,25.41428571
1/06/1991,20.9
1/07/1991,NA
1/08/1991,23.46315789
1/09/1991,24.825
1/10/1991,23.44814815
1/11/1991,24.70869565
1/12/1991,NA
1/01/1992,NA
1/02/1992,25.82985075
1/03/1992,25.81954023
1/04/1992,NA
1/05/1992,24.87820513
1/06/1992,NA
1/07/1992,21.94814815
1/08/1992,NA
1/09/1992,NA
1/10/1992,24.46923077
1/11/1992,NA
1/12/1992,NA
1/01/1993,NA
1/02/1993,24.60487805
1/03/1993,25.81025641
1/04/1993,24.79322034
1/05/1993,26.37631579
1/06/1993,NA
1/07/1993,24.11578947
1/08/1993,27.42
1/09/1993,29.3
1/10/1993,NA
1/11/1993,NA
1/12/1993,NA
1/01/1994,NA
1/02/1994,25.30740741
1/03/1994,22.24615385
1/04/1994,NA
1/05/1994,25.20666667
1/06/1994,NA
1/07/1994,22.87317073
1/08/1994,23.25344828
1/09/1994,NA
1/10/1994,24.10731707
1/11/1994,23.95714286
1/12/1994,24.2
1/01/1995,26.07368421
1/02/1995,24.575
1/03/1995,25.6704918
1/04/1995,NA
1/05/1995,NA
1/06/1995,NA
1/07/1995,23.57333333
1/08/1995,24.51136364
1/09/1995,23.24
1/10/1995,23
1/11/1995,24.4
1/12/1995,NA
1/01/1996,NA
1/02/1996,NA
1/03/1996,NA
1/04/1996,NA
1/05/1996,NA
1/06/1996,NA
1/07/1996,23.54418605
1/08/1996,23.77608696
1/09/1996,25.31363636
1/10/1996,24.2
1/11/1996,25.10833333
1/12/1996,24.40666667
1/01/1997,25.87692308
1/02/1997,26.08421053
1/03/1997,25.34375
1/04/1997,NA
1/05/1997,25.36153846
1/06/1997,NA
1/07/1997,22.8
1/08/1997,NA
1/09/1997,NA
1/10/1997,NA
1/11/1997,NA
1/12/1997,NA
1/01/1998,NA
1/02/1998,NA
1/03/1998,NA
1/04/1998,NA
1/05/1998,NA
1/06/1998,25.11111111
1/07/1998,24.25342466
1/08/1998,24.91875
1/09/1998,24.17317073
1/10/1998,NA
1/11/1998,24.06190476
1/12/1998,23.292
1/01/1999,NA
1/02/1999,24.09117647
1/03/1999,25.02857143
1/04/1999,NA
1/05/1999,24.24545455
1/06/1999,23.68181818
1/07/1999,NA
1/08/1999,22.96315789
1/09/1999,24.34
1/10/1999,23.83043478
1/11/1999,23.74655172
1/12/1999,NA
1/01/2000,NA
1/02/2000,24.22153846
1/03/2000,24.30512821
1/04/2000,NA
1/05/2000,24.7078125
1/06/2000,23.10405405
1/07/2000,22.19423077
1/08/2000,NA
1/09/2000,26.8
1/10/2000,NA
1/11/2000,NA
1/12/2000,NA
1/01/2001,24.30769231
1/02/2001,NA
1/03/2001,NA
1/04/2001,24.93448276
1/05/2001,24.32542373
1/06/2001,NA
1/07/2001,NA
1/08/2001,22.80806452
1/09/2001,NA
1/10/2001,NA
1/11/2001,24.21636364
1/12/2001,23.56176471
1/01/2002,24.39333333
1/02/2002,NA
1/03/2002,NA
1/04/2002,NA
1/05/2002,NA
1/06/2002,NA
1/07/2002,NA
1/08/2002,NA
1/09/2002,NA
1/10/2002,NA
1/11/2002,NA
1/12/2002,NA
1/01/2003,NA
1/02/2003,NA
1/03/2003,NA
1/04/2003,NA
1/05/2003,NA
1/06/2003,NA
1/07/2003,NA
1/08/2003,NA
1/09/2003,NA
1/10/2003,NA
1/11/2003,NA
1/12/2003,NA
1/01/2004,NA
1/02/2004,NA
1/03/2004,26.05714286
1/04/2004,25.34210526
1/05/2004,24.90689655
1/06/2004,21.05
1/07/2004,22.70322581
1/08/2004,24.1047619
1/09/2004,24.25294118
1/10/2004,24.53571429
1/11/2004,25.42380952
1/12/2004,25.5375
1/01/2005,23.78
1/02/2005,25.91666667
1/03/2005,24.9
1/04/2005,25.37647059
1/05/2005,25.71568627
1/06/2005,23.87906977
1/07/2005,22.45882353
1/08/2005,22.46
1/09/2005,23.69677419
1/10/2005,23.67368421
1/11/2005,23.72
1/12/2005,23.4125
1/01/2006,25.12857143
1/02/2006,24.14375
1/03/2006,23.06470588
1/04/2006,NA
1/05/2006,25.06666667
1/06/2006,23.21
1/07/2006,22.7375
1/08/2006,NA
1/09/2006,NA
1/10/2006,23.86956522
1/11/2006,24.16666667
1/12/2006,23.38461538
1/01/2007,24.225
1/02/2007,25.72666667
1/03/2007,24.4875
1/04/2007,26.4
1/05/2007,25.775
1/06/2007,NA
1/07/2007,22.045
1/08/2007,NA
1/09/2007,NA
1/10/2007,22.76521739
1/11/2007,23.12727273
1/12/2007,22.63333333
1/01/2008,22.1
1/02/2008,23.38333333
1/03/2008,25.66
1/04/2008,24.08
1/05/2008,22.69090909
1/06/2008,22.95333333
1/07/2008,24.2
1/08/2008,NA
1/09/2008,NA
1/10/2008,NA
1/11/2008,24.46
1/12/2008,25.65
1/01/2009,NA
1/02/2009,24.6
1/03/2009,24.31428571
1/04/2009,24.5
1/05/2009,26.1875
1/06/2009,25.36666667
1/07/2009,23.28333333
1/08/2009,23.325
1/09/2009,23.2
1/10/2009,25.95
1/11/2009,28.2
1/12/2009,24.23333333
1/01/2010,NA
1/02/2010,NA
1/03/2010,28.55
1/04/2010,25.56
1/05/2010,NA
1/06/2010,24.63333333
1/07/2010,NA
1/08/2010,NA
1/09/2010,22.26666667
1/10/2010,22.8
1/11/2010,23.7
1/12/2010,21.55
1/01/2011,21.5
1/02/2011,25.3
1/03/2011,NA
1/04/2011,23.6
1/05/2011,NA
1/06/2011,24.63488372
1/07/2011,23.48043478
1/08/2011,23.2425
1/09/2011,25.66666667
1/10/2011,25.56
1/11/2011,25.10363636
1/12/2011,23.97843137
1/01/2012,25.08536585
1/02/2012,25.22
1/03/2012,25.69677419
1/04/2012,26.21666667
1/05/2012,24.51707317
1/06/2012,23.78974359
1/07/2012,22.71935484
1/08/2012,22.17096774
1/09/2012,23.97272727
1/10/2012,24.25405405
1/11/2012,24.65625
1/12/2012,25.436
1/01/2013,NA
1/02/2013,25.5
1/03/2013,27.77619048
1/04/2013,26.90512821
1/05/2013,26.91470588
1/06/2013,25.25757576
1/07/2013,22.58360656
1/08/2013,24.30952381
1/09/2013,26.23538462
1/10/2013,26.3625
1/11/2013,26.56833333
1/12/2013,26.43717949
1/01/2014,27.06
1/02/2014,27.80632911
1/03/2014,28.64235294
1/04/2014,NA
1/05/2014,26.96777778
1/06/2014,26.10574713
1/07/2014,24.43478261
1/08/2014,25.14945055
1/09/2014,26.55058824
1/10/2014,NA
1/11/2014,26.89195402
1/12/2014,26.08
1/01/2015,27.22298851
1/02/2015,27.32592593
1/03/2015,27.93780488
1/04/2015,28.32298851
1/05/2015,NA
1/06/2015,25.65681818
1/07/2015,25.15894737
1/08/2015,25.19518072
1/09/2015,26.78076923
1/10/2015,27.14444444
1/11/2015,26.75697674
1/12/2015,27.38494624
1/01/2016,NA
1/02/2016,28.14352941
1/03/2016,28.19882353
1/04/2016,28.48314607
1/05/2016,27.91630435
1/06/2016,25.915
1/07/2016,25.23953488
1/08/2016,25.60140845
1/09/2016,27.08
1/10/2016,27.25172414
1/11/2016,28.17368421
1/12/2016,27.61470588
