date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,26.2
1/04/1984,26.625
1/05/1984,26.8625
1/06/1984,25.59622642
1/07/1984,23.81052632
1/08/1984,25.27272727
1/09/1984,25.592
1/10/1984,NA
1/11/1984,NA
1/12/1984,NA
1/01/1985,26.31388889
1/02/1985,25.68333333
1/03/1985,25.89137931
1/04/1985,26.63125
1/05/1985,NA
1/06/1985,23.70689655
1/07/1985,23.74137931
1/08/1985,23.91081081
1/09/1985,NA
1/10/1985,NA
1/11/1985,25.7
1/12/1985,26.46
1/01/1986,27.21111111
1/02/1986,26.04328358
1/03/1986,NA
1/04/1986,26.528
1/05/1986,NA
1/06/1986,24.39545455
1/07/1986,24.76
1/08/1986,23.71549296
1/09/1986,24.87647059
1/10/1986,NA
1/11/1986,25.52833333
1/12/1986,NA
1/01/1987,NA
1/02/1987,26.51971831
1/03/1987,NA
1/04/1987,NA
1/05/1987,NA
1/06/1987,25.45277778
1/07/1987,NA
1/08/1987,24.35666667
1/09/1987,25.49
1/10/1987,NA
1/11/1987,NA
1/12/1987,26.91666667
1/01/1988,26.77605634
1/02/1988,NA
1/03/1988,NA
1/04/1988,NA
1/05/1988,NA
1/06/1988,25.33235294
1/07/1988,NA
1/08/1988,24.14693878
1/09/1988,25.53421053
1/10/1988,NA
1/11/1988,25.6826087
1/12/1988,26.7
1/01/1989,26.73409091
1/02/1989,NA
1/03/1989,NA
1/04/1989,26.35428571
1/05/1989,NA
1/06/1989,20
1/07/1989,23.4
1/08/1989,NA
1/09/1989,NA
1/10/1989,NA
1/11/1989,27.28571429
1/12/1989,NA
1/01/1990,NA
1/02/1990,25.98461538
1/03/1990,27.72222222
1/04/1990,NA
1/05/1990,25.44736842
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,26.03333333
1/03/1991,NA
1/04/1991,26.4
1/05/1991,28.45
1/06/1991,22.8
1/07/1991,NA
1/08/1991,24.3
1/09/1991,25.32222222
1/10/1991,25.05652174
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,NA
1/03/1992,27.23033708
1/04/1992,27.02873563
1/05/1992,26.55478261
1/06/1992,24.125
1/07/1992,22.67638889
1/08/1992,23.01142857
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,25.58
1/01/1993,NA
1/02/1993,27.23571429
1/03/1993,27.70743802
1/04/1993,NA
1/05/1993,NA
1/06/1993,24.90108696
1/07/1993,NA
1/08/1993,24.21818182
1/09/1993,26.556
1/10/1993,27.05306122
1/11/1993,NA
1/12/1993,NA
1/01/1994,27.89655172
1/02/1994,NA
1/03/1994,NA
1/04/1994,27.17652174
1/05/1994,NA
1/06/1994,25.2288
1/07/1994,23.68759124
1/08/1994,NA
1/09/1994,26.24761905
1/10/1994,27.10731707
1/11/1994,27.52857143
1/12/1994,26.83676471
1/01/1995,27.7147541
1/02/1995,27.31506849
1/03/1995,27.85675676
1/04/1995,27.69183673
1/05/1995,NA
1/06/1995,25.72247191
1/07/1995,NA
1/08/1995,25.01975309
1/09/1995,26.75903614
1/10/1995,26.94285714
1/11/1995,27.08461538
1/12/1995,27.76666667
1/01/1996,29
1/02/1996,32
1/03/1996,23.6
1/04/1996,NA
1/05/1996,29.2
1/06/1996,25.456
1/07/1996,24.81408451
1/08/1996,24.86883117
1/09/1996,NA
1/10/1996,26.62307692
1/11/1996,26.78533333
1/12/1996,26.6640625
1/01/1997,NA
1/02/1997,27.96513761
1/03/1997,27.43417722
1/04/1997,27.7254902
1/05/1997,26.90789474
1/06/1997,NA
1/07/1997,23.52
1/08/1997,24.725
1/09/1997,25.48
1/10/1997,33.1
1/11/1997,27.25
1/12/1997,28.01683168
1/01/1998,28.27211538
1/02/1998,29.25092593
1/03/1998,28.68527132
1/04/1998,NA
1/05/1998,28.48151261
1/06/1998,26.57966102
1/07/1998,NA
1/08/1998,25.42352941
1/09/1998,25.78118812
1/10/1998,26.64863014
1/11/1998,26.10833333
1/12/1998,26.43846154
1/01/1999,27.84705882
1/02/1999,26.61235955
1/03/1999,NA
1/04/1999,NA
1/05/1999,NA
1/06/1999,26.13225806
1/07/1999,25.07352941
1/08/1999,NA
1/09/1999,NA
1/10/1999,NA
1/11/1999,26.16875
1/12/1999,26.588
1/01/2000,NA
1/02/2000,NA
1/03/2000,27.63829787
1/04/2000,32
1/05/2000,NA
1/06/2000,NA
1/07/2000,24.25217391
1/08/2000,24.21944444
1/09/2000,25.92523364
1/10/2000,NA
1/11/2000,26.74819277
1/12/2000,25.88653846
1/01/2001,26.76
1/02/2001,27.82596154
1/03/2001,27.74776119
1/04/2001,28.05445545
1/05/2001,22.2
1/06/2001,NA
1/07/2001,24.32666667
1/08/2001,24.11942446
1/09/2001,24.72357724
1/10/2001,26.3745614
1/11/2001,26.17890625
1/12/2001,26.8453125
1/01/2002,27.19056604
1/02/2002,27.10819672
1/03/2002,NA
1/04/2002,27.92666667
1/05/2002,27.63
1/06/2002,25.64076433
1/07/2002,24.73846154
1/08/2002,NA
1/09/2002,26.01608392
1/10/2002,26.43037037
1/11/2002,NA
1/12/2002,27.33219178
1/01/2003,27.56230769
1/02/2003,NA
1/03/2003,26.80909091
1/04/2003,28.02638889
1/05/2003,NA
1/06/2003,NA
1/07/2003,25.40238095
1/08/2003,25.22323944
1/09/2003,26.16148649
1/10/2003,27.60397351
1/11/2003,NA
1/12/2003,27.126875
1/01/2004,28.04478528
1/02/2004,28.17848101
1/03/2004,28.34748201
1/04/2004,27.66474359
1/05/2004,26.35428571
1/06/2004,25.02352941
1/07/2004,24.33093525
1/08/2004,NA
1/09/2004,26.72111111
1/10/2004,27.15113636
1/11/2004,26.71578947
1/12/2004,NA
1/01/2005,27.8875
1/02/2005,28.04102564
1/03/2005,28.13265306
1/04/2005,28.19157895
1/05/2005,27.41754386
1/06/2005,25.173
1/07/2005,24.06875
1/08/2005,24.29459459
1/09/2005,25.85744681
1/10/2005,NA
1/11/2005,25.93684211
1/12/2005,NA
1/01/2006,NA
1/02/2006,27.73191489
1/03/2006,28.57578947
1/04/2006,26.66708861
1/05/2006,NA
1/06/2006,23.2
1/07/2006,NA
1/08/2006,NA
1/09/2006,NA
1/10/2006,NA
1/11/2006,NA
1/12/2006,NA
1/01/2007,28.82941176
1/02/2007,28.46666667
1/03/2007,NA
1/04/2007,28.39444444
1/05/2007,NA
1/06/2007,25
1/07/2007,NA
1/08/2007,26.17575758
1/09/2007,26.99098361
1/10/2007,27.11942446
1/11/2007,26.68613861
1/12/2007,NA
1/01/2008,NA
1/02/2008,NA
1/03/2008,NA
1/04/2008,24.8
1/05/2008,NA
1/06/2008,NA
1/07/2008,NA
1/08/2008,NA
1/09/2008,NA
1/10/2008,NA
1/11/2008,NA
1/12/2008,NA
1/01/2009,28.8
1/02/2009,NA
1/03/2009,NA
1/04/2009,NA
1/05/2009,NA
1/06/2009,NA
1/07/2009,NA
1/08/2009,NA
1/09/2009,NA
1/10/2009,NA
1/11/2009,29.4
1/12/2009,NA
1/01/2010,NA
1/02/2010,NA
1/03/2010,NA
1/04/2010,NA
1/05/2010,NA
1/06/2010,NA
1/07/2010,NA
1/08/2010,24.7728
1/09/2010,26.6447619
1/10/2010,27.0375
1/11/2010,NA
1/12/2010,27.92166667
1/01/2011,27.20744681
1/02/2011,NA
1/03/2011,28.42043011
1/04/2011,28.615625
1/05/2011,27.78898305
1/06/2011,25.5104
1/07/2011,NA
1/08/2011,24.60875912
1/09/2011,25.79324324
1/10/2011,26.78108108
1/11/2011,NA
1/12/2011,NA
1/01/2012,26.6611465
1/02/2012,26.36842105
1/03/2012,27.6969697
1/04/2012,27.82738095
1/05/2012,NA
1/06/2012,NA
1/07/2012,24.46907895
1/08/2012,24.80136054
1/09/2012,NA
1/10/2012,26.89251701
1/11/2012,NA
1/12/2012,27.30816327
1/01/2013,27.6
1/02/2013,27.99466667
1/03/2013,27.69562842
1/04/2013,28.11547619
1/05/2013,27.36329787
1/06/2013,25.52406417
1/07/2013,24.66476684
1/08/2013,24.59106145
1/09/2013,25.87105263
1/10/2013,26.57724868
1/11/2013,26.83179191
1/12/2013,26.86797753
1/01/2014,NA
1/02/2014,27.69452055
1/03/2014,27.43783784
1/04/2014,NA
1/05/2014,27.37177914
1/06/2014,25.71812081
1/07/2014,24.725
1/08/2014,24.93722628
1/09/2014,26.15982906
1/10/2014,27.85078125
1/11/2014,28.8076087
1/12/2014,27.53362832
1/01/2015,NA
1/02/2015,28.81616162
1/03/2015,28.747
1/04/2015,NA
1/05/2015,28.22719298
1/06/2015,NA
1/07/2015,25.08761062
1/08/2015,25.38777778
1/09/2015,26.26190476
1/10/2015,28.37765957
1/11/2015,NA
1/12/2015,NA
1/01/2016,29.11037736
1/02/2016,29.37368421
1/03/2016,29.34774775
1/04/2016,29.53551402
1/05/2016,NA
1/06/2016,26.38030303
1/07/2016,25.75702479
1/08/2016,25.61229508
1/09/2016,26.99152542
1/10/2016,28.08214286
1/11/2016,27.955
1/12/2016,29.1
