date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,29.525
1/04/1984,25.4
1/05/1984,29.4
1/06/1984,24.65
1/07/1984,23.85714286
1/08/1984,NA
1/09/1984,23.10909091
1/10/1984,23.7
1/11/1984,22.35333333
1/12/1984,23.12333333
1/01/1985,NA
1/02/1985,24.56666667
1/03/1985,25.56
1/04/1985,NA
1/05/1985,23.9125
1/06/1985,23.37142857
1/07/1985,22.94583333
1/08/1985,22.59230769
1/09/1985,NA
1/10/1985,NA
1/11/1985,NA
1/12/1985,NA
1/01/1986,28.66666667
1/02/1986,25.0725
1/03/1986,24.63823529
1/04/1986,26.3
1/05/1986,NA
1/06/1986,24.95151515
1/07/1986,NA
1/08/1986,NA
1/09/1986,24.40869565
1/10/1986,25.49166667
1/11/1986,24.635
1/12/1986,NA
1/01/1987,NA
1/02/1987,NA
1/03/1987,27.28627451
1/04/1987,NA
1/05/1987,NA
1/06/1987,NA
1/07/1987,NA
1/08/1987,NA
1/09/1987,25.69393939
1/10/1987,NA
1/11/1987,25.36842105
1/12/1987,25.61
1/01/1988,NA
1/02/1988,NA
1/03/1988,26.88115942
1/04/1988,NA
1/05/1988,NA
1/06/1988,25.34655172
1/07/1988,24.7547619
1/08/1988,25.32162162
1/09/1988,25.4212766
1/10/1988,24.49473684
1/11/1988,26.59183673
1/12/1988,25.86923077
1/01/1989,NA
1/02/1989,NA
1/03/1989,NA
1/04/1989,NA
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,24.353125
1/09/1989,NA
1/10/1989,26.6
1/11/1989,NA
1/12/1989,25.46923077
1/01/1990,26.36111111
1/02/1990,NA
1/03/1990,NA
1/04/1990,23.1
1/05/1990,25.46774194
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,NA
1/02/1991,NA
1/03/1991,NA
1/04/1991,24.64473684
1/05/1991,NA
1/06/1991,NA
1/07/1991,NA
1/08/1991,NA
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,27.66206897
1/03/1992,NA
1/04/1992,28.03333333
1/05/1992,24.32222222
1/06/1992,24.97222222
1/07/1992,24.33414634
1/08/1992,24.7
1/09/1992,NA
1/10/1992,NA
1/11/1992,NA
1/12/1992,25.06363636
1/01/1993,NA
1/02/1993,27.13043478
1/03/1993,NA
1/04/1993,27.05368421
1/05/1993,NA
1/06/1993,NA
1/07/1993,24.54393064
1/08/1993,NA
1/09/1993,NA
1/10/1993,NA
1/11/1993,NA
1/12/1993,25.26497175
1/01/1994,25.69408284
1/02/1994,NA
1/03/1994,NA
1/04/1994,26.69627329
1/05/1994,NA
1/06/1994,NA
1/07/1994,24.73116883
1/08/1994,23.97037037
1/09/1994,23.7972973
1/10/1994,24.17222222
1/11/1994,25.61612903
1/12/1994,26.40363636
1/01/1995,25.45555556
1/02/1995,25.60597015
1/03/1995,26.33648649
1/04/1995,26.85555556
1/05/1995,NA
1/06/1995,25.67571429
1/07/1995,25.45789474
1/08/1995,25.1880597
1/09/1995,NA
1/10/1995,NA
1/11/1995,27.83103448
1/12/1995,NA
1/01/1996,26.34375
1/02/1996,NA
1/03/1996,NA
1/04/1996,25.55
1/05/1996,25.1
1/06/1996,25.58358209
1/07/1996,24.7797619
1/08/1996,25.55147059
1/09/1996,24.52666667
1/10/1996,NA
1/11/1996,24.96111111
1/12/1996,24.84848485
1/01/1997,25.72
1/02/1997,25.91927711
1/03/1997,26.75522388
1/04/1997,26.11411765
1/05/1997,26.30461538
1/06/1997,NA
1/07/1997,NA
1/08/1997,NA
1/09/1997,NA
1/10/1997,NA
1/11/1997,NA
1/12/1997,NA
1/01/1998,27.5
1/02/1998,28.1972973
1/03/1998,27.525
1/04/1998,27.78039216
1/05/1998,27.25789474
1/06/1998,25.78823529
1/07/1998,25.30428571
1/08/1998,24.96071429
1/09/1998,NA
1/10/1998,NA
1/11/1998,NA
1/12/1998,25.49583333
1/01/1999,25.21666667
1/02/1999,25.68493151
1/03/1999,26.72435897
1/04/1999,NA
1/05/1999,25.936
1/06/1999,25.28488372
1/07/1999,24.64337349
1/08/1999,NA
1/09/1999,24.6530303
1/10/1999,24.80365854
1/11/1999,24.6969697
1/12/1999,NA
1/01/2000,25.48108108
1/02/2000,NA
1/03/2000,26.80666667
1/04/2000,27.1
1/05/2000,NA
1/06/2000,25.0442623
1/07/2000,24.55862069
1/08/2000,24.23333333
1/09/2000,24.34285714
1/10/2000,24.76634615
1/11/2000,24.81012658
1/12/2000,24.44615385
1/01/2001,23.94464286
1/02/2001,25.88387097
1/03/2001,NA
1/04/2001,25.62
1/05/2001,25.72708333
1/06/2001,24.6
1/07/2001,24.01477273
1/08/2001,24.52065217
1/09/2001,NA
1/10/2001,24.45339806
1/11/2001,NA
1/12/2001,25.23684211
1/01/2002,24.46111111
1/02/2002,26.72698413
1/03/2002,26.58736842
1/04/2002,25.35
1/05/2002,28
1/06/2002,NA
1/07/2002,NA
1/08/2002,24.975
1/09/2002,NA
1/10/2002,26.1
1/11/2002,NA
1/12/2002,26.75
1/01/2003,24.45
1/02/2003,NA
1/03/2003,31.9
1/04/2003,26.24246575
1/05/2003,26.24155844
1/06/2003,22.3
1/07/2003,27.5
1/08/2003,NA
1/09/2003,NA
1/10/2003,23.85
1/11/2003,21.2
1/12/2003,23.7
1/01/2004,NA
1/02/2004,21.7
1/03/2004,20.1
1/04/2004,NA
1/05/2004,26.2
1/06/2004,NA
1/07/2004,NA
1/08/2004,NA
1/09/2004,24.95
1/10/2004,NA
1/11/2004,NA
1/12/2004,NA
1/01/2005,NA
1/02/2005,NA
1/03/2005,24
1/04/2005,NA
1/05/2005,NA
1/06/2005,22.9
1/07/2005,NA
1/08/2005,NA
1/09/2005,NA
1/10/2005,NA
1/11/2005,22.5
1/12/2005,NA
1/01/2006,NA
1/02/2006,NA
1/03/2006,NA
1/04/2006,23.7
1/05/2006,NA
1/06/2006,24
1/07/2006,NA
1/08/2006,NA
1/09/2006,NA
1/10/2006,22.8
1/11/2006,NA
1/12/2006,NA
1/01/2007,NA
1/02/2007,NA
1/03/2007,24.60909091
1/04/2007,26.46710526
1/05/2007,26.43580247
1/06/2007,24.97882353
1/07/2007,24.79855072
1/08/2007,24.52571429
1/09/2007,24.63181818
1/10/2007,24.98023256
1/11/2007,24.91066667
1/12/2007,24.92957746
1/01/2008,24.97162162
1/02/2008,25.43291139
1/03/2008,25.66756757
1/04/2008,26.58688525
1/05/2008,26.52
1/06/2008,25.15744681
1/07/2008,24.40434783
1/08/2008,24.53375
1/09/2008,24.6675
1/10/2008,24.69655172
1/11/2008,25.62111111
1/12/2008,25.35
1/01/2009,25.57473684
1/02/2009,25.83978495
1/03/2009,27.22169312
1/04/2009,26.32916667
1/05/2009,26.10207254
1/06/2009,25.17607362
1/07/2009,24.91058824
1/08/2009,25.20833333
1/09/2009,25.43628319
1/10/2009,25.19734513
1/11/2009,25.58782609
1/12/2009,25.8957265
1/01/2010,26.35233645
1/02/2010,27.01649485
1/03/2010,27.15875
1/04/2010,27.66629213
1/05/2010,26.63214286
1/06/2010,25.55849057
1/07/2010,25.19357798
1/08/2010,25.44285714
1/09/2010,25.82
1/10/2010,25.44104478
1/11/2010,25.10277778
1/12/2010,25.6195122
1/01/2011,23.80367647
1/02/2011,24.70892857
1/03/2011,24.96065574
1/04/2011,25.47169811
1/05/2011,25.168
1/06/2011,25.11603053
1/07/2011,25.12460317
1/08/2011,24.4
1/09/2011,24.38943089
1/10/2011,24.40223881
1/11/2011,24.56724138
1/12/2011,25.62115385
1/01/2012,25.76034483
1/02/2012,26.36982759
1/03/2012,25.72242991
1/04/2012,26.981
1/05/2012,25.9109375
1/06/2012,25.07603306
1/07/2012,25.12063492
1/08/2012,25.12068966
1/09/2012,25.22605042
1/10/2012,25.53478261
1/11/2012,25.59371429
1/12/2012,25.42786885
1/01/2013,26.87421384
1/02/2013,27.16097561
1/03/2013,26.41139241
1/04/2013,26.59723757
1/05/2013,26.232
1/06/2013,26.0125
1/07/2013,24.65674157
1/08/2013,25.12292683
1/09/2013,25.24715026
1/10/2013,25.11204819
1/11/2013,25.01325967
1/12/2013,25.27679558
1/01/2014,26.72030457
1/02/2014,27.19932886
1/03/2014,26.94742857
1/04/2014,26.27596899
1/05/2014,25.75598086
1/06/2014,25.69491525
1/07/2014,25.73023256
1/08/2014,25.2688172
1/09/2014,24.93554502
1/10/2014,25.68695652
1/11/2014,25.74918033
1/12/2014,25.81868687
1/01/2015,25.25233161
1/02/2015,26.49090909
1/03/2015,26.31976744
1/04/2015,26.75463415
1/05/2015,26.97268293
1/06/2015,25.94143646
1/07/2015,25.94775281
1/08/2015,25.58767773
1/09/2015,25.27671958
1/10/2015,25.86582278
1/11/2015,25.57892157
1/12/2015,25.37644231
1/01/2016,26.67397959
1/02/2016,27.94422111
1/03/2016,27.77251462
1/04/2016,27.50918367
1/05/2016,26.64851485
1/06/2016,25.87727273
1/07/2016,25.61139896
1/08/2016,25.41933962
1/09/2016,25.32475728
1/10/2016,26.10533981
1/11/2016,26.00681818
1/12/2016,26.2252809
