date,temp
1/01/1980,NA
1/02/1980,NA
1/03/1980,NA
1/04/1980,NA
1/05/1980,NA
1/06/1980,NA
1/07/1980,NA
1/08/1980,NA
1/09/1980,NA
1/10/1980,NA
1/11/1980,NA
1/12/1980,NA
1/01/1981,NA
1/02/1981,NA
1/03/1981,NA
1/04/1981,NA
1/05/1981,NA
1/06/1981,NA
1/07/1981,NA
1/08/1981,NA
1/09/1981,NA
1/10/1981,NA
1/11/1981,NA
1/12/1981,NA
1/01/1982,NA
1/02/1982,NA
1/03/1982,NA
1/04/1982,NA
1/05/1982,NA
1/06/1982,NA
1/07/1982,NA
1/08/1982,NA
1/09/1982,NA
1/10/1982,NA
1/11/1982,NA
1/12/1982,NA
1/01/1983,NA
1/02/1983,NA
1/03/1983,NA
1/04/1983,NA
1/05/1983,NA
1/06/1983,NA
1/07/1983,NA
1/08/1983,NA
1/09/1983,NA
1/10/1983,NA
1/11/1983,NA
1/12/1983,NA
1/01/1984,NA
1/02/1984,NA
1/03/1984,NA
1/04/1984,NA
1/05/1984,26.09607843
1/06/1984,NA
1/07/1984,NA
1/08/1984,NA
1/09/1984,25.10714286
1/10/1984,NA
1/11/1984,25.56769231
1/12/1984,NA
1/01/1985,25.4859375
1/02/1985,25.45238095
1/03/1985,26.76382979
1/04/1985,26.6125
1/05/1985,25.77727273
1/06/1985,23.73684211
1/07/1985,NA
1/08/1985,23.24
1/09/1985,NA
1/10/1985,25
1/11/1985,25.3
1/12/1985,25.4
1/01/1986,NA
1/02/1986,NA
1/03/1986,25.87761194
1/04/1986,NA
1/05/1986,NA
1/06/1986,NA
1/07/1986,23.25846154
1/08/1986,23.4484375
1/09/1986,23.80961538
1/10/1986,25.00526316
1/11/1986,25.075
1/12/1986,NA
1/01/1987,26.52459016
1/02/1987,25.60517241
1/03/1987,NA
1/04/1987,NA
1/05/1987,NA
1/06/1987,25.04520548
1/07/1987,23.34242424
1/08/1987,NA
1/09/1987,24.91428571
1/10/1987,NA
1/11/1987,NA
1/12/1987,26.28035714
1/01/1988,NA
1/02/1988,26.76888889
1/03/1988,26.69814815
1/04/1988,NA
1/05/1988,NA
1/06/1988,NA
1/07/1988,22.73571429
1/08/1988,NA
1/09/1988,24.08636364
1/10/1988,25.57735849
1/11/1988,25.63571429
1/12/1988,23.93333333
1/01/1989,NA
1/02/1989,NA
1/03/1989,NA
1/04/1989,26.08666667
1/05/1989,NA
1/06/1989,NA
1/07/1989,NA
1/08/1989,23.01578947
1/09/1989,23.95
1/10/1989,NA
1/11/1989,26.84782609
1/12/1989,NA
1/01/1990,26.41153846
1/02/1990,26.11333333
1/03/1990,NA
1/04/1990,27.02467532
1/05/1990,25.75632184
1/06/1990,NA
1/07/1990,NA
1/08/1990,NA
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,25.69574468
1/01/1991,NA
1/02/1991,24.975
1/03/1991,NA
1/04/1991,22.9
1/05/1991,27.45
1/06/1991,21
1/07/1991,NA
1/08/1991,24.55
1/09/1991,NA
1/10/1991,NA
1/11/1991,NA
1/12/1991,NA
1/01/1992,NA
1/02/1992,NA
1/03/1992,NA
1/04/1992,26.81067961
1/05/1992,NA
1/06/1992,NA
1/07/1992,22.08316832
1/08/1992,NA
1/09/1992,23.98469388
1/10/1992,NA
1/11/1992,NA
1/12/1992,NA
1/01/1993,NA
1/02/1993,26.73030303
1/03/1993,NA
1/04/1993,26.88559322
1/05/1993,NA
1/06/1993,24.19528302
1/07/1993,23.85606061
1/08/1993,23.85
1/09/1993,25.63108108
1/10/1993,26.6538961
1/11/1993,NA
1/12/1993,NA
1/01/1994,26.7125
1/02/1994,26.90769231
1/03/1994,26.93391813
1/04/1994,NA
1/05/1994,NA
1/06/1994,NA
1/07/1994,23.10814815
1/08/1994,23.92444444
1/09/1994,25.11590909
1/10/1994,25.73428571
1/11/1994,NA
1/12/1994,25.56621622
1/01/1995,NA
1/02/1995,26.34659091
1/03/1995,26.04173913
1/04/1995,NA
1/05/1995,NA
1/06/1995,NA
1/07/1995,NA
1/08/1995,24.02713178
1/09/1995,25.32307692
1/10/1995,NA
1/11/1995,NA
1/12/1995,27.76
1/01/1996,28.3
1/02/1996,32.5
1/03/1996,24.5
1/04/1996,NA
1/05/1996,NA
1/06/1996,NA
1/07/1996,NA
1/08/1996,NA
1/09/1996,NA
1/10/1996,26.04310345
1/11/1996,25.29240506
1/12/1996,25.96056338
1/01/1997,26.38
1/02/1997,27.26428571
1/03/1997,26.925
1/04/1997,26.31157895
1/05/1997,25.50958904
1/06/1997,24.03
1/07/1997,21.1
1/08/1997,23.53333333
1/09/1997,NA
1/10/1997,29.25
1/11/1997,26.21944444
1/12/1997,26.8375
1/01/1998,26.76823529
1/02/1998,28.40490196
1/03/1998,27.20714286
1/04/1998,28.03982301
1/05/1998,NA
1/06/1998,25.88646617
1/07/1998,24.39120879
1/08/1998,24.26574074
1/09/1998,NA
1/10/1998,NA
1/11/1998,NA
1/12/1998,25.81007752
1/01/1999,26.42413793
1/02/1999,NA
1/03/1999,NA
1/04/1999,NA
1/05/1999,26.5575
1/06/1999,25.49139073
1/07/1999,NA
1/08/1999,24.6412844
1/09/1999,NA
1/10/1999,25.75102041
1/11/1999,25.8987013
1/12/1999,25.45777778
1/01/2000,NA
1/02/2000,NA
1/03/2000,NA
1/04/2000,NA
1/05/2000,NA
1/06/2000,24.71205674
1/07/2000,23.848
1/08/2000,23.65090909
1/09/2000,NA
1/10/2000,NA
1/11/2000,25.88769231
1/12/2000,NA
1/01/2001,25.75151515
1/02/2001,NA
1/03/2001,26.42048193
1/04/2001,26.51555556
1/05/2001,26.68670886
1/06/2001,24.94782609
1/07/2001,NA
1/08/2001,23.58066667
1/09/2001,23.56753247
1/10/2001,25.26321839
1/11/2001,NA
1/12/2001,25.84268293
1/01/2002,NA
1/02/2002,NA
1/03/2002,26.32891566
1/04/2002,NA
1/05/2002,NA
1/06/2002,NA
1/07/2002,24.41343284
1/08/2002,24.148
1/09/2002,25.49583333
1/10/2002,26.18677686
1/11/2002,NA
1/12/2002,NA
1/01/2003,NA
1/02/2003,NA
1/03/2003,26.75692308
1/04/2003,26.6779661
1/05/2003,26.50402299
1/06/2003,NA
1/07/2003,24.49384615
1/08/2003,24.43097345
1/09/2003,NA
1/10/2003,27.16571429
1/11/2003,26.9
1/12/2003,26.47790698
1/01/2004,NA
1/02/2004,26.76666667
1/03/2004,27.85686275
1/04/2004,24.98571429
1/05/2004,25.7
1/06/2004,NA
1/07/2004,NA
1/08/2004,NA
1/09/2004,NA
1/10/2004,NA
1/11/2004,NA
1/12/2004,NA
1/01/2005,NA
1/02/2005,37.3
1/03/2005,NA
1/04/2005,NA
1/05/2005,27.33148148
1/06/2005,25.35373134
1/07/2005,23.96621622
1/08/2005,24.35
1/09/2005,25.61578947
1/10/2005,26.58
1/11/2005,NA
1/12/2005,27.25810811
1/01/2006,27.25607477
1/02/2006,27.2030303
1/03/2006,NA
1/04/2006,27.529
1/05/2006,27.5223301
1/06/2006,NA
1/07/2006,24.86764706
1/08/2006,NA
1/09/2006,25.76725664
1/10/2006,NA
1/11/2006,NA
1/12/2006,27.00232558
1/01/2007,28.25754717
1/02/2007,27.47478261
1/03/2007,27.94508197
1/04/2007,28.41012658
1/05/2007,NA
1/06/2007,NA
1/07/2007,24.84504505
1/08/2007,25.09333333
1/09/2007,NA
1/10/2007,26.5971223
1/11/2007,26.48928571
1/12/2007,26.64461538
1/01/2008,NA
1/02/2008,NA
1/03/2008,27.52911392
1/04/2008,27.416
1/05/2008,NA
1/06/2008,25.2
1/07/2008,NA
1/08/2008,NA
1/09/2008,NA
1/10/2008,27.83265306
1/11/2008,28.29375
1/12/2008,NA
1/01/2009,NA
1/02/2009,NA
1/03/2009,NA
1/04/2009,NA
1/05/2009,NA
1/06/2009,NA
1/07/2009,NA
1/08/2009,NA
1/09/2009,NA
1/10/2009,NA
1/11/2009,NA
1/12/2009,NA
1/01/2010,NA
1/02/2010,32.12592593
1/03/2010,30.52083333
1/04/2010,NA
1/05/2010,NA
1/06/2010,NA
1/07/2010,26.30285714
1/08/2010,27.48571429
1/09/2010,28.44893617
1/10/2010,29.18571429
1/11/2010,29.01578947
1/12/2010,28.78545455
1/01/2011,28.63870968
1/02/2011,NA
1/03/2011,30.42209302
1/04/2011,NA
1/05/2011,29.32957746
1/06/2011,27.4097561
1/07/2011,26.4202381
1/08/2011,26.40983607
1/09/2011,28.13055556
1/10/2011,28.72692308
1/11/2011,28.49866667
1/12/2011,NA
1/01/2012,29.27534247
1/02/2012,28.4421875
1/03/2012,29.84457831
1/04/2012,29.76184211
1/05/2012,29.30561798
1/06/2012,27.56511628
1/07/2012,26.36111111
1/08/2012,26.52555556
1/09/2012,27.99146341
1/10/2012,28.71724138
1/11/2012,29.2962963
1/12/2012,NA
1/01/2013,30.17804878
1/02/2013,30.58421053
1/03/2013,30.28505747
1/04/2013,30.0474359
1/05/2013,30.02613636
1/06/2013,27.12823529
1/07/2013,26.51851852
1/08/2013,26.61547619
1/09/2013,27.53134328
1/10/2013,28.76976744
1/11/2013,29.04268293
1/12/2013,28.94111111
1/01/2014,29.61818182
1/02/2014,30.12564103
1/03/2014,30.14318182
1/04/2014,30.42222222
1/05/2014,29.51764706
1/06/2014,27.79066667
1/07/2014,25.63913043
1/08/2014,NA
1/09/2014,27.39090909
1/10/2014,29.26555556
1/11/2014,28.56705882
1/12/2014,28.62988506
1/01/2015,29.10786517
1/02/2015,29.3746988
1/03/2015,30.41744186
1/04/2015,30.61875
1/05/2015,30.04069767
1/06/2015,26.8452381
1/07/2015,26.15222222
1/08/2015,25.92934783
1/09/2015,27.39518072
1/10/2015,29.40273973
1/11/2015,29.1255814
1/12/2015,28.84891304
1/01/2016,30.1494382
1/02/2016,29.90843373
1/03/2016,30.09333333
1/04/2016,30.80568182
1/05/2016,29.70568182
1/06/2016,NA
1/07/2016,26.77666667
1/08/2016,27.02954545
1/09/2016,28.10238095
1/10/2016,30.01494253
1/11/2016,29.24189189
1/12/2016,29.66923077
