DATE,TAVG,NAME
196101,NA,benjamin constant
196102,25.8,benjamin constant
196103,25.6,benjamin constant
196104,NA,benjamin constant
196105,25.4,benjamin constant
196106,24.3,benjamin constant
196107,25.4,benjamin constant
196108,NA,benjamin constant
196109,NA,benjamin constant
196110,NA,benjamin constant
196111,NA,benjamin constant
196112,NA,benjamin constant
196201,NA,benjamin constant
196202,NA,benjamin constant
196203,NA,benjamin constant
196204,NA,benjamin constant
196205,22.9,benjamin constant
196206,NA,benjamin constant
196207,29.1,benjamin constant
196208,30.6,benjamin constant
196209,30.6,benjamin constant
196210,30.2,benjamin constant
196211,NA,benjamin constant
196212,NA,benjamin constant
196301,NA,benjamin constant
196302,30.3,benjamin constant
196303,NA,benjamin constant
196304,NA,benjamin constant
196305,NA,benjamin constant
196306,29.5,benjamin constant
196307,29.9,benjamin constant
196308,30.5,benjamin constant
196309,NA,benjamin constant
196310,NA,benjamin constant
196311,NA,benjamin constant
196312,NA,benjamin constant
196401,NA,benjamin constant
196402,30.4,benjamin constant
196403,29.9,benjamin constant
196404,NA,benjamin constant
196405,NA,benjamin constant
196406,NA,benjamin constant
196407,NA,benjamin constant
196408,NA,benjamin constant
196409,NA,benjamin constant
196410,NA,benjamin constant
196411,NA,benjamin constant
196412,NA,benjamin constant
196501,NA,benjamin constant
196502,NA,benjamin constant
196503,NA,benjamin constant
196504,NA,benjamin constant
196505,NA,benjamin constant
196506,NA,benjamin constant
196507,29.4,benjamin constant
196508,29.5,benjamin constant
196509,NA,benjamin constant
196510,NA,benjamin constant
196511,NA,benjamin constant
196512,NA,benjamin constant
196601,NA,benjamin constant
196602,30.2,benjamin constant
196603,NA,benjamin constant
196604,NA,benjamin constant
196605,NA,benjamin constant
196606,NA,benjamin constant
196607,NA,benjamin constant
196608,NA,benjamin constant
196609,NA,benjamin constant
196610,NA,benjamin constant
196611,NA,benjamin constant
196612,NA,benjamin constant
196701,NA,benjamin constant
196702,NA,benjamin constant
196703,NA,benjamin constant
196704,NA,benjamin constant
196705,NA,benjamin constant
196706,NA,benjamin constant
196707,28.2,benjamin constant
196708,28.4,benjamin constant
196709,28.9,benjamin constant
196710,24.5,benjamin constant
196711,24.4,benjamin constant
196712,24.9,benjamin constant
196801,28.7,benjamin constant
196802,29.1,benjamin constant
196803,28.3,benjamin constant
196804,28.2,benjamin constant
196805,28.6,benjamin constant
196806,18.6,benjamin constant
196807,24.2,benjamin constant
196808,19.7,benjamin constant
196809,24.8,benjamin constant
196810,19.9,benjamin constant
196811,24.9,benjamin constant
196812,25.6,benjamin constant
196901,24.7,benjamin constant
196902,23.5,benjamin constant
196903,25.2,benjamin constant
196904,25.4,benjamin constant
196905,25.2,benjamin constant
196906,24.6,benjamin constant
196907,26.6,benjamin constant
196908,24.9,benjamin constant
196909,25.3,benjamin constant
196910,24.8,benjamin constant
196911,NA,benjamin constant
196912,24.2,benjamin constant
197001,25.2,benjamin constant
197002,25.1,benjamin constant
197003,25.2,benjamin constant
197004,25.2,benjamin constant
197005,24.9,benjamin constant
197006,NA,benjamin constant
197007,NA,benjamin constant
197008,NA,benjamin constant
197009,NA,benjamin constant
197010,NA,benjamin constant
197011,NA,benjamin constant
197012,NA,benjamin constant
197101,NA,benjamin constant
197102,NA,benjamin constant
