DATE,TAVG,NAME
197801,NA,caracarai
197802,NA,caracarai
197803,NA,caracarai
197804,NA,caracarai
197805,NA,caracarai
197806,NA,caracarai
197807,NA,caracarai
197808,NA,caracarai
197809,NA,caracarai
197810,27.8,caracarai
197811,28,caracarai
197812,26.9,caracarai
197901,NA,caracarai
197902,NA,caracarai
197903,NA,caracarai
197904,NA,caracarai
197905,NA,caracarai
197906,NA,caracarai
197907,NA,caracarai
197908,NA,caracarai
197909,NA,caracarai
197910,NA,caracarai
197911,28.1,caracarai
197912,27.1,caracarai
198001,NA,caracarai
198002,NA,caracarai
198003,NA,caracarai
198004,NA,caracarai
198005,NA,caracarai
198006,NA,caracarai
198007,26.4,caracarai
198008,NA,caracarai
198009,27.7,caracarai
198010,27.6,caracarai
198011,27.7,caracarai
198012,27.2,caracarai
198101,NA,caracarai
198102,27.1,caracarai
198103,27.3,caracarai
198104,NA,caracarai
198105,NA,caracarai
198106,27,caracarai
198107,25.8,caracarai
198108,26.6,caracarai
198109,25.6,caracarai
198110,NA,caracarai
198111,28.2,caracarai
198112,27.3,caracarai
198201,26.4,caracarai
198202,27.1,caracarai
198203,27.4,caracarai
198204,27,caracarai
198205,26.2,caracarai
198206,25.7,caracarai
198207,NA,caracarai
198208,NA,caracarai
198209,27.2,caracarai
198210,27.3,caracarai
198211,27.3,caracarai
198212,27.4,caracarai
198301,27.2,caracarai
198302,28.4,caracarai
198303,NA,caracarai
198304,NA,caracarai
198305,NA,caracarai
198306,NA,caracarai
198307,NA,caracarai
198308,NA,caracarai
198309,NA,caracarai
198310,NA,caracarai
198311,NA,caracarai
198312,27.1,caracarai
198401,NA,caracarai
198402,NA,caracarai
198403,NA,caracarai
198404,27.9,caracarai
198405,26.4,caracarai
198406,25.5,caracarai
198407,25.8,caracarai
198408,26,caracarai
198409,26.5,caracarai
198410,27.1,caracarai
198411,26.8,caracarai
198412,27.2,caracarai
198501,NA,caracarai
198502,NA,caracarai
198503,NA,caracarai
198504,NA,caracarai
198505,NA,caracarai
198506,NA,caracarai
198507,NA,caracarai
198508,25.7,caracarai
198509,26.5,caracarai
198510,27.2,caracarai
198511,26.7,caracarai
198512,25.9,caracarai
198601,25.9,caracarai
198602,25.9,caracarai
198603,25.9,caracarai
198604,NA,caracarai
198605,25.8,caracarai
198606,25.4,caracarai
198607,24.8,caracarai
198608,26.1,caracarai
198609,26,caracarai
198610,26.4,caracarai
198611,25.8,caracarai
198612,25.9,caracarai
198701,25.4,caracarai
198702,26,caracarai
198703,26.5,caracarai
198704,26.4,caracarai
198705,25.4,caracarai
198706,25.4,caracarai
198707,25.5,caracarai
198708,26.1,caracarai
198709,26.6,caracarai
198710,27.3,caracarai
198711,26.9,caracarai
198712,27.3,caracarai
198801,26.4,caracarai
198802,26.6,caracarai
198803,27.6,caracarai
198804,28.3,caracarai
198805,25.8,caracarai
198806,24.3,caracarai
198807,24.1,caracarai
198808,25.1,caracarai
198809,26,caracarai
198810,26.6,caracarai
198811,26,caracarai
198812,25.1,caracarai
198901,24.9,caracarai
198902,25,caracarai
198903,25,caracarai
198904,NA,caracarai
198905,24.3,caracarai
198906,24.5,caracarai
198907,NA,caracarai
198908,NA,caracarai
198909,NA,caracarai
198910,NA,caracarai
198911,NA,caracarai
198912,NA,caracarai
199001,NA,caracarai
199002,NA,caracarai
199003,NA,caracarai
199004,NA,caracarai
199005,NA,caracarai
199006,NA,caracarai
199007,NA,caracarai
199008,NA,caracarai
199009,NA,caracarai
199010,NA,caracarai
199011,NA,caracarai
199012,NA,caracarai
199101,NA,caracarai
199102,NA,caracarai
199103,NA,caracarai
199104,NA,caracarai
199105,NA,caracarai
199106,NA,caracarai
199107,NA,caracarai
199108,NA,caracarai
199109,NA,caracarai
199110,NA,caracarai
199111,NA,caracarai
199112,NA,caracarai
199201,NA,caracarai
199202,NA,caracarai
199203,NA,caracarai
199204,NA,caracarai
199205,NA,caracarai
199206,NA,caracarai
199207,NA,caracarai
199208,NA,caracarai
199209,NA,caracarai
199210,NA,caracarai
199211,NA,caracarai
199212,NA,caracarai
199301,NA,caracarai
199302,25,caracarai
199303,24.8,caracarai
199304,NA,caracarai
199305,NA,caracarai
199306,NA,caracarai
199307,NA,caracarai
199308,NA,caracarai
199309,NA,caracarai
199310,NA,caracarai
199311,NA,caracarai
199312,NA,caracarai
199401,25,caracarai
199402,NA,caracarai
199403,25.1,caracarai
199404,25.1,caracarai
199405,24.1,caracarai
199406,NA,caracarai
199407,NA,caracarai
199408,NA,caracarai
199409,NA,caracarai
199410,NA,caracarai
199411,NA,caracarai
199412,NA,caracarai
199501,25.8,caracarai
199502,28.1,caracarai
199503,28.3,caracarai
199504,28.5,caracarai
199505,27,caracarai
199506,26.2,caracarai
199507,NA,caracarai
199508,27.2,caracarai
199509,27.8,caracarai
199510,NA,caracarai
199511,NA,caracarai
199512,NA,caracarai
199601,26.3,caracarai
199602,26.6,caracarai
199603,26.9,caracarai
199604,27,caracarai
199605,25.9,caracarai
199606,25.3,caracarai
199607,25.2,caracarai
199608,26,caracarai
199609,27.1,caracarai
199610,27.5,caracarai
199611,27,caracarai
199612,26.8,caracarai
199701,26.7,caracarai
199702,25.5,caracarai
199703,26.4,caracarai
199704,26.6,caracarai
199705,25.4,caracarai
199706,26.2,caracarai
199707,25,caracarai
199708,26.5,caracarai
199709,27.7,caracarai
199710,28.9,caracarai
199711,28.3,caracarai
199712,27.1,caracarai
199801,28.2,caracarai
199802,28.4,caracarai
199803,29.2,caracarai
199804,27.3,caracarai
199805,26.5,caracarai
199806,26.2,caracarai
199807,NA,caracarai
199808,NA,caracarai
199809,NA,caracarai
199810,NA,caracarai
199811,NA,caracarai
199812,NA,caracarai
199901,NA,caracarai
199902,NA,caracarai
199903,27.4,caracarai
199904,26.9,caracarai
199905,27.1,caracarai
199906,NA,caracarai
199907,26,caracarai
199908,26.8,caracarai
199909,28.1,caracarai
199910,27.7,caracarai
199911,28.1,caracarai
199912,27.9,caracarai
200001,26.9,caracarai
200002,26.6,caracarai
200003,26.7,caracarai
200004,NA,caracarai
200005,27.2,caracarai
200006,27.4,caracarai
200007,26.7,caracarai
200008,28,caracarai
200009,28.6,caracarai
200010,29.1,caracarai
200011,29.1,caracarai
200012,27.9,caracarai
200101,27,caracarai
200102,27.8,caracarai
200103,28.3,caracarai
200104,28.2,caracarai
200105,27,caracarai
200106,25.6,caracarai
200107,26.8,caracarai
200108,27.5,caracarai
200109,28.6,caracarai
200110,29.8,caracarai
200111,29.9,caracarai
200112,29.1,caracarai
200201,28.8,caracarai
