DATE,TAVG,NAME
196101,26.6,Iauarete
196102,26.7,Iauarete
196103,27,Iauarete
196104,26.4,Iauarete
196105,26.3,Iauarete
196106,24.8,Iauarete
196107,25.1,Iauarete
196108,25.9,Iauarete
196109,26.2,Iauarete
196110,26.1,Iauarete
196111,25.9,Iauarete
196112,25.7,Iauarete
196201,26.2,Iauarete
196202,26.3,Iauarete
196203,26.4,Iauarete
196204,26.3,Iauarete
196205,25.6,Iauarete
196206,24.9,Iauarete
196207,24.7,Iauarete
196208,25.6,Iauarete
196209,26.7,Iauarete
196210,26.6,Iauarete
196211,26.6,Iauarete
196212,26.9,Iauarete
196301,26.7,Iauarete
196302,26.4,Iauarete
196303,26.3,Iauarete
196304,26.2,Iauarete
196305,25.6,Iauarete
196306,24.9,Iauarete
196307,25.1,Iauarete
196308,26.1,Iauarete
196309,26.6,Iauarete
196310,27,Iauarete
196311,26.1,Iauarete
196312,26.4,Iauarete
196401,27.2,Iauarete
196402,27.3,Iauarete
196403,27.2,Iauarete
196404,26.2,Iauarete
196405,25.9,Iauarete
196406,NA,Iauarete
196407,NA,Iauarete
196408,NA,Iauarete
196409,NA,Iauarete
196410,NA,Iauarete
196411,NA,Iauarete
196412,NA,Iauarete
196501,NA,Iauarete
196502,NA,Iauarete
196503,NA,Iauarete
196504,NA,Iauarete
196505,NA,Iauarete
196506,NA,Iauarete
196507,NA,Iauarete
196508,NA,Iauarete
196509,NA,Iauarete
196510,NA,Iauarete
196511,NA,Iauarete
196512,NA,Iauarete
196601,NA,Iauarete
196602,NA,Iauarete
196603,NA,Iauarete
196604,26.3,Iauarete
196605,25.9,Iauarete
196606,25.5,Iauarete
196607,25,Iauarete
196608,25.6,Iauarete
196609,25.7,Iauarete
196610,26.3,Iauarete
196611,26.7,Iauarete
196612,25.9,Iauarete
196701,25.7,Iauarete
196702,25.9,Iauarete
196703,26.3,Iauarete
196704,NA,Iauarete
196705,NA,Iauarete
196706,NA,Iauarete
196707,NA,Iauarete
196708,NA,Iauarete
196709,NA,Iauarete
196710,NA,Iauarete
196711,NA,Iauarete
196712,NA,Iauarete
196801,NA,Iauarete
196802,NA,Iauarete
196803,NA,Iauarete
196804,NA,Iauarete
196805,NA,Iauarete
196806,NA,Iauarete
196807,NA,Iauarete
196808,NA,Iauarete
196809,NA,Iauarete
196810,NA,Iauarete
196811,NA,Iauarete
196812,NA,Iauarete
196901,NA,Iauarete
196902,NA,Iauarete
196903,NA,Iauarete
196904,NA,Iauarete
196905,NA,Iauarete
196906,NA,Iauarete
196907,25.6,Iauarete
196908,26.8,Iauarete
196909,26.9,Iauarete
196910,26.8,Iauarete
196911,27,Iauarete
196912,27.5,Iauarete
197001,27.1,Iauarete
197002,27.2,Iauarete
197003,27.2,Iauarete
197004,26.8,Iauarete
197005,27.2,Iauarete
197006,26.6,Iauarete
197007,25.9,Iauarete
197008,26,Iauarete
197009,26.5,Iauarete
197010,27.1,Iauarete
197011,27.1,Iauarete
197012,26.9,Iauarete
197101,25.7,Iauarete
197102,26.1,Iauarete
197103,26.5,Iauarete
197104,26.7,Iauarete
197105,26.3,Iauarete
197106,26.6,Iauarete
197107,25.9,Iauarete
197108,26.2,Iauarete
197109,26.4,Iauarete
197110,26.6,Iauarete
197111,26.7,Iauarete
197112,26.3,Iauarete
197201,25.9,Iauarete
197202,26.7,Iauarete
197203,26.5,Iauarete
197204,26.5,Iauarete
197205,26.4,Iauarete
197206,26.1,Iauarete
197207,26.1,Iauarete
197208,26.3,Iauarete
197209,26.3,Iauarete
197210,26.7,Iauarete
197211,26,Iauarete
197212,26.5,Iauarete
197301,26.5,Iauarete
197302,27.1,Iauarete
197303,26.6,Iauarete
197304,27.5,Iauarete
197305,26.4,Iauarete
197306,26.7,Iauarete
197307,26,Iauarete
197308,26.4,Iauarete
197309,26.6,Iauarete
197310,27,Iauarete
197311,26.5,Iauarete
197312,26.5,Iauarete
197401,26.7,Iauarete
197402,26.8,Iauarete
197403,27.3,Iauarete
197404,26.6,Iauarete
197405,26.4,Iauarete
197406,25.8,Iauarete
197407,25.1,Iauarete
197408,26.1,Iauarete
197409,26.2,Iauarete
197410,26.5,Iauarete
197411,26.5,Iauarete
197412,26.3,Iauarete
197501,26.1,Iauarete
197502,26.2,Iauarete
197503,26.5,Iauarete
197504,26.2,Iauarete
197505,26.2,Iauarete
197506,26,Iauarete
197507,25.2,Iauarete
197508,26.2,Iauarete
197509,26.6,Iauarete
197510,26.1,Iauarete
197511,26.2,Iauarete
197512,26.3,Iauarete
197601,26.1,Iauarete
197602,26.6,Iauarete
197603,26.2,Iauarete
197604,26.3,Iauarete
197605,26,Iauarete
197606,26,Iauarete
197607,25.8,Iauarete
197608,26.5,Iauarete
197609,26.8,Iauarete
197610,26.5,Iauarete
197611,26.8,Iauarete
197612,26.4,Iauarete
197701,27,Iauarete
197702,26.8,Iauarete
197703,26.5,Iauarete
197704,NA,Iauarete
197705,25.7,Iauarete
197706,25.2,Iauarete
197707,25.9,Iauarete
197708,26.3,Iauarete
197709,26.6,Iauarete
197710,26.5,Iauarete
197711,26.6,Iauarete
197712,26.3,Iauarete
197801,26.8,Iauarete
197802,26.9,Iauarete
197803,26.4,Iauarete
197804,26.1,Iauarete
197805,25.6,Iauarete
197806,25.4,Iauarete
197807,25.7,Iauarete
197808,25.4,Iauarete
197809,26.1,Iauarete
197810,26.4,Iauarete
197811,26.4,Iauarete
197812,26.2,Iauarete
197901,26.8,Iauarete
197902,26.7,Iauarete
197903,26.1,Iauarete
197904,25.7,Iauarete
197905,26.4,Iauarete
197906,25.1,Iauarete
197907,25.4,Iauarete
197908,26.1,Iauarete
197909,26.2,Iauarete
197910,26.4,Iauarete
197911,26,Iauarete
197912,26.4,Iauarete
198001,26.5,Iauarete
198002,27.2,Iauarete
198003,26.4,Iauarete
198004,26.6,Iauarete
198005,26.4,Iauarete
198006,26,Iauarete
198007,25.4,Iauarete
198008,26.2,Iauarete
198009,26.4,Iauarete
198010,26.8,Iauarete
198011,26.8,Iauarete
198012,27.1,Iauarete
198101,26.9,Iauarete
198102,25.7,Iauarete
198103,27,Iauarete
198104,26.9,Iauarete
198105,26.4,Iauarete
198106,26.5,Iauarete
198107,26.1,Iauarete
198108,26.4,Iauarete
198109,26.7,Iauarete
198110,27.1,Iauarete
198111,26.8,Iauarete
198112,NA,Iauarete
198201,NA,Iauarete
198202,NA,Iauarete
198203,NA,Iauarete
198204,NA,Iauarete
198205,NA,Iauarete
198206,NA,Iauarete
198207,NA,Iauarete
198208,NA,Iauarete
198209,27.4,Iauarete
198210,26.7,Iauarete
198211,26.7,Iauarete
198212,26.7,Iauarete
198301,27.5,Iauarete
198302,26.9,Iauarete
198303,NA,Iauarete
198304,26.5,Iauarete
198305,27.5,Iauarete
198306,26.6,Iauarete
198307,27,Iauarete
198308,26.4,Iauarete
198309,27.2,Iauarete
198310,27.4,Iauarete
198311,26.9,Iauarete
198312,26.3,Iauarete
198401,NA,Iauarete
198402,NA,Iauarete
198403,NA,Iauarete
198404,NA,Iauarete
198405,27,Iauarete
198406,26.2,Iauarete
198407,25.8,Iauarete
198408,26.2,Iauarete
198409,26.7,Iauarete
198410,27.2,Iauarete
198411,27.2,Iauarete
198412,27,Iauarete
198501,26.8,Iauarete
198502,26.8,Iauarete
198503,27.2,Iauarete
198504,27.3,Iauarete
198505,26,Iauarete
198506,25.9,Iauarete
198507,25.7,Iauarete
198508,25.5,Iauarete
198509,26.7,Iauarete
198510,27.5,Iauarete
198511,26.8,Iauarete
198512,27,Iauarete
198601,26.5,Iauarete
198602,27.2,Iauarete
198603,26.9,Iauarete
198604,26.7,Iauarete
198605,26.8,Iauarete
198606,NA,Iauarete
198607,25.4,Iauarete
198608,26.4,Iauarete
198609,26.4,Iauarete
198610,26.9,Iauarete
198611,26.8,Iauarete
198612,27.1,Iauarete
198701,26.6,Iauarete
198702,26.7,Iauarete
198703,27.2,Iauarete
198704,26.9,Iauarete
198705,27.1,Iauarete
198706,26.7,Iauarete
198707,26.9,Iauarete
198708,26.7,Iauarete
198709,27,Iauarete
198710,27.5,Iauarete
198711,27.5,Iauarete
198712,27.4,Iauarete
198801,27.4,Iauarete
198802,27.1,Iauarete
198803,28,Iauarete
198804,27.5,Iauarete
198805,27.5,Iauarete
198806,26.7,Iauarete
198807,25.5,Iauarete
198808,26.8,Iauarete
198809,27.4,Iauarete
198810,27.4,Iauarete
198811,26.7,Iauarete
198812,27,Iauarete
198901,26.8,Iauarete
198902,26.4,Iauarete
198903,26.5,Iauarete
198904,26.8,Iauarete
198905,27,Iauarete
198906,26.6,Iauarete
198907,25.5,Iauarete
198908,26.6,Iauarete
198909,27.2,Iauarete
198910,27.2,Iauarete
198911,26.9,Iauarete
198912,27.3,Iauarete
199001,26.5,Iauarete
199002,26.6,Iauarete
199003,27,Iauarete
199004,27.3,Iauarete
199005,26.8,Iauarete
199006,26.6,Iauarete
199007,26,Iauarete
199008,26.5,Iauarete
199009,27.2,Iauarete
199010,NA,Iauarete
199011,NA,Iauarete
199012,27.1,Iauarete
199101,NA,Iauarete
199102,NA,Iauarete
199103,NA,Iauarete
199104,NA,Iauarete
199105,NA,Iauarete
199106,NA,Iauarete
199107,NA,Iauarete
199108,NA,Iauarete
199109,NA,Iauarete
199110,NA,Iauarete
199111,NA,Iauarete
199112,NA,Iauarete
199201,NA,Iauarete
199202,NA,Iauarete
199203,NA,Iauarete
199204,NA,Iauarete
199205,NA,Iauarete
199206,NA,Iauarete
199207,NA,Iauarete
199208,NA,Iauarete
199209,NA,Iauarete
199210,NA,Iauarete
199211,NA,Iauarete
199212,NA,Iauarete
199301,26.2,Iauarete
199302,26.9,Iauarete
199303,26.4,Iauarete
199304,26.5,Iauarete
199305,26.7,Iauarete
199306,25.8,Iauarete
199307,25.4,Iauarete
199308,25.6,Iauarete
199309,26.8,Iauarete
199310,26.7,Iauarete
199311,26.7,Iauarete
199312,27.1,Iauarete
199401,27.5,Iauarete
199402,26.2,Iauarete
199403,NA,Iauarete
199404,26.9,Iauarete
199405,26.6,Iauarete
199406,26.1,Iauarete
199407,25.8,Iauarete
199408,26.2,Iauarete
199409,26.5,Iauarete
199410,26.6,Iauarete
199411,26.7,Iauarete
199412,26.6,Iauarete
199501,26.8,Iauarete
199502,27.4,Iauarete
199503,27,Iauarete
199504,27.3,Iauarete
199505,26.7,Iauarete
199506,26.6,Iauarete
199507,26.2,Iauarete
199508,27.1,Iauarete
199509,27,Iauarete
199510,27.3,Iauarete
199511,26.9,Iauarete
199512,26.7,Iauarete
199601,27.1,Iauarete
199602,26.8,Iauarete
199603,27.4,Iauarete
199604,27.1,Iauarete
199605,27,Iauarete
199606,25.9,Iauarete
199607,25.9,Iauarete
199608,26.8,Iauarete
199609,27.4,Iauarete
199610,27.5,Iauarete
199611,26.9,Iauarete
199612,26.6,Iauarete
199701,27,Iauarete
199702,26.4,Iauarete
199703,27.3,Iauarete
199704,27.3,Iauarete
199705,26.1,Iauarete
199706,26.8,Iauarete
199707,26.2,Iauarete
199708,26.8,Iauarete
199709,27.2,Iauarete
199710,27.2,Iauarete
199711,26.5,Iauarete
199712,26.6,Iauarete
199801,27.2,Iauarete
199802,27.2,Iauarete
199803,26.9,Iauarete
199804,26.6,Iauarete
199805,25.8,Iauarete
199806,25.5,Iauarete
199807,25.2,Iauarete
199808,26.3,Iauarete
199809,27.2,Iauarete
199810,27.3,Iauarete
199811,27.1,Iauarete
199812,26.9,Iauarete
199901,26.7,Iauarete
199902,25.9,Iauarete
199903,26.4,Iauarete
199904,26,Iauarete
199905,NA,Iauarete
199906,NA,Iauarete
199907,NA,Iauarete
199908,NA,Iauarete
199909,NA,Iauarete
199910,NA,Iauarete
199911,NA,Iauarete
199912,NA,Iauarete
200001,27.3,Iauarete
200002,27,Iauarete
200003,27,Iauarete
200004,26.5,Iauarete
200005,26.6,Iauarete
200006,26.5,Iauarete
200007,25.8,Iauarete
200008,27,Iauarete
200009,27.3,Iauarete
200010,27.4,Iauarete
200011,28.2,Iauarete
200012,27.4,Iauarete
200101,26.6,Iauarete
200102,26.9,Iauarete
200103,27.4,Iauarete
200104,27.6,Iauarete
200105,26.9,Iauarete
200106,26.1,Iauarete
200107,26.4,Iauarete
200108,26.9,Iauarete
200109,27.6,Iauarete
200110,28.2,Iauarete
200111,28,Iauarete
200112,28,Iauarete
200201,28.7,Iauarete
200202,27.7,Iauarete
200203,27.5,Iauarete
200204,27,Iauarete
200205,27,Iauarete
200206,25.9,Iauarete
200207,NA,Iauarete
200208,26.9,Iauarete
200209,28.2,Iauarete
200210,28.1,Iauarete
200211,27.6,Iauarete
200212,27.4,Iauarete
200301,27.8,Iauarete
200302,27.3,Iauarete
200303,27.6,Iauarete
200304,27.4,Iauarete
200305,26.5,Iauarete
200306,26.8,Iauarete
200307,26.1,Iauarete
200308,27.1,Iauarete
200309,26.9,Iauarete
200310,28.4,Iauarete
200311,28.1,Iauarete
200312,NA,Iauarete
200401,NA,Iauarete
200402,28.2,Iauarete
200403,27.9,Iauarete
200404,28,Iauarete
200405,27,Iauarete
200406,26.7,Iauarete
200407,26.5,Iauarete
200408,26.9,Iauarete
200409,27.7,Iauarete
200410,28.2,Iauarete
200411,27.9,Iauarete
200412,28.5,Iauarete
200501,28.4,Iauarete
200502,27.7,Iauarete
200503,27.8,Iauarete
200504,27.8,Iauarete
200505,28.1,Iauarete
200506,NA,Iauarete
200507,NA,Iauarete
200508,NA,Iauarete
200509,NA,Iauarete
200510,NA,Iauarete
200511,28.4,Iauarete
200512,28.1,Iauarete
200601,27.6,Iauarete
200602,28,Iauarete
200603,27.8,Iauarete
200604,27.8,Iauarete
200605,26.6,Iauarete
200606,NA,Iauarete
200607,26.6,Iauarete
200608,27.4,Iauarete
200609,27.6,Iauarete
200610,NA,Iauarete
200611,28.3,Iauarete
200612,NA,Iauarete
200701,28.1,Iauarete
200702,29.1,Iauarete
200703,27.9,Iauarete
200704,27.7,Iauarete
200705,27.4,Iauarete
200706,26.4,Iauarete
200707,26.9,Iauarete
200708,27.1,Iauarete
200709,27.1,Iauarete
200710,NA,Iauarete
200711,27.7,Iauarete
200712,27.3,Iauarete
200801,27.3,Iauarete
200802,27.1,Iauarete
200803,NA,Iauarete
200804,NA,Iauarete
200805,NA,Iauarete
200806,NA,Iauarete
200807,NA,Iauarete
200808,NA,Iauarete
200809,NA,Iauarete
200810,NA,Iauarete
200811,NA,Iauarete
200812,NA,Iauarete
200901,NA,Iauarete
200902,NA,Iauarete
200903,NA,Iauarete
200904,NA,Iauarete
200905,NA,Iauarete
200906,26.7,Iauarete
200907,26.7,Iauarete
200908,27.3,Iauarete
200909,28.2,Iauarete
200910,27.8,Iauarete
200911,NA,Iauarete
200912,NA,Iauarete
201001,28.1,Iauarete
201002,28.6,Iauarete
201003,28.3,Iauarete
201004,27.9,Iauarete
201005,27.2,Iauarete
201006,27.1,Iauarete
201007,26,Iauarete
201008,26.5,Iauarete
201009,27.8,Iauarete
201010,NA,Iauarete
201011,27.3,Iauarete
201012,26.9,Iauarete
201101,27.1,Iauarete
201102,27,Iauarete
201103,NA,Iauarete
201104,NA,Iauarete
201105,NA,Iauarete
201106,NA,Iauarete
201107,NA,Iauarete
201108,NA,Iauarete
201109,27.8,Iauarete
201110,28,Iauarete
201111,27.9,Iauarete
201112,27.5,Iauarete
201201,27.3,Iauarete
201202,27,Iauarete
201203,26.9,Iauarete
201204,NA,Iauarete
201205,NA,Iauarete
201206,NA,Iauarete
201207,NA,Iauarete
201208,NA,Iauarete
201209,NA,Iauarete
201210,NA,Iauarete
201211,NA,Iauarete
201212,NA,Iauarete
