DATE,TAVG,NAME
197301,26.6,Labrea
197302,26.7,Labrea
197303,27,Labrea
197304,27.1,Labrea
197305,26,Labrea
197306,26.5,Labrea
197307,25.2,Labrea
197308,25.8,Labrea
197309,26.2,Labrea
197310,27.4,Labrea
197311,26.9,Labrea
197312,26.1,Labrea
197401,NA,Labrea
197402,25.9,Labrea
197403,25.9,Labrea
197404,25.8,Labrea
197405,25.4,Labrea
197406,25.8,Labrea
197407,24.9,Labrea
197408,26.7,Labrea
197409,26.1,Labrea
197410,26.4,Labrea
197411,26.9,Labrea
197412,25.4,Labrea
197501,NA,Labrea
197502,24.8,Labrea
197503,NA,Labrea
197504,25.8,Labrea
197505,NA,Labrea
197506,NA,Labrea
197507,NA,Labrea
197508,NA,Labrea
197509,NA,Labrea
197510,NA,Labrea
197511,NA,Labrea
197512,NA,Labrea
197601,NA,Labrea
197602,NA,Labrea
197603,NA,Labrea
197604,NA,Labrea
197605,NA,Labrea
197606,NA,Labrea
197607,25.5,Labrea
197608,NA,Labrea
197609,26.9,Labrea
197610,27.4,Labrea
197611,27.1,Labrea
197612,27.2,Labrea
197701,NA,Labrea
197702,NA,Labrea
197703,NA,Labrea
197704,NA,Labrea
197705,NA,Labrea
197706,NA,Labrea
197707,NA,Labrea
197708,NA,Labrea
197709,NA,Labrea
197710,NA,Labrea
197711,NA,Labrea
197712,NA,Labrea
197801,NA,Labrea
197802,NA,Labrea
197803,NA,Labrea
197804,27.3,Labrea
197805,26.9,Labrea
197806,26.4,Labrea
197807,26.7,Labrea
197808,26.1,Labrea
197809,27.1,Labrea
197810,27.3,Labrea
197811,26.8,Labrea
197812,25.3,Labrea
197901,25.6,Labrea
197902,25.8,Labrea
197903,26.3,Labrea
197904,25.7,Labrea
197905,25.6,Labrea
197906,NA,Labrea
197907,NA,Labrea
197908,27.2,Labrea
197909,NA,Labrea
197910,NA,Labrea
197911,NA,Labrea
197912,NA,Labrea
198001,NA,Labrea
198002,NA,Labrea
198003,NA,Labrea
198004,NA,Labrea
198005,NA,Labrea
198006,26.3,Labrea
198007,NA,Labrea
198008,NA,Labrea
198009,NA,Labrea
198010,NA,Labrea
198011,NA,Labrea
198012,NA,Labrea
198101,NA,Labrea
198102,NA,Labrea
198103,NA,Labrea
198104,NA,Labrea
198105,NA,Labrea
198106,NA,Labrea
198107,NA,Labrea
198108,NA,Labrea
198109,NA,Labrea
198110,NA,Labrea
198111,NA,Labrea
198112,NA,Labrea
198201,NA,Labrea
198202,NA,Labrea
198203,NA,Labrea
198204,27.4,Labrea
198205,NA,Labrea
198206,NA,Labrea
198207,27.4,Labrea
198208,NA,Labrea
198209,NA,Labrea
198210,NA,Labrea
198211,NA,Labrea
198212,NA,Labrea
198301,28.1,Labrea
198302,27.2,Labrea
198303,26.7,Labrea
198304,NA,Labrea
198305,NA,Labrea
198306,24.8,Labrea
198307,25.5,Labrea
198308,27.1,Labrea
198309,NA,Labrea
198310,27.5,Labrea
198311,NA,Labrea
198312,NA,Labrea
198401,NA,Labrea
198402,NA,Labrea
198403,NA,Labrea
198404,NA,Labrea
198405,26.9,Labrea
198406,26.4,Labrea
198407,NA,Labrea
198408,26.3,Labrea
198409,27,Labrea
198410,26.8,Labrea
198411,26.6,Labrea
198412,25.8,Labrea
198501,25.5,Labrea
198502,25.9,Labrea
198503,26.3,Labrea
198504,26.2,Labrea
198505,26.3,Labrea
198506,24.9,Labrea
198507,24.9,Labrea
198508,NA,Labrea
198509,26.9,Labrea
198510,26.4,Labrea
198511,26.3,Labrea
198512,25.6,Labrea
198601,NA,Labrea
198602,24.5,Labrea
198603,26.8,Labrea
198604,25.6,Labrea
198605,26.2,Labrea
198606,23.7,Labrea
198607,24.9,Labrea
198608,26.4,Labrea
198609,24.6,Labrea
198610,24.9,Labrea
198611,24.9,Labrea
198612,25,Labrea
198701,24.8,Labrea
