DATE,TAVG,NAME
197001,NA,Manicore
197002,NA,Manicore
197003,NA,Manicore
197004,NA,Manicore
197005,NA,Manicore
197006,NA,Manicore
197007,NA,Manicore
197008,NA,Manicore
197009,NA,Manicore
197010,NA,Manicore
197011,NA,Manicore
197012,23.2,Manicore
197101,22.2,Manicore
197102,22,Manicore
197103,22.4,Manicore
197104,NA,Manicore
197105,NA,Manicore
197106,NA,Manicore
197107,NA,Manicore
197108,NA,Manicore
197109,NA,Manicore
197110,NA,Manicore
197111,NA,Manicore
197112,NA,Manicore
197201,NA,Manicore
197202,NA,Manicore
197203,NA,Manicore
197204,NA,Manicore
197205,NA,Manicore
197206,NA,Manicore
197207,NA,Manicore
197208,26.4,Manicore
197209,26.7,Manicore
197210,27.3,Manicore
197211,26.8,Manicore
197212,27.3,Manicore
197301,26.8,Manicore
197302,27,Manicore
197303,27.2,Manicore
197304,26.6,Manicore
197305,26.6,Manicore
197306,27.1,Manicore
197307,26.5,Manicore
197308,27.1,Manicore
197309,27.6,Manicore
197310,27.9,Manicore
197311,27.2,Manicore
197312,26.5,Manicore
197401,26.2,Manicore
197402,NA,Manicore
197403,NA,Manicore
197404,NA,Manicore
197405,NA,Manicore
197406,26.3,Manicore
197407,25.6,Manicore
197408,26.6,Manicore
197409,26,Manicore
197410,26.5,Manicore
197411,27.1,Manicore
197412,25.8,Manicore
197501,26,Manicore
197502,25.6,Manicore
197503,26,Manicore
197504,26.7,Manicore
197505,26.1,Manicore
197506,25.8,Manicore
197507,25,Manicore
197508,27.3,Manicore
197509,27.3,Manicore
197510,27.3,Manicore
197511,27.3,Manicore
197512,26.5,Manicore
197601,26.2,Manicore
197602,26.2,Manicore
197603,26.5,Manicore
197604,26.7,Manicore
197605,26.3,Manicore
197606,25.8,Manicore
197607,26.1,Manicore
197608,27.8,Manicore
197609,27.4,Manicore
197610,27.1,Manicore
197611,27.1,Manicore
197612,27.2,Manicore
197701,26.7,Manicore
197702,26.3,Manicore
197703,26.6,Manicore
197704,26.6,Manicore
197705,25.6,Manicore
197706,26,Manicore
197707,NA,Manicore
197708,27.4,Manicore
197709,26.9,Manicore
197710,27,Manicore
197711,27.6,Manicore
197712,26.3,Manicore
197801,26.2,Manicore
197802,26.3,Manicore
197803,26.1,Manicore
197804,26.4,Manicore
197805,26.2,Manicore
197806,26.3,Manicore
197807,26.6,Manicore
197808,26.5,Manicore
197809,26.9,Manicore
197810,27.1,Manicore
197811,27.3,Manicore
197812,26.2,Manicore
197901,26.2,Manicore
197902,NA,Manicore
197903,26.3,Manicore
197904,26.2,Manicore
197905,26.6,Manicore
197906,NA,Manicore
197907,NA,Manicore
197908,27.4,Manicore
197909,NA,Manicore
197910,NA,Manicore
197911,NA,Manicore
197912,NA,Manicore
198001,NA,Manicore
198002,NA,Manicore
198003,NA,Manicore
198004,NA,Manicore
198005,NA,Manicore
198006,NA,Manicore
198007,NA,Manicore
198008,NA,Manicore
198009,NA,Manicore
198010,NA,Manicore
198011,NA,Manicore
198012,NA,Manicore
198101,NA,Manicore
198102,NA,Manicore
198103,NA,Manicore
198104,NA,Manicore
198105,NA,Manicore
198106,NA,Manicore
198107,NA,Manicore
198108,NA,Manicore
198109,NA,Manicore
198110,NA,Manicore
198111,NA,Manicore
198112,NA,Manicore
198201,NA,Manicore
198202,NA,Manicore
198203,NA,Manicore
198204,NA,Manicore
198205,NA,Manicore
198206,NA,Manicore
198207,NA,Manicore
198208,NA,Manicore
198209,NA,Manicore
198210,NA,Manicore
198211,NA,Manicore
198212,NA,Manicore
198301,27.5,Manicore
198302,27.6,Manicore
198303,27.1,Manicore
198304,27.3,Manicore
198305,28,Manicore
198306,26.3,Manicore
198307,27.1,Manicore
198308,27.1,Manicore
198309,28.2,Manicore
198310,27.5,Manicore
198311,28.1,Manicore
198312,27.2,Manicore
198401,NA,Manicore
198402,25.8,Manicore
198403,26.7,Manicore
198404,26.3,Manicore
198405,26.7,Manicore
198406,28.1,Manicore
198407,28.3,Manicore
198408,28,Manicore
198409,27.7,Manicore
198410,27.8,Manicore
198411,28.9,Manicore
198412,28.2,Manicore
198501,26.6,Manicore
198502,26.8,Manicore
198503,27.4,Manicore
198504,27.6,Manicore
198505,27.8,Manicore
198506,27.7,Manicore
198507,28.5,Manicore
198508,28,Manicore
198509,27.9,Manicore
198510,28,Manicore
198511,28.7,Manicore
198512,27.3,Manicore
198601,27,Manicore
198602,28.7,Manicore
198603,NA,Manicore
198604,NA,Manicore
198605,NA,Manicore
198606,27.6,Manicore
198607,27.1,Manicore
198608,28.5,Manicore
