DATE,TAVG,NAME
193101,26.5,Nickerie Vliegveld
193102,26.8,Nickerie Vliegveld
193103,27.3,Nickerie Vliegveld
193104,27.6,Nickerie Vliegveld
193105,27.2,Nickerie Vliegveld
193106,27.4,Nickerie Vliegveld
193107,27,Nickerie Vliegveld
193108,28,Nickerie Vliegveld
193109,28.4,Nickerie Vliegveld
193110,28.2,Nickerie Vliegveld
193111,27.7,Nickerie Vliegveld
193112,27,Nickerie Vliegveld
193201,26.5,Nickerie Vliegveld
193202,26.6,Nickerie Vliegveld
193203,26.9,Nickerie Vliegveld
193204,26.8,Nickerie Vliegveld
193205,27.4,Nickerie Vliegveld
193206,27.3,Nickerie Vliegveld
193207,27.3,Nickerie Vliegveld
193208,27.6,Nickerie Vliegveld
193209,28.5,Nickerie Vliegveld
193210,28.2,Nickerie Vliegveld
193211,28.4,Nickerie Vliegveld
193212,27.8,Nickerie Vliegveld
193301,26.6,Nickerie Vliegveld
193302,26.3,Nickerie Vliegveld
193303,26.8,Nickerie Vliegveld
193304,27.2,Nickerie Vliegveld
193305,26.9,Nickerie Vliegveld
193306,26.5,Nickerie Vliegveld
193307,27.4,Nickerie Vliegveld
193308,27.9,Nickerie Vliegveld
193309,28.2,Nickerie Vliegveld
193310,28.2,Nickerie Vliegveld
193311,27.2,Nickerie Vliegveld
193312,26,Nickerie Vliegveld
193401,25.8,Nickerie Vliegveld
193402,26,Nickerie Vliegveld
193403,26.3,Nickerie Vliegveld
193404,26.7,Nickerie Vliegveld
193405,27.1,Nickerie Vliegveld
193406,26.7,Nickerie Vliegveld
193407,26.8,Nickerie Vliegveld
193408,27.9,Nickerie Vliegveld
193409,27.8,Nickerie Vliegveld
193410,27.3,Nickerie Vliegveld
193411,27.4,Nickerie Vliegveld
193412,26.3,Nickerie Vliegveld
193501,26.3,Nickerie Vliegveld
193502,26,Nickerie Vliegveld
193503,26.8,Nickerie Vliegveld
193504,27.3,Nickerie Vliegveld
193505,27.2,Nickerie Vliegveld
193506,26.7,Nickerie Vliegveld
193507,27,Nickerie Vliegveld
193508,27.6,Nickerie Vliegveld
193509,28,Nickerie Vliegveld
193510,27.7,Nickerie Vliegveld
193511,27.9,Nickerie Vliegveld
193512,27.1,Nickerie Vliegveld
193601,26.1,Nickerie Vliegveld
193602,26.4,Nickerie Vliegveld
193603,26.8,Nickerie Vliegveld
193604,26.9,Nickerie Vliegveld
193605,27.3,Nickerie Vliegveld
193606,26.9,Nickerie Vliegveld
193607,27.2,Nickerie Vliegveld
193608,28,Nickerie Vliegveld
193609,28.6,Nickerie Vliegveld
193610,28.1,Nickerie Vliegveld
193611,27.9,Nickerie Vliegveld
193612,26.7,Nickerie Vliegveld
193701,26.3,Nickerie Vliegveld
193702,26.6,Nickerie Vliegveld
193703,27,Nickerie Vliegveld
193704,27,Nickerie Vliegveld
193705,26.9,Nickerie Vliegveld
193706,26.8,Nickerie Vliegveld
193707,27.2,Nickerie Vliegveld
193708,28.1,Nickerie Vliegveld
193709,28.6,Nickerie Vliegveld
193710,28.6,Nickerie Vliegveld
193711,28.1,Nickerie Vliegveld
193712,27.3,Nickerie Vliegveld
193801,26.3,Nickerie Vliegveld
193802,26.4,Nickerie Vliegveld
193803,26.4,Nickerie Vliegveld
193804,26.6,Nickerie Vliegveld
193805,26.9,Nickerie Vliegveld
193806,26.9,Nickerie Vliegveld
193807,27,Nickerie Vliegveld
193808,27.5,Nickerie Vliegveld
193809,28.2,Nickerie Vliegveld
193810,28.4,Nickerie Vliegveld
193811,27.9,Nickerie Vliegveld
193812,27,Nickerie Vliegveld
193901,26.3,Nickerie Vliegveld
193902,26,Nickerie Vliegveld
193903,26.1,Nickerie Vliegveld
193904,26.1,Nickerie Vliegveld
193905,26.8,Nickerie Vliegveld
193906,26.8,Nickerie Vliegveld
193907,27,Nickerie Vliegveld
193908,27.7,Nickerie Vliegveld
193909,28,Nickerie Vliegveld
193910,28,Nickerie Vliegveld
193911,27.9,Nickerie Vliegveld
193912,27.2,Nickerie Vliegveld
194001,26.7,Nickerie Vliegveld
194002,27.1,Nickerie Vliegveld
194003,27.4,Nickerie Vliegveld
194004,28,Nickerie Vliegveld
194005,27.7,Nickerie Vliegveld
194006,27.3,Nickerie Vliegveld
194007,27.4,Nickerie Vliegveld
194008,27.8,Nickerie Vliegveld
194009,28.3,Nickerie Vliegveld
194010,28.4,Nickerie Vliegveld
194011,28.1,Nickerie Vliegveld
194012,26.8,Nickerie Vliegveld
194101,26.9,Nickerie Vliegveld
194102,27,Nickerie Vliegveld
194103,27.1,Nickerie Vliegveld
194104,27.8,Nickerie Vliegveld
194105,27.4,Nickerie Vliegveld
194106,27,Nickerie Vliegveld
194107,27.4,Nickerie Vliegveld
194108,27.7,Nickerie Vliegveld
194109,28.2,Nickerie Vliegveld
194110,28.3,Nickerie Vliegveld
194111,27.6,Nickerie Vliegveld
194112,26.8,Nickerie Vliegveld
194201,26.8,Nickerie Vliegveld
194202,27.1,Nickerie Vliegveld
194203,27.3,Nickerie Vliegveld
194204,27.4,Nickerie Vliegveld
194205,27.4,Nickerie Vliegveld
194206,27.2,Nickerie Vliegveld
194207,27.1,Nickerie Vliegveld
194208,27.8,Nickerie Vliegveld
194209,28.5,Nickerie Vliegveld
194210,28.4,Nickerie Vliegveld
194211,28.5,Nickerie Vliegveld
194212,26.4,Nickerie Vliegveld
194301,26.3,Nickerie Vliegveld
194302,26.4,Nickerie Vliegveld
194303,26.2,Nickerie Vliegveld
194304,26.8,Nickerie Vliegveld
194305,26.6,Nickerie Vliegveld
194306,26.8,Nickerie Vliegveld
194307,26.8,Nickerie Vliegveld
194308,27.8,Nickerie Vliegveld
194309,28.2,Nickerie Vliegveld
194310,28.4,Nickerie Vliegveld
194311,27.7,Nickerie Vliegveld
194312,26.8,Nickerie Vliegveld
194401,26.6,Nickerie Vliegveld
194402,26.9,Nickerie Vliegveld
194403,27,Nickerie Vliegveld
194404,27.4,Nickerie Vliegveld
194405,27.4,Nickerie Vliegveld
194406,27.1,Nickerie Vliegveld
194407,27.5,Nickerie Vliegveld
194408,27.8,Nickerie Vliegveld
194409,27.9,Nickerie Vliegveld
194410,28.5,Nickerie Vliegveld
194411,28.3,Nickerie Vliegveld
194412,27.3,Nickerie Vliegveld
194501,26.5,Nickerie Vliegveld
194502,26.7,Nickerie Vliegveld
194503,27,Nickerie Vliegveld
194504,27.5,Nickerie Vliegveld
194505,27.2,Nickerie Vliegveld
194506,26.9,Nickerie Vliegveld
194507,27.3,Nickerie Vliegveld
194508,27.8,Nickerie Vliegveld
194509,28.2,Nickerie Vliegveld
194510,28.1,Nickerie Vliegveld
194511,27.7,Nickerie Vliegveld
194512,27,Nickerie Vliegveld
194601,26.5,Nickerie Vliegveld
194602,26.1,Nickerie Vliegveld
194603,27.1,Nickerie Vliegveld
194604,27.3,Nickerie Vliegveld
194605,27.1,Nickerie Vliegveld
194606,27.4,Nickerie Vliegveld
194607,27.3,Nickerie Vliegveld
194608,27.5,Nickerie Vliegveld
194609,28.3,Nickerie Vliegveld
194610,28,Nickerie Vliegveld
194611,27.9,Nickerie Vliegveld
194612,27.6,Nickerie Vliegveld
194701,26.6,Nickerie Vliegveld
194702,27.1,Nickerie Vliegveld
194703,27.6,Nickerie Vliegveld
194704,27.4,Nickerie Vliegveld
194705,27.2,Nickerie Vliegveld
194706,26.8,Nickerie Vliegveld
194707,27.6,Nickerie Vliegveld
194708,28,Nickerie Vliegveld
194709,28.5,Nickerie Vliegveld
194710,27.8,Nickerie Vliegveld
194711,27,Nickerie Vliegveld
194712,27.1,Nickerie Vliegveld
194801,26.6,Nickerie Vliegveld
194802,26.7,Nickerie Vliegveld
194803,26.6,Nickerie Vliegveld
194804,26.8,Nickerie Vliegveld
194805,27.6,Nickerie Vliegveld
194806,27.6,Nickerie Vliegveld
194807,27.5,Nickerie Vliegveld
194808,28.2,Nickerie Vliegveld
194809,28.3,Nickerie Vliegveld
194810,28.1,Nickerie Vliegveld
194811,27.9,Nickerie Vliegveld
194812,27.1,Nickerie Vliegveld
194901,26.2,Nickerie Vliegveld
194902,26.6,Nickerie Vliegveld
194903,26.8,Nickerie Vliegveld
194904,27.2,Nickerie Vliegveld
194905,27.5,Nickerie Vliegveld
194906,27.2,Nickerie Vliegveld
194907,27.3,Nickerie Vliegveld
194908,27.3,Nickerie Vliegveld
194909,28.1,Nickerie Vliegveld
194910,28.3,Nickerie Vliegveld
194911,27.7,Nickerie Vliegveld
194912,26.8,Nickerie Vliegveld
195001,26.1,Nickerie Vliegveld
195002,27,Nickerie Vliegveld
195003,27.2,Nickerie Vliegveld
195004,27.7,Nickerie Vliegveld
195005,27.3,Nickerie Vliegveld
195006,27.3,Nickerie Vliegveld
195007,27.3,Nickerie Vliegveld
195008,27.8,Nickerie Vliegveld
195009,28.7,Nickerie Vliegveld
195010,28.6,Nickerie Vliegveld
195011,28.3,Nickerie Vliegveld
195012,27.7,Nickerie Vliegveld
195101,26.6,Nickerie Vliegveld
195102,26.7,Nickerie Vliegveld
195103,27.6,Nickerie Vliegveld
195104,27.8,Nickerie Vliegveld
195105,27.9,Nickerie Vliegveld
195106,27.3,Nickerie Vliegveld
195107,27.6,Nickerie Vliegveld
195108,28.1,Nickerie Vliegveld
195109,28.7,Nickerie Vliegveld
195110,28.5,Nickerie Vliegveld
195111,28.7,Nickerie Vliegveld
