DATE,TAVG,NAME
196901,NA,Tarauaca
196902,NA,Tarauaca
196903,NA,Tarauaca
196904,NA,Tarauaca
196905,NA,Tarauaca
196906,NA,Tarauaca
196907,NA,Tarauaca
196908,22.4,Tarauaca
196909,23.4,Tarauaca
196910,NA,Tarauaca
196911,27.2,Tarauaca
196912,26.8,Tarauaca
197001,26.9,Tarauaca
197002,27,Tarauaca
197003,26.6,Tarauaca
197004,26.7,Tarauaca
197005,26.4,Tarauaca
197006,25.5,Tarauaca
197007,24.3,Tarauaca
197008,26.2,Tarauaca
197009,27,Tarauaca
197010,27.3,Tarauaca
197011,27.1,Tarauaca
197012,26.7,Tarauaca
197101,26.6,Tarauaca
197102,25.9,Tarauaca
197103,26.6,Tarauaca
197104,25.8,Tarauaca
197105,25.2,Tarauaca
197106,24.5,Tarauaca
197107,25.3,Tarauaca
197108,25.5,Tarauaca
197109,26.6,Tarauaca
197110,26.5,Tarauaca
197111,26.8,Tarauaca
197112,26.6,Tarauaca
197201,25.9,Tarauaca
197202,26.3,Tarauaca
197203,26.2,Tarauaca
197204,25.8,Tarauaca
197205,26.1,Tarauaca
197206,25.9,Tarauaca
197207,24.5,Tarauaca
197208,25.5,Tarauaca
197209,26.3,Tarauaca
197210,26.7,Tarauaca
197211,26.5,Tarauaca
197212,27,Tarauaca
197301,27,Tarauaca
197302,26.8,Tarauaca
197303,27.1,Tarauaca
197304,26.9,Tarauaca
197305,25.3,Tarauaca
197306,26.1,Tarauaca
197307,24.7,Tarauaca
197308,25.7,Tarauaca
197309,26.5,Tarauaca
197310,NA,Tarauaca
197311,NA,Tarauaca
197312,26.4,Tarauaca
197401,26.3,Tarauaca
197402,25.7,Tarauaca
197403,25.5,Tarauaca
197404,26,Tarauaca
197405,25.2,Tarauaca
197406,24.9,Tarauaca
197407,24.1,Tarauaca
197408,24.8,Tarauaca
197409,25.5,Tarauaca
197410,25.9,Tarauaca
197411,26.7,Tarauaca
197412,26.4,Tarauaca
197501,26.1,Tarauaca
197502,26,Tarauaca
197503,25.9,Tarauaca
197504,26.2,Tarauaca
197505,25.7,Tarauaca
197506,25.4,Tarauaca
197507,23.6,Tarauaca
197508,25.4,Tarauaca
197509,26.7,Tarauaca
197510,27,Tarauaca
197511,26.5,Tarauaca
197512,26.1,Tarauaca
197601,25.8,Tarauaca
197602,26.1,Tarauaca
197603,26.1,Tarauaca
197604,26.2,Tarauaca
197605,25.8,Tarauaca
197606,24.4,Tarauaca
197607,24.5,Tarauaca
197608,26,Tarauaca
197609,26.1,Tarauaca
197610,27.2,Tarauaca
197611,26.9,Tarauaca
197612,26.8,Tarauaca
197701,26.7,Tarauaca
197702,26.5,Tarauaca
197703,26.7,Tarauaca
197704,26.5,Tarauaca
197705,25.4,Tarauaca
197706,25.2,Tarauaca
197707,25.6,Tarauaca
197708,26,Tarauaca
197709,26.5,Tarauaca
197710,25.9,Tarauaca
197711,26.6,Tarauaca
197712,26.6,Tarauaca
197801,26.5,Tarauaca
197802,27,Tarauaca
197803,26.6,Tarauaca
197804,26,Tarauaca
197805,25.9,Tarauaca
197806,24.6,Tarauaca
197807,25.3,Tarauaca
197808,24.3,Tarauaca
197809,25.9,Tarauaca
197810,26.2,Tarauaca
197811,26.3,Tarauaca
197812,26,Tarauaca
197901,NA,Tarauaca
197902,NA,Tarauaca
197903,25.9,Tarauaca
197904,NA,Tarauaca
197905,NA,Tarauaca
197906,NA,Tarauaca
197907,NA,Tarauaca
197908,NA,Tarauaca
197909,NA,Tarauaca
197910,27.5,Tarauaca
197911,NA,Tarauaca
197912,NA,Tarauaca
198001,NA,Tarauaca
198002,NA,Tarauaca
198003,NA,Tarauaca
198004,NA,Tarauaca
198005,NA,Tarauaca
198006,NA,Tarauaca
198007,NA,Tarauaca
198008,NA,Tarauaca
198009,NA,Tarauaca
198010,NA,Tarauaca
198011,NA,Tarauaca
198012,NA,Tarauaca
198101,NA,Tarauaca
198102,NA,Tarauaca
198103,NA,Tarauaca
198104,NA,Tarauaca
198105,NA,Tarauaca
198106,NA,Tarauaca
198107,NA,Tarauaca
198108,NA,Tarauaca
198109,NA,Tarauaca
198110,NA,Tarauaca
198111,NA,Tarauaca
198112,NA,Tarauaca
198201,NA,Tarauaca
198202,NA,Tarauaca
198203,NA,Tarauaca
198204,NA,Tarauaca
198205,NA,Tarauaca
198206,NA,Tarauaca
198207,NA,Tarauaca
198208,NA,Tarauaca
198209,NA,Tarauaca
198210,NA,Tarauaca
198211,NA,Tarauaca
198212,NA,Tarauaca
198301,27.4,Tarauaca
198302,27.5,Tarauaca
198303,27.1,Tarauaca
198304,27.5,Tarauaca
198305,27.1,Tarauaca
198306,24.3,Tarauaca
198307,25.4,Tarauaca
198308,25.5,Tarauaca
198309,26.2,Tarauaca
198310,26.4,Tarauaca
198311,26.4,Tarauaca
198312,26.1,Tarauaca
198401,25.6,Tarauaca
198402,25.4,Tarauaca
198403,26.1,Tarauaca
198404,25.9,Tarauaca
198405,26.1,Tarauaca
198406,25.1,Tarauaca
198407,25.2,Tarauaca
198408,25.9,Tarauaca
198409,26.7,Tarauaca
198410,NA,Tarauaca
198411,NA,Tarauaca
198412,26.4,Tarauaca
198501,26.2,Tarauaca
198502,25.1,Tarauaca
198503,NA,Tarauaca
198504,NA,Tarauaca
198505,NA,Tarauaca
198506,NA,Tarauaca
198507,NA,Tarauaca
198508,NA,Tarauaca
198509,NA,Tarauaca
198510,NA,Tarauaca
198511,NA,Tarauaca
198512,NA,Tarauaca
198601,NA,Tarauaca
198602,NA,Tarauaca
198603,NA,Tarauaca
