date,temp
1/01/1980,25.7
1/02/1980,25.5
1/03/1980,25.3
1/04/1980,25.9
1/05/1980,25.1
1/06/1980,24.3
1/07/1980,24.1
1/08/1980,24.9
1/09/1980,25.3
1/10/1980,25.5
1/11/1980,25.8
1/12/1980,25.6
1/01/1981,25.3
1/02/1981,25.1
1/03/1981,25.5
1/04/1981,26
1/05/1981,25.1
1/06/1981,24.4
1/07/1981,22.8
1/08/1981,24.5
1/09/1981,24.9
1/10/1981,25.3
1/11/1981,25.7
1/12/1981,25.7
1/01/1982,25
1/02/1982,24
1/03/1982,NA
1/04/1982,24.6
1/05/1982,25
1/06/1982,NA
1/07/1982,25.1
1/08/1982,24.4
1/09/1982,25.1
1/10/1982,25.1
1/11/1982,NA
1/12/1982,27.8
1/01/1983,25.9
1/02/1983,25.9
1/03/1983,26.3
1/04/1983,26
1/05/1983,26
1/06/1983,NA
1/07/1983,25.3
1/08/1983,NA
1/09/1983,25.7
1/10/1983,26.2
1/11/1983,25.8
1/12/1983,25.7
1/01/1984,24.8
1/02/1984,25.2
1/03/1984,25.3
1/04/1984,25
1/05/1984,25.6
1/06/1984,24.8
1/07/1984,24.9
1/08/1984,24.1
1/09/1984,27.6
1/10/1984,28.8
1/11/1984,25.2
1/12/1984,NA
1/01/1985,25.9
1/02/1985,25.2
1/03/1985,25.2
1/04/1985,23.9
1/05/1985,25.1
1/06/1985,23.9
1/07/1985,24.6
1/08/1985,25.5
1/09/1985,25
1/10/1985,25.4
1/11/1985,25.3
1/12/1985,26
1/01/1986,25.7
1/02/1986,24.8
1/03/1986,24.7
1/04/1986,NA
1/05/1986,25.9
1/06/1986,26.1
1/07/1986,23.9
1/08/1986,26.7
1/09/1986,27.2
1/10/1986,27.4
1/11/1986,26.4
1/12/1986,25.8
1/01/1987,25.7
1/02/1987,25.8
1/03/1987,26.3
1/04/1987,NA
1/05/1987,25.7
1/06/1987,25
1/07/1987,25.7
1/08/1987,NA
1/09/1987,26
1/10/1987,27.6
1/11/1987,26.1
1/12/1987,26.4
1/01/1988,26.6
1/02/1988,NA
1/03/1988,26.3
1/04/1988,25.9
1/05/1988,25.6
1/06/1988,24
1/07/1988,NA
1/08/1988,NA
1/09/1988,NA
1/10/1988,26.4
1/11/1988,26.2
1/12/1988,27.5
1/01/1989,26.7
1/02/1989,25.2
1/03/1989,25.2
1/04/1989,25.6
1/05/1989,25
1/06/1989,24.8
1/07/1989,25.3
1/08/1989,25.2
1/09/1989,26.9
1/10/1989,25.7
1/11/1989,27
1/12/1989,27.1
1/01/1990,25.5
1/02/1990,26
1/03/1990,25.6
1/04/1990,25.6
1/05/1990,25.5
1/06/1990,25
1/07/1990,25.3
1/08/1990,25.7
1/09/1990,NA
1/10/1990,NA
1/11/1990,NA
1/12/1990,NA
1/01/1991,26.8
1/02/1991,25.7
1/03/1991,25.7
1/04/1991,26
1/05/1991,26
1/06/1991,NA
1/07/1991,NA
1/08/1991,NA
1/09/1991,25.6
1/10/1991,26
1/11/1991,25.6
1/12/1991,27.8
1/01/1992,27.3
1/02/1992,26.3
1/03/1992,26.7
1/04/1992,26.9
1/05/1992,27.8
1/06/1992,26.6
1/07/1992,24.5
1/08/1992,25.8
1/09/1992,26.1
1/10/1992,26.6
1/11/1992,26.2
1/12/1992,26.8
1/01/1993,26.4
1/02/1993,25.9
1/03/1993,25.9
1/04/1993,26.2
1/05/1993,26.4
1/06/1993,25.7
1/07/1993,25.3
1/08/1993,25
1/09/1993,26.7
1/10/1993,26.7
1/11/1993,26.2
1/12/1993,26.3
1/01/1994,26.6
1/02/1994,26.4
1/03/1994,26.2
1/04/1994,26.6
1/05/1994,26.4
1/06/1994,25
1/07/1994,25
1/08/1994,26.7
1/09/1994,27.6
1/10/1994,26.5
1/11/1994,26.6
1/12/1994,26.3
1/01/1995,27.2
1/02/1995,26.2
1/03/1995,25.7
1/04/1995,26.4
1/05/1995,25
1/06/1995,25.9
1/07/1995,26.5
1/08/1995,26.6
1/09/1995,26.6
1/10/1995,25.1
1/11/1995,25.1
1/12/1995,26.1
1/01/1996,25.8
1/02/1996,26.5
1/03/1996,26
1/04/1996,24.7
1/05/1996,25
1/06/1996,23.8
1/07/1996,24.6
1/08/1996,25.8
1/09/1996,26
1/10/1996,26.1
1/11/1996,25.5
1/12/1996,26.1
1/01/1997,26.1
1/02/1997,25.6
1/03/1997,25.1
1/04/1997,26.4
1/05/1997,25.5
1/06/1997,24.9
1/07/1997,26.2
1/08/1997,25.6
1/09/1997,27.4
1/10/1997,27.6
1/11/1997,26.9
1/12/1997,27.1
1/01/1998,27.8
1/02/1998,27.6
1/03/1998,27.1
1/04/1998,27.2
1/05/1998,26
1/06/1998,25.2
1/07/1998,26.7
1/08/1998,28
1/09/1998,27
1/10/1998,27.1
1/11/1998,26.6
1/12/1998,26.4
1/01/1999,25.7
1/02/1999,25.8
1/03/1999,26.4
1/04/1999,25.5
1/05/1999,25.5
1/06/1999,25.5
1/07/1999,25.1
1/08/1999,25.3
1/09/1999,25.3
1/10/1999,26.7
1/11/1999,26.4
1/12/1999,26.6
1/01/2000,25.9
1/02/2000,25.9
1/03/2000,26.2
1/04/2000,24.8
1/05/2000,26.1
1/06/2000,26
1/07/2000,24.3
1/08/2000,26.6
1/09/2000,27.3
1/10/2000,27
1/11/2000,27.8
1/12/2000,27
1/01/2001,26.1
1/02/2001,26.5
1/03/2001,26
1/04/2001,26.6
1/05/2001,26.5
1/06/2001,24.7
1/07/2001,25.7
1/08/2001,27.1
1/09/2001,26.6
1/10/2001,27.8
1/11/2001,27.5
1/12/2001,26.8
1/01/2002,27.5
1/02/2002,26.5
1/03/2002,26.4
1/04/2002,26.7
1/05/2002,26.9
1/06/2002,26
1/07/2002,25.7
1/08/2002,27.2
1/09/2002,27.4
1/10/2002,27.3
1/11/2002,26.8
1/12/2002,27.3
1/01/2003,27.5
1/02/2003,26.9
1/03/2003,NA
1/04/2003,26.8
1/05/2003,26.2
1/06/2003,26.5
1/07/2003,25.9
1/08/2003,NA
1/09/2003,NA
1/10/2003,28
1/11/2003,28
1/12/2003,27
1/01/2004,27
1/02/2004,26.9
1/03/2004,26.9
1/04/2004,26.9
1/05/2004,26.9
1/06/2004,26.9
1/07/2004,26.9
1/08/2004,26.9
1/09/2004,26.9
1/10/2004,26.9
1/11/2004,26.6
1/12/2004,26.6
1/01/2005,26.6
1/02/2005,26.9
1/03/2005,26.9
1/04/2005,26.4
1/05/2005,27.4
1/06/2005,26.6
1/07/2005,25.8
1/08/2005,27.4
1/09/2005,27.6
1/10/2005,27.5
1/11/2005,27.5
1/12/2005,27.5
1/01/2006,26.5
1/02/2006,26.5
1/03/2006,26.3
1/04/2006,26.4
1/05/2006,25.8
1/06/2006,25.8
1/07/2006,27
1/08/2006,27
1/09/2006,NA
