"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-01","27.6"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-02","27.3"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-03","27.6"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-04","27.7"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-05","27.7"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-06","27.3"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-07","26.9"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-08","26.9"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-09","27.7"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-10","27.6"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-11","27.6"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1980-12","27.1"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1981-01","27.3"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1981-02","27.3"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1981-03","27.6"
"PP000092044","LOS NEGROS ADMRTY IS MOMOTE S, PP","-2.05","147.433","8.0","1981-04","27.4"
