site,lon,lat
berberati,15.8,4.25
bitam,11.483,2.083
franceville,13.433,-1.65
gemena,19.783,3.283
impfondo,18.067,1.617
kelle,13.55,0.1
lambarene,10.233,-0.717
lastoursville,12.717,-0.833
makokou,12.867,0.567
makoua,15.65,-0.02
mouila,11.017,-1.867
ouesso,16.05,1.617
souanke,14.133,2.067
tchibanga,11.017,-2.85
yaounde,11.33,3.43
kisangani,25.2,0.5
mabali,23.8,-0.3
banningville,23.6,1.3
inongo,18.3,-2
mbandaka,18.3,0.1
mekambo,13.9,1
mitzic,11.5,0.8
douala,9.7,4
sefwi_bekwai,-2.3,6.2
kumasi,-1.6,6.7
akim_oda,-1,5.9
