NAME,LATITUDE,LONGITUDE
SAFE,4.71623925,117.6099613
"SANDAKAN, MY",5.9,118.067
"BINTULU, MY",3.2,113.033
"JUWATA, ID",3.327,117.566
"TEMINDUNG, ID",-0.485,117.157
"LABUAN, MY",5.3,115.25
"KUCHING, MY",1.483,110.333
"SYAMSUDIN NOOR, ID",-3.442,114.763
"KOTABARU SETAGEN, ID",-3.4,116.217
"MUARATEWE BERINGIN, ID",-0.95,114.9
"SUPADIO, ID",-0.151,109.404
"RAHADI USMAN, ID",-1.817,109.963
"SUSILO, ID",0.064,111.473
"BRUNEI INTERNATIONAL, BX",4.944,114.928
"TANJUNG SELOR, ID",2.85,117.333
"ISKANDAR, ID",-2.705,111.673
"PALOH, ID",1.767,109.3
"TJILIK RIWUT, ID",-2.225,113.943
"TAWAU, MY",4.313,118.122
"MUTIARA, ID",-0.919,119.91
"UJANG PANDANG PAOTERE, ID",-5.067,119.55
"BAU BAU BETO AMBIRI, ID",-5.467,122.617
"JALALUDDIN, ID",0.637,122.85
"BUBUNG, ID",-1.039,122.772
"TOLI TOLI LALOS, ID",1.017,120.8
"SARMI ORAI, ID",-1.833,138.717
"MADANG W.O., PP",-5.217,145.8
"NABIRE, ID",-3.368,135.496
"KAIMANA, ID",-3.645,133.696
"FAK FAK TOREA, ID",-2.883,132.25
"JAYAPURA DOK II, ID",-2.367,140.717
"SULTAN MAHMUD BADARUDDIN II, ID",-2.898,104.701
"SULTAN THAHA, ID",-1.638,103.644
"JAPURA, ID",-0.353,102.335
"SULTAN SYARIF KASIM II, ID",0.461,101.445
"H AS HANANDJOEDDIN, ID",-2.746,107.755
"PANGKALPINANG, ID",-2.17,106.13
