"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,NA,NA,NA
"52",1984-04-01,NA,NA,NA
"53",1984-05-01,NA,NA,25.0136363636364
"54",1984-06-01,21.4921875,NA,23.2328125
"55",1984-07-01,NA,NA,NA
"56",1984-08-01,NA,NA,NA
"57",1984-09-01,NA,NA,NA
"58",1984-10-01,NA,NA,NA
"59",1984-11-01,NA,NA,NA
"60",1984-12-01,21.5391304347826,NA,24.1239130434783
"61",1985-01-01,NA,NA,23.92375
"62",1985-02-01,NA,NA,NA
"63",1985-03-01,NA,NA,NA
"64",1985-04-01,NA,NA,24.5592592592593
"65",1985-05-01,21.6290909090909,NA,23.6945454545455
"66",1985-06-01,21.4033333333333,NA,NA
"67",1985-07-01,NA,NA,22.775
"68",1985-08-01,NA,NA,NA
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,NA,NA,NA
"71",1985-11-01,22.34,NA,NA
"72",1985-12-01,21.625,NA,23.1375
"73",1986-01-01,21.3833333333333,NA,NA
"74",1986-02-01,NA,NA,24.7962962962963
"75",1986-03-01,NA,NA,24.6595505617978
"76",1986-04-01,NA,NA,NA
"77",1986-05-01,NA,NA,NA
"78",1986-06-01,NA,NA,NA
"79",1986-07-01,NA,NA,22.3225
"80",1986-08-01,NA,NA,NA
"81",1986-09-01,NA,NA,23.1898734177215
"82",1986-10-01,NA,NA,NA
"83",1986-11-01,21.034375,NA,NA
"84",1986-12-01,21.1114285714286,NA,NA
"85",1987-01-01,NA,NA,NA
"86",1987-02-01,NA,NA,NA
"87",1987-03-01,NA,NA,25.8644859813084
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,NA,NA,NA
"91",1987-07-01,NA,NA,NA
"92",1987-08-01,21.3542857142857,NA,23.7485714285714
"93",1987-09-01,20.3,NA,22.3615384615385
"94",1987-10-01,21.8550561797753,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,NA,NA,NA
"97",1988-01-01,NA,NA,NA
"98",1988-02-01,NA,NA,25.8710526315789
"99",1988-03-01,NA,NA,NA
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,NA,NA,24.2
"103",1988-07-01,NA,NA,NA
"104",1988-08-01,20.6641025641026,NA,NA
"105",1988-09-01,NA,NA,NA
"106",1988-10-01,21.4205607476636,NA,24.603738317757
"107",1988-11-01,NA,NA,NA
"108",1988-12-01,NA,NA,NA
"109",1989-01-01,NA,NA,25.35
"110",1989-02-01,NA,NA,24.6067567567568
"111",1989-03-01,NA,NA,NA
"112",1989-04-01,NA,NA,NA
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,NA,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,NA,NA,NA
"117",1989-09-01,20.9333333333333,NA,22.9666666666667
"118",1989-10-01,NA,NA,NA
"119",1989-11-01,NA,NA,24.7470588235294
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,NA,NA,NA
"122",1990-02-01,NA,NA,NA
"123",1990-03-01,NA,NA,NA
"124",1990-04-01,NA,NA,NA
"125",1990-05-01,NA,NA,NA
"126",1990-06-01,NA,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,NA,NA,NA
"133",1991-01-01,21.9888888888889,NA,26.1944444444444
"134",1991-02-01,17.3,NA,20.5125
"135",1991-03-01,NA,NA,NA
"136",1991-04-01,21.7,NA,25.9333333333333
"137",1991-05-01,21.4625,NA,24.2125
"138",1991-06-01,19.1,NA,19.2
"139",1991-07-01,NA,NA,NA
"140",1991-08-01,NA,NA,NA
"141",1991-09-01,20.8888888888889,NA,NA
"142",1991-10-01,NA,NA,NA
"143",1991-11-01,NA,NA,NA
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,NA,NA,NA
"146",1992-02-01,NA,NA,NA
"147",1992-03-01,NA,NA,NA
"148",1992-04-01,NA,NA,NA
"149",1992-05-01,NA,NA,NA
"150",1992-06-01,20.9515151515152,NA,NA
"151",1992-07-01,20.3150943396226,NA,22.1358490566038
"152",1992-08-01,19.8059405940594,NA,NA
"153",1992-09-01,NA,NA,NA
"154",1992-10-01,NA,NA,NA
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,NA,NA,NA
"157",1993-01-01,20.9141304347826,NA,NA
"158",1993-02-01,20.8458823529412,NA,NA
"159",1993-03-01,NA,NA,NA
"160",1993-04-01,21.3537190082645,936.772727272727,24.999173553719
"161",1993-05-01,NA,NA,NA
"162",1993-06-01,NA,NA,NA
"163",1993-07-01,NA,NA,22.9833333333333
"164",1993-08-01,20.8393939393939,NA,23.230303030303
"165",1993-09-01,NA,NA,NA
"166",1993-10-01,NA,NA,NA
"167",1993-11-01,21.4063829787234,NA,24.0120567375887
"168",1993-12-01,NA,NA,NA
"169",1994-01-01,20.86,NA,23.8566666666667
