"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,22.45,NA,23.25
"52",1984-04-01,NA,NA,NA
"53",1984-05-01,22.2074074074074,NA,24.9925925925926
"54",1984-06-01,21.75,NA,22.75
"55",1984-07-01,21.7692307692308,NA,23.9076923076923
"56",1984-08-01,NA,NA,NA
"57",1984-09-01,NA,NA,NA
"58",1984-10-01,NA,NA,24.165306122449
"59",1984-11-01,NA,NA,24.7303571428571
"60",1984-12-01,NA,NA,NA
"61",1985-01-01,NA,NA,NA
"62",1985-02-01,21.4375,NA,24.9
"63",1985-03-01,NA,NA,NA
"64",1985-04-01,NA,NA,NA
"65",1985-05-01,NA,NA,NA
"66",1985-06-01,NA,NA,25.6032258064516
"67",1985-07-01,NA,NA,23.7775510204082
"68",1985-08-01,21.1,NA,21.475
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,NA,NA,NA
"71",1985-11-01,NA,NA,NA
"72",1985-12-01,23.4,NA,NA
"73",1986-01-01,23.5,NA,26.5428571428571
"74",1986-02-01,NA,NA,NA
"75",1986-03-01,NA,NA,24.3482142857143
"76",1986-04-01,NA,NA,26.9241379310345
"77",1986-05-01,22.5545454545455,NA,26.3935064935065
"78",1986-06-01,22.5205128205128,NA,25.7410256410256
"79",1986-07-01,21.9265625,NA,24.6984375
"80",1986-08-01,NA,NA,25.3063492063492
"81",1986-09-01,21.7971428571429,NA,25.1428571428571
"82",1986-10-01,NA,NA,NA
"83",1986-11-01,22.4942028985507,NA,25.3666666666667
"84",1986-12-01,NA,NA,24.5516666666667
"85",1987-01-01,NA,NA,26.20625
"86",1987-02-01,NA,NA,NA
"87",1987-03-01,NA,NA,27.6121621621622
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,NA,NA,26.231884057971
"91",1987-07-01,NA,NA,NA
"92",1987-08-01,NA,NA,25.8131578947368
"93",1987-09-01,22.58,NA,NA
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,NA,NA,26.8176470588235
"97",1988-01-01,22.9586956521739,NA,26.195652173913
"98",1988-02-01,NA,NA,27.7446808510638
"99",1988-03-01,NA,NA,NA
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,22.2733333333333,NA,24.6166666666667
"103",1988-07-01,NA,NA,NA
"104",1988-08-01,21.9805555555556,NA,24.6444444444444
"105",1988-09-01,18.308,NA,NA
"106",1988-10-01,22.0066666666667,NA,23.1466666666667
"107",1988-11-01,NA,NA,NA
"108",1988-12-01,NA,NA,NA
"109",1989-01-01,NA,NA,NA
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,NA,NA,NA
"112",1989-04-01,NA,NA,26.772
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,NA,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,22.3185185185185,NA,NA
"117",1989-09-01,NA,NA,NA
"118",1989-10-01,NA,NA,NA
"119",1989-11-01,NA,NA,NA
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,NA,NA,27.4578947368421
"122",1990-02-01,NA,NA,27.4916666666667
"123",1990-03-01,22.2888888888889,NA,NA
"124",1990-04-01,21.6,NA,22.5
"125",1990-05-01,NA,NA,NA
"126",1990-06-01,NA,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,24.2166666666667
"132",1990-12-01,22.3,NA,26.7
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,NA,NA,NA
"135",1991-03-01,23.9785714285714,NA,NA
"136",1991-04-01,NA,NA,NA
"137",1991-05-01,NA,NA,26.86
"138",1991-06-01,NA,NA,NA
"139",1991-07-01,22.9,NA,28.2
"140",1991-08-01,NA,NA,NA
"141",1991-09-01,NA,NA,NA
"142",1991-10-01,19.7,NA,20.5
"143",1991-11-01,22.3142857142857,NA,24.2142857142857
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,21.3823529411765,NA,26.3941176470588
"146",1992-02-01,22.3869565217391,NA,28.5782608695652
"147",1992-03-01,NA,NA,NA
"148",1992-04-01,24.1,NA,27.75
"149",1992-05-01,23.1666666666667,NA,24.5
"150",1992-06-01,NA,NA,NA
"151",1992-07-01,22.0675675675676,NA,24.3
"152",1992-08-01,22.2117647058824,NA,24.3058823529412
"153",1992-09-01,22.3053571428571,NA,24.4821428571429
"154",1992-10-01,22.3779661016949,NA,24.735593220339
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,22.3622222222222,NA,26.1488888888889
"157",1993-01-01,21.4540983606557,NA,25.9786885245902
"158",1993-02-01,22.1849056603774,NA,26.2811320754717
"159",1993-03-01,23.1577777777778,NA,28.2222222222222
"160",1993-04-01,22.9444444444444,NA,26.3506172839506
"161",1993-05-01,23.3900900900901,NA,NA
"162",1993-06-01,NA,NA,NA
"163",1993-07-01,NA,NA,25.3929078014184
"164",1993-08-01,NA,NA,24.8264367816092
