"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,NA,NA,NA
"52",1984-04-01,NA,NA,NA
"53",1984-05-01,NA,NA,25.028
"54",1984-06-01,NA,NA,NA
"55",1984-07-01,NA,NA,22.9692307692308
"56",1984-08-01,21.2,NA,23.7575757575758
"57",1984-09-01,21.5710526315789,NA,NA
"58",1984-10-01,NA,NA,NA
"59",1984-11-01,NA,NA,NA
"60",1984-12-01,NA,NA,NA
"61",1985-01-01,21.5605633802817,NA,24.5577464788732
"62",1985-02-01,21.332,NA,23.744
"63",1985-03-01,21.9615384615385,NA,24.7096153846154
"64",1985-04-01,NA,NA,24.35
"65",1985-05-01,NA,NA,24.0088235294118
"66",1985-06-01,NA,NA,NA
"67",1985-07-01,NA,NA,23.2369230769231
"68",1985-08-01,20.341935483871,NA,23.1774193548387
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,22.2,NA,24.5
"71",1985-11-01,22.3,NA,24.475
"72",1985-12-01,NA,NA,NA
"73",1986-01-01,NA,NA,NA
"74",1986-02-01,20.97,NA,23.96
"75",1986-03-01,21.2454545454545,NA,NA
"76",1986-04-01,22.15,NA,NA
"77",1986-05-01,22.1222222222222,NA,25.4111111111111
"78",1986-06-01,20.6,NA,23.6
"79",1986-07-01,NA,NA,NA
"80",1986-08-01,20.9,NA,27.6
"81",1986-09-01,NA,NA,NA
"82",1986-10-01,NA,NA,NA
"83",1986-11-01,20.8307692307692,NA,22.0384615384615
"84",1986-12-01,21.46,NA,21.92
"85",1987-01-01,22.1615384615385,NA,23.8846153846154
"86",1987-02-01,21.46,NA,21.94
"87",1987-03-01,20.9,NA,21.2
"88",1987-04-01,22.7333333333333,NA,24.3333333333333
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,NA,NA,NA
"91",1987-07-01,20.764,NA,22.994
"92",1987-08-01,20.55,NA,23.3157894736842
"93",1987-09-01,21.26,NA,23.36
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,NA,NA,23.8810810810811
"97",1988-01-01,22.0872727272727,NA,24.2672727272727
"98",1988-02-01,21.9594594594595,NA,24.7243243243243
"99",1988-03-01,NA,NA,25.1115384615385
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,21.7818181818182,NA,23.3090909090909
"103",1988-07-01,19.75,NA,21.45
"104",1988-08-01,20.3310344827586,NA,23.6103448275862
"105",1988-09-01,20.8227272727273,NA,23.4954545454545
"106",1988-10-01,21.6804347826087,NA,NA
"107",1988-11-01,21.2725,NA,23.2975
"108",1988-12-01,20.3333333333333,NA,20.9333333333333
"109",1989-01-01,NA,NA,24.7622641509434
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,NA,NA,23.8690476190476
"112",1989-04-01,NA,NA,25.2814814814815
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,NA,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,NA,NA,NA
"117",1989-09-01,18.8625,NA,NA
"118",1989-10-01,NA,NA,NA
"119",1989-11-01,22.4210526315789,NA,25.5684210526316
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,NA,NA,NA
"122",1990-02-01,NA,NA,NA
"123",1990-03-01,NA,NA,NA
"124",1990-04-01,NA,NA,NA
"125",1990-05-01,NA,NA,24.7393442622951
"126",1990-06-01,NA,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,21.2714285714286,NA,22.9928571428571
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,NA,NA,NA
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,20.4333333333333,NA,21
"135",1991-03-01,NA,NA,NA
"136",1991-04-01,21.3333333333333,NA,25.1
"137",1991-05-01,22.5142857142857,NA,25.4142857142857
"138",1991-06-01,20.3,NA,20.9
"139",1991-07-01,23,NA,NA
"140",1991-08-01,20.3736842105263,NA,23.4631578947368
"141",1991-09-01,NA,NA,24.825
"142",1991-10-01,NA,NA,23.4481481481481
"143",1991-11-01,NA,NA,24.7086956521739
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,NA,NA,NA
"146",1992-02-01,NA,NA,25.8298507462687
"147",1992-03-01,22.4942528735632,NA,25.8195402298851
"148",1992-04-01,NA,NA,NA
"149",1992-05-01,NA,NA,24.8782051282051
"150",1992-06-01,NA,NA,NA
"151",1992-07-01,NA,NA,21.9481481481481
"152",1992-08-01,NA,NA,NA
"153",1992-09-01,20.0136363636364,NA,NA
"154",1992-10-01,21.2569230769231,NA,24.4692307692308
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,NA,NA,NA
"157",1993-01-01,NA,NA,NA
"158",1993-02-01,NA,NA,24.6048780487805
"159",1993-03-01,NA,NA,25.8102564102564
"160",1993-04-01,22.3084745762712,NA,24.7932203389831
"161",1993-05-01,22.5447368421053,NA,26.3763157894737
"162",1993-06-01,21.4,NA,NA
"163",1993-07-01,NA,NA,24.1157894736842
