"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,22.01,NA,24.83
"52",1984-04-01,22.3771428571429,NA,25.3
"53",1984-05-01,22.2205128205128,NA,24.5128205128205
"54",1984-06-01,21.5657894736842,NA,23.5473684210526
"55",1984-07-01,NA,NA,23.1058823529412
"56",1984-08-01,NA,NA,23.4428571428571
"57",1984-09-01,19.82,NA,23.3266666666667
"58",1984-10-01,NA,NA,NA
"59",1984-11-01,NA,NA,NA
"60",1984-12-01,NA,NA,24.483606557377
"61",1985-01-01,NA,NA,23.9507462686567
"62",1985-02-01,20.9368421052632,NA,24.0368421052632
"63",1985-03-01,NA,NA,25.0055555555556
"64",1985-04-01,NA,NA,24.9611111111111
"65",1985-05-01,NA,NA,23.5886363636364
"66",1985-06-01,NA,NA,NA
"67",1985-07-01,NA,NA,NA
"68",1985-08-01,NA,NA,NA
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,22.4,NA,25
"71",1985-11-01,21.775,NA,24.45
"72",1985-12-01,21.62,NA,22.72
"73",1986-01-01,21.6304347826087,NA,24.704347826087
"74",1986-02-01,NA,NA,NA
"75",1986-03-01,21.2689189189189,NA,24.627027027027
"76",1986-04-01,NA,NA,25.1704225352113
"77",1986-05-01,21.6602564102564,NA,25.2217948717949
"78",1986-06-01,NA,NA,NA
"79",1986-07-01,NA,NA,NA
"80",1986-08-01,NA,NA,NA
"81",1986-09-01,20.5901639344262,NA,NA
"82",1986-10-01,NA,NA,24.0487804878049
"83",1986-11-01,NA,NA,NA
"84",1986-12-01,NA,NA,24.1178082191781
"85",1987-01-01,21.3706666666667,NA,NA
"86",1987-02-01,NA,NA,24.7432835820896
"87",1987-03-01,22.0186666666667,NA,NA
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,25.1
"90",1987-06-01,21.3217391304348,NA,24.0913043478261
"91",1987-07-01,NA,NA,NA
"92",1987-08-01,NA,NA,NA
"93",1987-09-01,21.3444444444444,NA,24.7111111111111
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,NA,NA,25.2584615384615
"97",1988-01-01,NA,NA,NA
"98",1988-02-01,NA,NA,NA
"99",1988-03-01,NA,NA,25.6985507246377
"100",1988-04-01,NA,NA,26.0242424242424
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,21.669696969697,NA,23.9409090909091
"103",1988-07-01,NA,NA,22.4178571428571
"104",1988-08-01,20.3959183673469,NA,23.4020408163265
"105",1988-09-01,21.08,NA,NA
"106",1988-10-01,NA,NA,NA
"107",1988-11-01,20.9428571428571,NA,24.5857142857143
"108",1988-12-01,20.5833333333333,NA,22.6833333333333
"109",1989-01-01,NA,NA,24.0492957746479
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,NA,NA,NA
"112",1989-04-01,NA,NA,24.7164383561644
"113",1989-05-01,NA,NA,24.5151162790698
"114",1989-06-01,NA,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,NA,NA,NA
"117",1989-09-01,14.3857142857143,952,23.8571428571429
"118",1989-10-01,20.7,952.5,21.6
"119",1989-11-01,NA,NA,NA
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,NA,NA,NA
"122",1990-02-01,22.1466666666667,NA,25.0866666666667
"123",1990-03-01,NA,NA,NA
"124",1990-04-01,NA,NA,NA
"125",1990-05-01,NA,NA,NA
"126",1990-06-01,NA,NA,24.439175257732
"127",1990-07-01,19.9539473684211,NA,NA
"128",1990-08-01,NA,NA,23.0746478873239
"129",1990-09-01,21.015625,NA,24.3125
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,21.6805555555556,NA,24.4805555555556
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,NA,NA,NA
"135",1991-03-01,17.8,NA,35.1
"136",1991-04-01,22.4,953.733333333333,27.1666666666667
"137",1991-05-01,22.1571428571429,950.9,25.6285714285714
"138",1991-06-01,21.3,952.7,21.6
"139",1991-07-01,NA,NA,NA
"140",1991-08-01,NA,NA,25.35
"141",1991-09-01,20.6121951219512,NA,NA
"142",1991-10-01,NA,NA,NA
"143",1991-11-01,23.564,NA,NA
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,NA,NA,NA
"146",1992-02-01,NA,NA,NA
"147",1992-03-01,NA,NA,NA
"148",1992-04-01,NA,952.542857142857,24.7517857142857
"149",1992-05-01,NA,NA,NA
"150",1992-06-01,20.9732142857143,954.648214285714,23.3125
"151",1992-07-01,NA,955.803389830508,22.0796610169492
"152",1992-08-01,19.5645833333333,NA,22.50625
"153",1992-09-01,20.665,NA,23.595
"154",1992-10-01,21.8041666666667,NA,24.0152777777778
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,NA,NA,NA
"157",1993-01-01,22.3111111111111,952.577777777778,26.2666666666667
"158",1993-02-01,NA,952.114285714286,NA
"159",1993-03-01,NA,NA,NA
"160",1993-04-01,21.8376470588235,951.907058823529,25.3952941176471
"161",1993-05-01,22.4467213114754,NA,NA
