"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,23.25,NA,26.2
"52",1984-04-01,23.925,NA,26.625
"53",1984-05-01,23.971875,NA,26.8625
"54",1984-06-01,23.4735849056604,NA,25.5962264150943
"55",1984-07-01,22.3789473684211,NA,23.8105263157895
"56",1984-08-01,22.5863636363636,NA,25.2727272727273
"57",1984-09-01,22.66,NA,25.592
"58",1984-10-01,NA,NA,NA
"59",1984-11-01,NA,NA,NA
"60",1984-12-01,NA,NA,NA
"61",1985-01-01,23.2361111111111,NA,26.3138888888889
"62",1985-02-01,22.5444444444444,NA,25.6833333333333
"63",1985-03-01,23.5086206896552,NA,25.8913793103448
"64",1985-04-01,23.45625,NA,26.63125
"65",1985-05-01,NA,NA,NA
"66",1985-06-01,20.8,NA,23.7068965517241
"67",1985-07-01,NA,NA,23.7413793103448
"68",1985-08-01,20.5,NA,23.9108108108108
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,NA,NA,NA
"71",1985-11-01,NA,NA,25.7
"72",1985-12-01,24.02,NA,26.46
"73",1986-01-01,24.1962962962963,NA,27.2111111111111
"74",1986-02-01,23.0597014925373,NA,26.0432835820896
"75",1986-03-01,NA,NA,NA
"76",1986-04-01,NA,NA,26.528
"77",1986-05-01,NA,NA,NA
"78",1986-06-01,21.9530303030303,NA,24.3954545454545
"79",1986-07-01,NA,NA,24.76
"80",1986-08-01,20.6366197183099,NA,23.7154929577465
"81",1986-09-01,21.0764705882353,NA,24.8764705882353
"82",1986-10-01,NA,NA,NA
"83",1986-11-01,23.0333333333333,NA,25.5283333333333
"84",1986-12-01,NA,NA,NA
"85",1987-01-01,NA,NA,NA
"86",1987-02-01,NA,NA,26.5197183098592
"87",1987-03-01,NA,NA,NA
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,22.6847222222222,NA,25.4527777777778
"91",1987-07-01,NA,NA,NA
"92",1987-08-01,21.05,NA,24.3566666666667
"93",1987-09-01,22.2,NA,25.49
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,NA,NA,26.9166666666667
"97",1988-01-01,NA,NA,26.7760563380282
"98",1988-02-01,NA,NA,NA
"99",1988-03-01,NA,NA,NA
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,NA,NA,25.3323529411765
"103",1988-07-01,NA,NA,NA
"104",1988-08-01,21.2265306122449,NA,24.1469387755102
"105",1988-09-01,21.8763157894737,NA,25.5342105263158
"106",1988-10-01,NA,NA,NA
"107",1988-11-01,23.3144927536232,NA,25.6826086956522
"108",1988-12-01,23.25,NA,26.7
"109",1989-01-01,23.2431818181818,NA,26.7340909090909
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,22.7040816326531,NA,NA
"112",1989-04-01,23.4971428571429,NA,26.3542857142857
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,18.5,NA,20
"115",1989-07-01,19.8,NA,23.4
"116",1989-08-01,NA,NA,NA
"117",1989-09-01,NA,NA,NA
"118",1989-10-01,NA,NA,NA
"119",1989-11-01,23.6428571428571,NA,27.2857142857143
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,23.5829787234043,NA,NA
"122",1990-02-01,NA,NA,25.9846153846154
"123",1990-03-01,23.9111111111111,NA,27.7222222222222
"124",1990-04-01,22.3045454545455,NA,NA
"125",1990-05-01,NA,NA,25.4473684210526
"126",1990-06-01,NA,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,NA,NA,NA
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,NA,NA,26.0333333333333
"135",1991-03-01,NA,NA,NA
"136",1991-04-01,24.3666666666667,NA,26.4
"137",1991-05-01,24.8,NA,28.45
"138",1991-06-01,22.8,NA,22.8
"139",1991-07-01,NA,NA,NA
"140",1991-08-01,NA,NA,24.3
"141",1991-09-01,20.637037037037,NA,25.3222222222222
"142",1991-10-01,NA,NA,25.0565217391304
"143",1991-11-01,23.2375,NA,NA
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,NA,NA,NA
"146",1992-02-01,23.9522727272727,NA,NA
"147",1992-03-01,NA,NA,27.2303370786517
"148",1992-04-01,24.1494252873563,NA,27.0287356321839
"149",1992-05-01,NA,NA,26.5547826086957
"150",1992-06-01,21.5152777777778,NA,24.125
"151",1992-07-01,20.2861111111111,NA,22.6763888888889
"152",1992-08-01,20.3857142857143,NA,23.0114285714286
"153",1992-09-01,NA,NA,NA
"154",1992-10-01,NA,NA,NA
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,NA,NA,25.58
"157",1993-01-01,NA,NA,NA
"158",1993-02-01,NA,NA,27.2357142857143
"159",1993-03-01,NA,NA,27.7074380165289
"160",1993-04-01,NA,NA,NA
"161",1993-05-01,NA,NA,NA
"162",1993-06-01,NA,NA,24.9010869565217
