"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,31.675,NA,29.525
"52",1984-04-01,21.4727272727273,NA,25.4
"53",1984-05-01,23.1,NA,29.4
"54",1984-06-01,21.3,NA,24.65
"55",1984-07-01,21.0571428571429,NA,23.8571428571429
"56",1984-08-01,NA,NA,NA
"57",1984-09-01,21.1363636363636,NA,23.1090909090909
"58",1984-10-01,20.90625,NA,23.7
"59",1984-11-01,20.9333333333333,NA,22.3533333333333
"60",1984-12-01,NA,NA,23.1233333333333
"61",1985-01-01,22.1,NA,NA
"62",1985-02-01,21,NA,24.5666666666667
"63",1985-03-01,NA,NA,25.56
"64",1985-04-01,NA,NA,NA
"65",1985-05-01,22,NA,23.9125
"66",1985-06-01,22.3857142857143,NA,23.3714285714286
"67",1985-07-01,NA,NA,22.9458333333333
"68",1985-08-01,NA,NA,22.5923076923077
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,NA,NA,NA
"71",1985-11-01,NA,NA,NA
"72",1985-12-01,NA,NA,NA
"73",1986-01-01,22.6666666666667,NA,28.6666666666667
"74",1986-02-01,21.4625,NA,25.0725
"75",1986-03-01,21.0323529411765,NA,24.6382352941176
"76",1986-04-01,22.0131578947368,NA,26.3
"77",1986-05-01,22.2254237288136,NA,NA
"78",1986-06-01,21.8121212121212,NA,24.9515151515151
"79",1986-07-01,20.6785714285714,NA,NA
"80",1986-08-01,NA,NA,NA
"81",1986-09-01,21.504347826087,NA,24.4086956521739
"82",1986-10-01,21.8138888888889,NA,25.4916666666667
"83",1986-11-01,21.525,NA,24.635
"84",1986-12-01,22.606976744186,NA,NA
"85",1987-01-01,NA,NA,NA
"86",1987-02-01,22.3452380952381,NA,NA
"87",1987-03-01,NA,NA,27.2862745098039
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,NA,NA,NA
"91",1987-07-01,NA,NA,NA
"92",1987-08-01,NA,NA,NA
"93",1987-09-01,22.0727272727273,NA,25.6939393939394
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,22.4263157894737,NA,25.3684210526316
"96",1987-12-01,23.225,NA,25.61
"97",1988-01-01,21.9843137254902,NA,NA
"98",1988-02-01,NA,NA,NA
"99",1988-03-01,NA,NA,26.8811594202899
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,22.3620689655172,NA,25.3465517241379
"103",1988-07-01,NA,NA,24.7547619047619
"104",1988-08-01,NA,NA,25.3216216216216
"105",1988-09-01,21.8872340425532,NA,25.4212765957447
"106",1988-10-01,NA,NA,24.4947368421053
"107",1988-11-01,NA,NA,26.5918367346939
"108",1988-12-01,NA,NA,25.8692307692308
"109",1989-01-01,NA,NA,NA
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,NA,NA,NA
"112",1989-04-01,NA,NA,NA
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,NA,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,NA,NA,24.353125
"117",1989-09-01,NA,NA,NA
"118",1989-10-01,NA,NA,26.6
"119",1989-11-01,NA,NA,NA
"120",1989-12-01,22.3615384615385,NA,25.4692307692308
"121",1990-01-01,NA,NA,26.3611111111111
"122",1990-02-01,NA,NA,NA
"123",1990-03-01,21.7555555555556,NA,NA
"124",1990-04-01,22.1,NA,23.1
"125",1990-05-01,NA,NA,25.4677419354839
"126",1990-06-01,22.5,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,22.5893617021277,NA,NA
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,NA,NA,NA
"135",1991-03-01,NA,NA,NA
"136",1991-04-01,NA,NA,24.6447368421053
"137",1991-05-01,NA,NA,NA
"138",1991-06-01,22.90625,NA,NA
"139",1991-07-01,NA,NA,NA
"140",1991-08-01,NA,NA,NA
"141",1991-09-01,NA,NA,NA
"142",1991-10-01,21.3833333333333,NA,NA
"143",1991-11-01,NA,NA,NA
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,23.575,NA,NA
"146",1992-02-01,NA,NA,27.6620689655172
"147",1992-03-01,21.5818181818182,NA,NA
"148",1992-04-01,23.0666666666667,NA,28.0333333333333
"149",1992-05-01,22.3888888888889,NA,24.3222222222222
"150",1992-06-01,22.15,NA,24.9722222222222
"151",1992-07-01,21.6,NA,24.3341463414634
"152",1992-08-01,NA,NA,24.7
"153",1992-09-01,NA,NA,NA
"154",1992-10-01,NA,NA,NA
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,21.3113636363636,NA,25.0636363636364
"157",1993-01-01,NA,NA,NA
"158",1993-02-01,19.9536231884058,NA,27.1304347826087
"159",1993-03-01,NA,NA,NA
"160",1993-04-01,22.4221052631579,NA,27.0536842105263
"161",1993-05-01,NA,NA,NA
"162",1993-06-01,NA,NA,NA
"163",1993-07-01,NA,NA,24.5439306358382
