"","date","dewtemp","pressure","temp"
"1",1980-01-01,NA,NA,NA
"2",1980-02-01,NA,NA,NA
"3",1980-03-01,NA,NA,NA
"4",1980-04-01,NA,NA,NA
"5",1980-05-01,NA,NA,NA
"6",1980-06-01,NA,NA,NA
"7",1980-07-01,NA,NA,NA
"8",1980-08-01,NA,NA,NA
"9",1980-09-01,NA,NA,NA
"10",1980-10-01,NA,NA,NA
"11",1980-11-01,NA,NA,NA
"12",1980-12-01,NA,NA,NA
"13",1981-01-01,NA,NA,NA
"14",1981-02-01,NA,NA,NA
"15",1981-03-01,NA,NA,NA
"16",1981-04-01,NA,NA,NA
"17",1981-05-01,NA,NA,NA
"18",1981-06-01,NA,NA,NA
"19",1981-07-01,NA,NA,NA
"20",1981-08-01,NA,NA,NA
"21",1981-09-01,NA,NA,NA
"22",1981-10-01,NA,NA,NA
"23",1981-11-01,NA,NA,NA
"24",1981-12-01,NA,NA,NA
"25",1982-01-01,NA,NA,NA
"26",1982-02-01,NA,NA,NA
"27",1982-03-01,NA,NA,NA
"28",1982-04-01,NA,NA,NA
"29",1982-05-01,NA,NA,NA
"30",1982-06-01,NA,NA,NA
"31",1982-07-01,NA,NA,NA
"32",1982-08-01,NA,NA,NA
"33",1982-09-01,NA,NA,NA
"34",1982-10-01,NA,NA,NA
"35",1982-11-01,NA,NA,NA
"36",1982-12-01,NA,NA,NA
"37",1983-01-01,NA,NA,NA
"38",1983-02-01,NA,NA,NA
"39",1983-03-01,NA,NA,NA
"40",1983-04-01,NA,NA,NA
"41",1983-05-01,NA,NA,NA
"42",1983-06-01,NA,NA,NA
"43",1983-07-01,NA,NA,NA
"44",1983-08-01,NA,NA,NA
"45",1983-09-01,NA,NA,NA
"46",1983-10-01,NA,NA,NA
"47",1983-11-01,NA,NA,NA
"48",1983-12-01,NA,NA,NA
"49",1984-01-01,NA,NA,NA
"50",1984-02-01,NA,NA,NA
"51",1984-03-01,NA,NA,NA
"52",1984-04-01,23.621875,NA,NA
"53",1984-05-01,NA,NA,26.0960784313726
"54",1984-06-01,NA,NA,NA
"55",1984-07-01,NA,NA,NA
"56",1984-08-01,NA,NA,NA
"57",1984-09-01,NA,NA,25.1071428571429
"58",1984-10-01,NA,NA,NA
"59",1984-11-01,22.6723076923077,NA,25.5676923076923
"60",1984-12-01,NA,NA,NA
"61",1985-01-01,23.3953125,NA,25.4859375
"62",1985-02-01,23.0666666666667,NA,25.452380952381
"63",1985-03-01,NA,NA,26.763829787234
"64",1985-04-01,23.1625,NA,26.6125
"65",1985-05-01,NA,NA,25.7772727272727
"66",1985-06-01,19.8105263157895,NA,23.7368421052632
"67",1985-07-01,NA,NA,NA
"68",1985-08-01,20.46,NA,23.24
"69",1985-09-01,NA,NA,NA
"70",1985-10-01,24.2,NA,25
"71",1985-11-01,23.4,NA,25.3
"72",1985-12-01,24.1,NA,25.4
"73",1986-01-01,23.1916666666667,NA,NA
"74",1986-02-01,NA,NA,NA
"75",1986-03-01,23.3134328358209,NA,25.8776119402985
"76",1986-04-01,NA,NA,NA
"77",1986-05-01,NA,NA,NA
"78",1986-06-01,NA,NA,NA
"79",1986-07-01,19.8738461538462,NA,23.2584615384615
"80",1986-08-01,19.9546875,NA,23.4484375
"81",1986-09-01,20.1384615384615,NA,23.8096153846154
"82",1986-10-01,21.5881578947368,NA,25.0052631578947
"83",1986-11-01,NA,NA,25.075
"84",1986-12-01,23.3537037037037,NA,NA
"85",1987-01-01,23.2508196721311,NA,26.5245901639344
"86",1987-02-01,NA,NA,25.6051724137931
"87",1987-03-01,NA,NA,NA
"88",1987-04-01,NA,NA,NA
"89",1987-05-01,NA,NA,NA
"90",1987-06-01,NA,NA,25.0452054794521
"91",1987-07-01,NA,NA,23.3424242424242
"92",1987-08-01,NA,NA,NA
"93",1987-09-01,21.3857142857143,NA,24.9142857142857
"94",1987-10-01,NA,NA,NA
"95",1987-11-01,NA,NA,NA
"96",1987-12-01,23.6821428571429,NA,26.2803571428571
"97",1988-01-01,NA,NA,NA
"98",1988-02-01,23.6488888888889,NA,26.7688888888889
"99",1988-03-01,NA,NA,26.6981481481481
"100",1988-04-01,NA,NA,NA
"101",1988-05-01,NA,NA,NA
"102",1988-06-01,NA,NA,NA
"103",1988-07-01,20.3785714285714,NA,22.7357142857143
"104",1988-08-01,NA,NA,NA
"105",1988-09-01,21.1681818181818,NA,24.0863636363636
"106",1988-10-01,22.5188679245283,NA,25.577358490566
"107",1988-11-01,NA,NA,25.6357142857143
"108",1988-12-01,22.8333333333333,NA,23.9333333333333
"109",1989-01-01,NA,NA,NA
"110",1989-02-01,NA,NA,NA
"111",1989-03-01,23.1396226415094,NA,NA
"112",1989-04-01,NA,NA,26.0866666666667
"113",1989-05-01,NA,NA,NA
"114",1989-06-01,21.6791666666667,NA,NA
"115",1989-07-01,NA,NA,NA
"116",1989-08-01,19.9578947368421,NA,23.0157894736842
"117",1989-09-01,20.35,NA,23.95
"118",1989-10-01,NA,NA,NA
"119",1989-11-01,NA,NA,26.8478260869565
"120",1989-12-01,NA,NA,NA
"121",1990-01-01,NA,NA,26.4115384615385
"122",1990-02-01,23.98,NA,26.1133333333333
"123",1990-03-01,NA,NA,NA
"124",1990-04-01,NA,NA,27.0246753246753
"125",1990-05-01,NA,NA,25.7563218390805
"126",1990-06-01,NA,NA,NA
"127",1990-07-01,NA,NA,NA
"128",1990-08-01,NA,NA,NA
"129",1990-09-01,NA,NA,NA
"130",1990-10-01,NA,NA,NA
"131",1990-11-01,NA,NA,NA
"132",1990-12-01,NA,NA,25.6957446808511
"133",1991-01-01,NA,NA,NA
"134",1991-02-01,23.4,NA,24.975
"135",1991-03-01,NA,NA,NA
"136",1991-04-01,22.75,NA,22.9
"137",1991-05-01,24.1,NA,27.45
"138",1991-06-01,21,NA,21
"139",1991-07-01,NA,NA,NA
"140",1991-08-01,NA,NA,24.55
"141",1991-09-01,NA,NA,NA
"142",1991-10-01,NA,NA,NA
"143",1991-11-01,NA,NA,NA
"144",1991-12-01,NA,NA,NA
"145",1992-01-01,NA,NA,NA
"146",1992-02-01,NA,NA,NA
"147",1992-03-01,NA,NA,NA
"148",1992-04-01,23.973786407767,NA,26.8106796116505
"149",1992-05-01,NA,NA,NA
"150",1992-06-01,NA,NA,NA
"151",1992-07-01,19.0336633663366,NA,22.0831683168317
"152",1992-08-01,NA,NA,NA
"153",1992-09-01,NA,NA,23.984693877551
"154",1992-10-01,NA,NA,NA
"155",1992-11-01,NA,NA,NA
"156",1992-12-01,NA,NA,NA
"157",1993-01-01,NA,NA,NA
"158",1993-02-01,23.7363636363636,NA,26.730303030303
"159",1993-03-01,NA,NA,NA
"160",1993-04-01,24,NA,26.885593220339
"161",1993-05-01,NA,NA,NA
"162",1993-06-01,NA,NA,24.1952830188679
"163",1993-07-01,21.2287878787879,NA,23.8560606060606
"164",1993-08-01,NA,NA,23.85
